Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BEL,11/08/2001,,Lommelse SK,RWD Molenbeek,1,0,H,0,0,D
BEL,11/08/2001,,KAA Gent,Sint-Truidense VV,4,2,H,2,1,H
BEL,11/08/2001,,Lierse SK,Sporting Lokeren,1,1,D,1,1,D
BEL,11/08/2001,,KRC Genk,KSK Beveren,5,1,H,1,1,D
BEL,11/08/2001,,RSC Anderlecht,Royal Antwerp FC,3,0,H,0,0,D
BEL,12/08/2001,,K.S.C. Eendracht Aalst,Excelsior Mouscron,0,5,A,NaN,NaN,NaN
BEL,12/08/2001,,Club Brugge KV,KVC Westerlo,4,2,H,4,1,H
BEL,12/08/2001,,Germinal Beerschot,RAA La Louviéroise,8,2,H,3,1,H
BEL,12/08/2001,,RSC Charleroi,Standard Liège,0,0,D,0,0,D
BEL,17/08/2001,,Excelsior Mouscron,KAA Gent,0,1,A,0,1,A
BEL,18/08/2001,,Royal Antwerp FC,KRC Genk,3,0,H,2,0,H
BEL,18/08/2001,,KSK Beveren,Lierse SK,1,1,D,0,1,A
BEL,18/08/2001,,KVC Westerlo,K.S.C. Eendracht Aalst,0,1,A,0,0,D
BEL,18/08/2001,,Sint-Truidense VV,Lommelse SK,4,3,H,1,2,A
BEL,18/08/2001,,RWD Molenbeek,RSC Charleroi,0,1,A,0,0,D
BEL,18/08/2001,,Standard Liège,Germinal Beerschot,3,0,H,2,0,H
BEL,18/08/2001,,RAA La Louviéroise,RSC Anderlecht,1,3,A,1,1,D
BEL,19/08/2001,,Sporting Lokeren,Club Brugge KV,0,1,A,0,1,A
BEL,25/08/2001,,Lommelse SK,Excelsior Mouscron,3,2,H,2,1,H
BEL,25/08/2001,,KAA Gent,KVC Westerlo,4,1,H,2,0,H
BEL,25/08/2001,,Lierse SK,Royal Antwerp FC,2,1,H,1,0,H
BEL,25/08/2001,,RSC Charleroi,Sint-Truidense VV,0,3,A,0,1,A
BEL,26/08/2001,,Standard Liège,RWD Molenbeek,2,1,H,2,1,H
BEL,26/08/2001,,KRC Genk,RAA La Louviéroise,5,1,H,2,0,H
BEL,26/08/2001,,Germinal Beerschot,RSC Anderlecht,1,1,D,0,0,D
BEL,26/08/2001,,K.S.C. Eendracht Aalst,Sporting Lokeren,2,1,H,1,0,H
BEL,26/08/2001,,Club Brugge KV,KSK Beveren,6,1,H,3,1,H
BEL,07/09/2001,,Excelsior Mouscron,RSC Charleroi,0,1,A,0,1,A
BEL,08/09/2001,,KSK Beveren,K.S.C. Eendracht Aalst,0,4,A,0,1,A
BEL,08/09/2001,,KVC Westerlo,Lommelse SK,6,0,H,1,0,H
BEL,08/09/2001,,Sint-Truidense VV,Standard Liège,1,1,D,1,0,H
BEL,08/09/2001,,RSC Anderlecht,KRC Genk,3,3,D,1,2,A
BEL,08/09/2001,,RAA La Louviéroise,Lierse SK,0,0,D,0,0,D
BEL,09/09/2001,,Sporting Lokeren,KAA Gent,0,1,A,0,0,D
BEL,09/09/2001,,Royal Antwerp FC,Club Brugge KV,1,2,A,1,0,H
BEL,09/09/2001,,RWD Molenbeek,Germinal Beerschot,2,2,D,1,1,D
BEL,15/09/2001,,Lierse SK,RSC Anderlecht,2,0,H,0,0,D
BEL,15/09/2001,,Germinal Beerschot,KRC Genk,1,1,D,0,1,A
BEL,15/09/2001,,RWD Molenbeek,Sint-Truidense VV,1,2,A,1,2,A
BEL,15/09/2001,,Lommelse SK,Sporting Lokeren,3,4,A,1,2,A
BEL,15/09/2001,,KAA Gent,KSK Beveren,2,1,H,0,1,A
BEL,16/09/2001,,Standard Liège,Excelsior Mouscron,2,1,H,1,0,H
BEL,16/09/2001,,RSC Charleroi,KVC Westerlo,4,2,H,3,0,H
BEL,16/09/2001,,K.S.C. Eendracht Aalst,Royal Antwerp FC,0,0,D,0,0,D
BEL,16/09/2001,,Club Brugge KV,RAA La Louviéroise,2,1,H,0,1,A
BEL,22/09/2001,,Excelsior Mouscron,RWD Molenbeek,4,1,H,1,0,H
BEL,22/09/2001,,Sint-Truidense VV,Germinal Beerschot,2,2,D,0,1,A
BEL,22/09/2001,,KRC Genk,Lierse SK,4,2,H,2,1,H
BEL,22/09/2001,,RAA La Louviéroise,K.S.C. Eendracht Aalst,1,3,A,1,0,H
BEL,23/09/2001,,KSK Beveren,Lommelse SK,0,2,A,0,1,A
BEL,23/09/2001,,Royal Antwerp FC,KAA Gent,2,3,A,1,0,H
