Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BLR,03/04/2010,12:00,Torpedo Zhodino,BATE Borisov,0,1,A,0,0,D
BLR,03/04/2010,13:00,Naftan Novopolotsk,Partizan Minsk,1,0,H,1,0,H
BLR,03/04/2010,14:00,FK Minsk,Dnepr Mogilev,2,1,H,1,0,H
BLR,03/04/2010,15:00,Dinamo Brest,Shakhter Soligorsk,1,1,D,1,1,D
BLR,03/04/2010,15:00,Belshina Bobruisk,Dinamo Minsk,0,2,A,0,1,A
BLR,03/04/2010,15:00,Neman Grodno,FK Vitebsk,0,0,D,0,0,D
BLR,10/04/2010,15:00,FK Vitebsk,Naftan Novopolotsk,4,2,H,1,0,H
BLR,10/04/2010,15:00,Dnepr Mogilev,Neman Grodno,0,0,D,0,0,D
BLR,10/04/2010,15:00,Dinamo Minsk,FK Minsk,0,2,A,0,1,A
BLR,10/04/2010,15:00,BATE Borisov,Belshina Bobruisk,2,0,H,1,0,H
BLR,10/04/2010,16:00,Dinamo Brest,Torpedo Zhodino,3,2,H,2,1,H
BLR,10/04/2010,17:00,Shakhter Soligorsk,Partizan Minsk,1,0,H,1,0,H
BLR,14/04/2010,15:00,Torpedo Zhodino,Shakhter Soligorsk,1,1,D,0,0,D
BLR,14/04/2010,15:00,Belshina Bobruisk,Dinamo Brest,1,0,H,1,0,H
BLR,14/04/2010,15:00,Naftan Novopolotsk,Dnepr Mogilev,5,0,H,3,0,H
BLR,14/04/2010,15:00,Partizan Minsk,FK Vitebsk,0,2,A,0,0,D
BLR,14/04/2010,16:30,FK Minsk,BATE Borisov,0,0,D,0,0,D
BLR,14/04/2010,17:00,Neman Grodno,Dinamo Minsk,0,1,A,0,0,D
BLR,18/04/2010,15:00,Dnepr Mogilev,Partizan Minsk,3,0,H,1,0,H
BLR,18/04/2010,15:00,Dinamo Minsk,Naftan Novopolotsk,0,0,D,0,0,D
BLR,18/04/2010,15:00,Torpedo Zhodino,Belshina Bobruisk,1,2,A,0,1,A
BLR,18/04/2010,16:00,BATE Borisov,Neman Grodno,0,0,D,0,0,D
BLR,18/04/2010,17:00,Shakhter Soligorsk,FK Vitebsk,1,1,D,0,0,D
BLR,18/04/2010,17:00,Dinamo Brest,FK Minsk,2,1,H,0,0,D
BLR,23/04/2010,15:30,Partizan Minsk,Dinamo Minsk,0,2,A,0,1,A
BLR,24/04/2010,14:00,FK Minsk,Torpedo Zhodino,2,1,H,1,1,D
BLR,24/04/2010,15:00,Belshina Bobruisk,Shakhter Soligorsk,1,0,H,0,0,D
BLR,24/04/2010,15:00,Naftan Novopolotsk,BATE Borisov,0,2,A,0,1,A
BLR,24/04/2010,16:00,FK Vitebsk,Dnepr Mogilev,1,1,D,0,0,D
BLR,24/04/2010,17:30,Neman Grodno,Dinamo Brest,0,0,D,0,0,D
BLR,28/04/2010,15:00,Torpedo Zhodino,Neman Grodno,2,0,H,1,0,H
BLR,28/04/2010,15:30,Dinamo Minsk,FK Vitebsk,1,1,D,0,1,A
BLR,28/04/2010,15:30,Belshina Bobruisk,FK Minsk,1,0,H,0,0,D
BLR,28/04/2010,16:00,Dinamo Brest,Naftan Novopolotsk,0,0,D,0,0,D
