Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BRA,15/11/1997,,Juventude RS,Vasco da Gama,0,3,A,NaN,NaN,NaN
BRA,16/11/1997,,Flamengo RJ,Portuguesa,1,0,H,NaN,NaN,NaN
BRA,22/11/1997,,Portuguesa,Juventude RS,2,0,H,NaN,NaN,NaN
BRA,23/11/1997,,Vasco da Gama,Flamengo RJ,1,1,D,NaN,NaN,NaN
BRA,26/11/1997,,Juventude RS,Flamengo RJ,3,2,H,NaN,NaN,NaN
BRA,26/11/1997,,Vasco da Gama,Portuguesa,1,3,A,NaN,NaN,NaN
BRA,29/11/1997,,Portuguesa,Vasco da Gama,1,3,A,NaN,NaN,NaN
BRA,30/11/1997,,Flamengo RJ,Juventude RS,2,0,H,NaN,NaN,NaN
BRA,03/12/1997,,Juventude RS,Portuguesa,2,1,H,NaN,NaN,NaN
BRA,03/12/1997,,Flamengo RJ,Vasco da Gama,1,4,A,NaN,NaN,NaN
BRA,06/12/1997,,Portuguesa,Flamengo RJ,0,0,D,NaN,NaN,NaN
BRA,07/12/1997,,Vasco da Gama,Juventude RS,1,1,D,NaN,NaN,NaN
