Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BUL,06/08/2011,16:00,Cherno More Varna,PFC Montana,2,0,H,0,0,D
BUL,06/08/2011,16:00,Minyor Pernik,Vidima Rakovski,1,0,H,0,0,D
BUL,06/08/2011,16:00,FK Botev Vratsa,PFC Svetkavitsa,1,0,H,0,0,D
BUL,06/08/2011,18:00,PFC Ludogorets Razgrad,Lokomotiv Plovdiv,0,0,D,0,0,D
BUL,06/08/2011,18:00,PSFC Chernomorets,PFC Kaliakra Kavarna,1,0,H,0,0,D
BUL,07/08/2011,18:00,PFC Litex Lovech,PFC Beroe,2,1,H,0,1,A
BUL,07/08/2011,18:30,Lokomotiv Sofia,CSKA Sofia,1,2,A,0,1,A
BUL,08/08/2011,18:00,Levski Sofia,Slavia Sofia,1,0,H,1,0,H
BUL,13/08/2011,16:00,PFC Montana,PFC Kaliakra Kavarna,2,1,H,0,0,D
BUL,13/08/2011,16:00,Lokomotiv Plovdiv,Lokomotiv Sofia,2,1,H,2,0,H
BUL,13/08/2011,16:00,PFC Beroe,PFC Ludogorets Razgrad,1,2,A,1,0,H
BUL,13/08/2011,16:00,Vidima Rakovski,PFC Litex Lovech,1,1,D,0,0,D
BUL,13/08/2011,16:00,Cherno More Varna,Levski Sofia,3,1,H,1,0,H
BUL,13/08/2011,18:00,CSKA Sofia,PSFC Chernomorets,1,0,H,0,0,D
BUL,14/08/2011,16:00,PFC Svetkavitsa,Minyor Pernik,0,3,A,0,2,A
BUL,14/08/2011,16:00,Slavia Sofia,FK Botev Vratsa,3,2,H,2,1,H
BUL,20/08/2011,16:00,FK Botev Vratsa,Cherno More Varna,0,1,A,0,0,D
BUL,20/08/2011,16:00,Minyor Pernik,Slavia Sofia,1,1,D,1,1,D
BUL,20/08/2011,18:00,PFC Ludogorets Razgrad,Vidima Rakovski,4,0,H,2,0,H
BUL,20/08/2011,18:00,PSFC Chernomorets,Lokomotiv Plovdiv,2,0,H,1,0,H
BUL,21/08/2011,16:00,Levski Sofia,PFC Montana,1,0,H,1,0,H
BUL,21/08/2011,16:00,Lokomotiv Sofia,PFC Beroe,3,0,H,2,0,H
BUL,21/08/2011,18:00,PFC Litex Lovech,PFC Svetkavitsa,6,0,H,1,0,H
BUL,21/08/2011,18:30,PFC Kaliakra Kavarna,CSKA Sofia,1,2,A,0,2,A
BUL,27/08/2011,16:00,PFC Beroe,PSFC Chernomorets,1,2,A,0,0,D
BUL,27/08/2011,16:00,PFC Svetkavitsa,PFC Ludogorets Razgrad,0,1,A,0,0,D
BUL,27/08/2011,16:00,Cherno More Varna,Minyor Pernik,2,0,H,2,0,H
BUL,27/08/2011,18:00,Levski Sofia,FK Botev Vratsa,3,0,H,3,0,H
BUL,28/08/2011,15:30,PFC Montana,CSKA Sofia,0,5,A,0,0,D
BUL,28/08/2011,16:00,Lokomotiv Plovdiv,PFC Kaliakra Kavarna,2,0,H,2,0,H
BUL,28/08/2011,16:00,Vidima Rakovski,Lokomotiv Sofia,2,2,D,0,0,D
BUL,28/08/2011,16:00,Slavia Sofia,PFC Litex Lovech,0,2,A,0,1,A
BUL,09/09/2011,15:00,Lokomotiv Sofia,PFC Svetkavitsa,4,1,H,2,0,H
BUL,10/09/2011,15:00,FK Botev Vratsa,PFC Montana,2,4,A,0,2,A
BUL,10/09/2011,17:00,PSFC Chernomorets,Vidima Rakovski,4,0,H,4,0,H
BUL,10/09/2011,17:00,PFC Kaliakra Kavarna,PFC Beroe,3,1,H,3,0,H
BUL,10/09/2011,18:00,PFC Litex Lovech,Cherno More Varna,1,0,H,1,0,H
BUL,11/09/2011,15:00,Minyor Pernik,Levski Sofia,0,1,A,0,0,D
BUL,11/09/2011,17:00,PFC Ludogorets Razgrad,Slavia Sofia,6,0,H,1,0,H
BUL,12/09/2011,18:00,CSKA Sofia,Lokomotiv Plovdiv,3,0,H,2,0,H
BUL,16/09/2011,15:00,Vidima Rakovski,PFC Kaliakra Kavarna,1,0,H,1,0,H
BUL,17/09/2011,14:30,PFC Beroe,CSKA Sofia,0,1,A,0,1,A
