Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CHI,23/11/2005,,CD Cobreloa,Deportes Concepción,5,0,H,NaN,NaN,NaN
CHI,25/11/2005,,La Serena,Colo-Colo,1,1,D,NaN,NaN,NaN
CHI,26/11/2005,,CD Cobresal,CD Huachipato,2,1,H,NaN,NaN,NaN
CHI,27/11/2005,,CD Cobreloa,Universidad Católica,1,1,D,NaN,NaN,NaN
CHI,27/11/2005,,Universidad de Concepción,Universidad de Chile,1,2,A,NaN,NaN,NaN
CHI,03/12/2005,,Colo-Colo,La Serena,1,4,A,NaN,NaN,NaN
CHI,03/12/2005,,CD Huachipato,CD Cobresal,1,1,D,NaN,NaN,NaN
CHI,04/12/2005,,Universidad Católica,CD Cobreloa,2,1,H,NaN,NaN,NaN
CHI,04/12/2005,,Universidad de Chile,Universidad de Concepción,0,0,D,NaN,NaN,NaN
CHI,08/12/2005,,La Serena,Universidad Católica,3,3,D,NaN,NaN,NaN
CHI,08/12/2005,,CD Cobresal,Universidad de Chile,2,1,H,NaN,NaN,NaN
CHI,14/12/2005,,Universidad Católica,La Serena,1,0,H,NaN,NaN,NaN
CHI,14/12/2005,,Universidad de Chile,CD Cobresal,4,2,H,NaN,NaN,NaN
CHI,18/12/2005,,Universidad de Chile,Universidad Católica,0,1,A,NaN,NaN,NaN
CHI,22/12/2005,,Universidad Católica,Universidad de Chile,1,2,A,NaN,NaN,NaN
