Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CHI,23/01/2010,22:00,Unión San Felipe,Colo-Colo,3,2,H,1,1,D
CHI,24/01/2010,00:30,Everton,Unión Española,0,1,A,0,1,A
CHI,24/01/2010,19:00,CD Cobreloa,Santiago Wanderers,2,1,H,1,1,D
CHI,24/01/2010,20:30,Santiago Morning,La Serena,2,3,A,0,1,A
CHI,24/01/2010,20:30,CD Huachipato,San Luis,2,1,H,2,0,H
CHI,24/01/2010,20:30,CD Palestino,Universidad de Concepción,1,1,D,1,0,H
CHI,24/01/2010,23:00,Universidad de Chile,CD Cobresal,5,1,H,1,1,D
CHI,25/01/2010,23:00,Audax Italiano,Deportivo Ñublense,5,6,A,2,3,A
CHI,17/02/2010,22:00,O'Higgins,Universidad Católica,1,0,H,0,0,D
CHI,29/01/2010,23:00,Universidad de Concepción,Unión San Felipe,0,1,A,0,0,D
CHI,29/01/2010,23:00,Santiago Wanderers,CD Huachipato,0,0,D,0,0,D
CHI,30/01/2010,19:00,CD Cobresal,Santiago Morning,3,0,H,0,0,D
CHI,30/01/2010,22:00,Universidad Católica,CD Palestino,2,1,H,1,1,D
CHI,30/01/2010,23:00,Deportivo Ñublense,Everton,0,2,A,0,1,A
CHI,30/01/2010,23:00,San Luis,O'Higgins,1,2,A,1,1,D
CHI,31/01/2010,00:30,La Serena,Universidad de Chile,2,4,A,1,2,A
CHI,31/01/2010,20:00,Unión Española,Audax Italiano,2,2,D,2,0,H
CHI,31/01/2010,22:30,Colo-Colo,CD Cobreloa,3,1,H,1,0,H
CHI,02/02/2010,22:00,Universidad Católica,Santiago Morning,4,0,H,1,0,H
CHI,03/02/2010,00:30,La Serena,San Luis,1,3,A,1,1,D
CHI,03/02/2010,00:30,O'Higgins,Universidad de Concepción,1,2,A,1,1,D
CHI,03/02/2010,19:00,CD Cobreloa,CD Cobresal,2,1,H,1,0,H
CHI,03/02/2010,21:30,CD Palestino,Unión Española,0,0,D,0,0,D
CHI,03/02/2010,23:00,Unión San Felipe,Audax Italiano,1,2,A,1,1,D
CHI,03/02/2010,23:00,CD Huachipato,Deportivo Ñublense,1,1,D,0,1,A
CHI,04/02/2010,00:00,Everton,Universidad de Chile,2,1,H,1,1,D
CHI,04/02/2010,23:00,Colo-Colo,Santiago Wanderers,3,0,H,1,0,H
CHI,05/02/2010,23:00,San Luis,Universidad Católica,1,1,D,0,1,A
CHI,06/02/2010,22:00,Universidad de Concepción,Everton,2,1,H,2,1,H
CHI,07/02/2010,00:30,Universidad de Chile,CD Huachipato,3,0,H,1,0,H
CHI,07/02/2010,19:00,CD Cobresal,O'Higgins,1,2,A,0,0,D
CHI,07/02/2010,21:00,Santiago Morning,Unión San Felipe,1,0,H,1,0,H
CHI,07/02/2010,21:30,Unión Española,Colo-Colo,1,0,H,1,0,H
CHI,07/02/2010,22:30,Santiago Wanderers,La Serena,5,0,H,3,0,H
CHI,07/02/2010,23:30,Audax Italiano,CD Cobreloa,3,1,H,1,0,H
CHI,07/02/2010,23:30,Deportivo Ñublense,CD Palestino,1,0,H,1,0,H
CHI,12/02/2010,23:00,Colo-Colo,Deportivo Ñublense,2,2,D,0,1,A
CHI,13/02/2010,21:30,Santiago Wanderers,Universidad de Chile,3,3,D,1,1,D
CHI,13/02/2010,22:00,Santiago Morning,CD Palestino,2,1,H,1,0,H
CHI,14/02/2010,00:00,La Serena,Unión San Felipe,3,1,H,1,1,D
CHI,14/02/2010,19:00,CD Cobreloa,Universidad de Concepción,1,1,D,1,1,D
CHI,14/02/2010,20:30,O'Higgins,Audax Italiano,5,1,H,3,1,H
CHI,14/02/2010,21:00,San Luis,Everton,0,2,A,0,1,A
CHI,14/02/2010,21:00,CD Huachipato,Unión Española,1,2,A,0,1,A
CHI,14/02/2010,23:00,Universidad Católica,CD Cobresal,0,2,A,0,1,A
CHI,19/02/2010,23:00,Everton,CD Huachipato,0,1,A,0,0,D
CHI,20/02/2010,21:00,Unión Española,Universidad Católica,2,1,H,1,0,H
CHI,20/02/2010,21:00,Universidad de Concepción,San Luis,1,1,D,1,0,H
CHI,20/02/2010,23:00,Audax Italiano,Colo-Colo,2,3,A,1,0,H
CHI,21/02/2010,19:00,CD Cobresal,Santiago Wanderers,1,0,H,1,0,H
CHI,21/02/2010,21:00,CD Palestino,CD Cobreloa,1,0,H,0,0,D
