Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
COL,26/11/2016,22:30,Atlético Bucaramanga,Deportivo Cali,2,1,H,0,0,D
COL,27/11/2016,00:45,Independiente Medellín,Santa Fe,1,2,A,1,1,D
COL,27/11/2016,23:00,Patriotas FC,Deportes Tolima,1,2,A,1,0,H
COL,28/11/2016,00:05,Millonarios,Atlético Nacional,2,1,H,0,1,A
COL,03/12/2016,22:30,Santa Fe,Independiente Medellín,2,0,H,1,0,H
COL,04/12/2016,00:30,Atlético Nacional,Millonarios,3,0,H,1,0,H
COL,04/12/2016,20:00,Deportes Tolima,Patriotas FC,0,1,A,0,0,D
COL,05/12/2016,00:00,Deportivo Cali,Atlético Bucaramanga,1,1,D,1,0,H
COL,08/12/2016,00:00,Santa Fe,Atlético Nacional,1,1,D,0,1,A
COL,09/12/2016,00:00,Atlético Bucaramanga,Deportes Tolima,1,0,H,1,0,H
COL,11/12/2016,21:30,Deportes Tolima,Atlético Bucaramanga,2,1,H,1,0,H
COL,12/12/2016,00:00,Atlético Nacional,Santa Fe,0,4,A,0,2,A
COL,15/12/2016,00:00,Deportes Tolima,Santa Fe,0,0,D,0,0,D
COL,18/12/2016,23:00,Santa Fe,Deportes Tolima,1,0,H,1,0,H
