Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
COL,31/05/2017,21:15,Jaguares de Córdoba,Atlético Nacional,1,3,A,0,1,A
COL,01/06/2017,00:00,América de Cali,Deportivo Pasto,0,0,D,0,0,D
COL,01/06/2017,02:00,Atlético Bucaramanga,Millonarios,2,2,D,0,1,A
COL,02/06/2017,00:00,Deportivo Cali,Independiente Medellín,4,1,H,2,0,H
COL,04/06/2017,00:30,Deportivo Pasto,América de Cali,0,1,A,0,0,D
COL,04/06/2017,02:15,Atlético Nacional,Jaguares de Córdoba,3,2,H,0,1,A
COL,04/06/2017,23:30,Millonarios,Atlético Bucaramanga,2,0,H,2,0,H
COL,05/06/2017,01:30,Independiente Medellín,Deportivo Cali,3,1,H,2,0,H
COL,08/06/2017,01:05,Millonarios,Atlético Nacional,0,0,D,0,0,D
COL,09/06/2017,02:00,América de Cali,Deportivo Cali,0,0,D,0,0,D
COL,11/06/2017,23:15,Deportivo Cali,América de Cali,2,0,H,0,0,D
COL,12/06/2017,01:30,Atlético Nacional,Millonarios,1,0,H,0,0,D
COL,15/06/2017,01:00,Deportivo Cali,Atlético Nacional,2,0,H,1,0,H
COL,19/06/2017,01:00,Atlético Nacional,Deportivo Cali,5,1,H,3,1,H
