Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CRO,17/04/1999,,HNK Rijeka,NK Varteks,2,1,H,NaN,NaN,NaN
CRO,17/04/1999,,Hajduk Split,NK Osijek,4,1,H,NaN,NaN,NaN
CRO,18/04/1999,,Croatia Zagreb,Hrvatski Dragovoljac,1,0,H,NaN,NaN,NaN
CRO,21/04/1999,,NK Varteks,Hajduk Split,1,2,A,NaN,NaN,NaN
CRO,21/04/1999,,Hrvatski Dragovoljac,NK Osijek,3,2,H,NaN,NaN,NaN
CRO,21/04/1999,,Croatia Zagreb,HNK Rijeka,0,1,A,NaN,NaN,NaN
CRO,25/04/1999,,HNK Rijeka,Hrvatski Dragovoljac,3,0,H,NaN,NaN,NaN
CRO,25/04/1999,,NK Osijek,NK Varteks,0,2,A,NaN,NaN,NaN
CRO,25/04/1999,,Hajduk Split,Croatia Zagreb,1,0,H,NaN,NaN,NaN
CRO,02/05/1999,,HNK Rijeka,Hajduk Split,3,3,D,NaN,NaN,NaN
CRO,02/05/1999,,Hrvatski Dragovoljac,NK Varteks,3,0,H,NaN,NaN,NaN
CRO,02/05/1999,,Croatia Zagreb,NK Osijek,1,1,D,NaN,NaN,NaN
CRO,09/05/1999,,NK Varteks,Croatia Zagreb,1,2,A,NaN,NaN,NaN
CRO,09/05/1999,,NK Osijek,HNK Rijeka,5,2,H,NaN,NaN,NaN
CRO,09/05/1999,,Hajduk Split,Hrvatski Dragovoljac,6,1,H,NaN,NaN,NaN
CRO,12/05/1999,,NK Varteks,HNK Rijeka,1,1,D,NaN,NaN,NaN
CRO,12/05/1999,,NK Osijek,Hajduk Split,1,1,D,NaN,NaN,NaN
CRO,12/05/1999,,Hrvatski Dragovoljac,Croatia Zagreb,1,1,D,NaN,NaN,NaN
CRO,16/05/1999,,HNK Rijeka,Croatia Zagreb,0,2,A,NaN,NaN,NaN
CRO,16/05/1999,,NK Osijek,Hrvatski Dragovoljac,2,1,H,NaN,NaN,NaN
CRO,16/05/1999,,Hajduk Split,NK Varteks,4,1,H,NaN,NaN,NaN
CRO,19/05/1999,,NK Varteks,NK Osijek,0,1,A,NaN,NaN,NaN
CRO,19/05/1999,,Hrvatski Dragovoljac,HNK Rijeka,1,2,A,NaN,NaN,NaN
CRO,19/05/1999,,Croatia Zagreb,Hajduk Split,1,1,D,NaN,NaN,NaN
CRO,23/05/1999,,NK Varteks,Hrvatski Dragovoljac,3,2,H,NaN,NaN,NaN
CRO,23/05/1999,,NK Osijek,Croatia Zagreb,0,1,A,NaN,NaN,NaN
CRO,23/05/1999,,Hajduk Split,HNK Rijeka,1,3,A,NaN,NaN,NaN
CRO,26/05/1999,,HNK Rijeka,NK Osijek,1,1,D,NaN,NaN,NaN
CRO,26/05/1999,,Hrvatski Dragovoljac,Hajduk Split,3,1,H,NaN,NaN,NaN
CRO,26/05/1999,,Croatia Zagreb,NK Varteks,2,0,H,NaN,NaN,NaN
