Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CRO,29/07/2000,,NK Varteks,Slaven Belupo,1,1,D,NaN,NaN,NaN
CRO,29/07/2000,,HNK Rijeka,HNK Šibenik,0,1,A,NaN,NaN,NaN
CRO,30/07/2000,,NK Osijek,NK Zagreb,4,3,H,NaN,NaN,NaN
CRO,30/07/2000,,Hrvatski Dragovoljac,NK Čakovec,2,0,H,NaN,NaN,NaN
CRO,30/07/2000,,Dinamo Zagreb,Cibalia Vinkovci,6,1,H,NaN,NaN,NaN
CRO,09/08/2000,,Hajduk Split,NK Marsonia,2,0,H,NaN,NaN,NaN
CRO,04/08/2000,,HNK Rijeka,Dinamo Zagreb,0,1,A,NaN,NaN,NaN
CRO,05/08/2000,,Slaven Belupo,NK Osijek,0,0,D,NaN,NaN,NaN
CRO,05/08/2000,,Cibalia Vinkovci,Hrvatski Dragovoljac,0,0,D,NaN,NaN,NaN
CRO,05/08/2000,,NK Čakovec,NK Varteks,2,2,D,NaN,NaN,NaN
CRO,06/08/2000,,NK Zagreb,Hajduk Split,0,2,A,NaN,NaN,NaN
CRO,06/08/2000,,HNK Šibenik,NK Marsonia,1,0,H,NaN,NaN,NaN
CRO,12/08/2000,,NK Varteks,Cibalia Vinkovci,3,0,H,NaN,NaN,NaN
CRO,13/08/2000,,NK Osijek,NK Čakovec,4,3,H,NaN,NaN,NaN
CRO,13/08/2000,,NK Marsonia,NK Zagreb,2,3,A,NaN,NaN,NaN
CRO,13/08/2000,,Hajduk Split,Slaven Belupo,2,1,H,NaN,NaN,NaN
CRO,13/08/2000,,Dinamo Zagreb,HNK Šibenik,2,0,H,NaN,NaN,NaN
CRO,14/08/2000,,Hrvatski Dragovoljac,HNK Rijeka,0,0,D,NaN,NaN,NaN
CRO,19/08/2000,,Slaven Belupo,NK Marsonia,3,1,H,NaN,NaN,NaN
CRO,19/08/2000,,HNK Rijeka,NK Varteks,2,2,D,NaN,NaN,NaN
CRO,19/08/2000,,Cibalia Vinkovci,NK Osijek,1,1,D,NaN,NaN,NaN
CRO,19/08/2000,,NK Čakovec,Hajduk Split,2,0,H,NaN,NaN,NaN
CRO,20/08/2000,,HNK Šibenik,NK Zagreb,1,3,A,NaN,NaN,NaN
CRO,06/09/2000,,Dinamo Zagreb,Hrvatski Dragovoljac,2,1,H,NaN,NaN,NaN
CRO,26/08/2000,,NK Varteks,Dinamo Zagreb,1,1,D,NaN,NaN,NaN
CRO,27/08/2000,,NK Zagreb,Slaven Belupo,3,2,H,NaN,NaN,NaN
CRO,27/08/2000,,NK Marsonia,NK Čakovec,0,1,A,NaN,NaN,NaN
CRO,27/08/2000,,Hrvatski Dragovoljac,HNK Šibenik,2,1,H,NaN,NaN,NaN
CRO,27/08/2000,,Hajduk Split,Cibalia Vinkovci,1,1,D,NaN,NaN,NaN
CRO,29/08/2000,,NK Osijek,HNK Rijeka,1,2,A,NaN,NaN,NaN
CRO,09/09/2000,,HNK Rijeka,Hajduk Split,0,0,D,NaN,NaN,NaN
CRO,09/09/2000,,Dinamo Zagreb,NK Osijek,0,1,A,NaN,NaN,NaN
