Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ECU,19/10/2008,17:30,El Nacional,Barcelona SC,0,0,D,NaN,NaN,NaN
ECU,19/10/2008,17:30,Deportivo Cuenca,Deportivo Quito,0,1,A,NaN,NaN,NaN
ECU,19/10/2008,17:30,Macará,LDU Quito,0,1,A,NaN,NaN,NaN
ECU,22/10/2008,22:00,Barcelona SC,Deportivo Cuenca,1,0,H,NaN,NaN,NaN
ECU,23/10/2008,00:00,Deportivo Quito,Macará,2,0,H,NaN,NaN,NaN
ECU,23/10/2008,01:30,LDU Quito,El Nacional,3,1,H,NaN,NaN,NaN
ECU,26/10/2008,16:30,LDU Quito,Deportivo Quito,0,2,A,NaN,NaN,NaN
ECU,26/10/2008,16:30,Macará,Barcelona SC,1,1,D,NaN,NaN,NaN
ECU,26/10/2008,16:30,Deportivo Cuenca,El Nacional,1,1,D,NaN,NaN,NaN
ECU,01/11/2008,00:00,Deportivo Cuenca,Macará,2,2,D,NaN,NaN,NaN
ECU,01/11/2008,00:30,El Nacional,Deportivo Quito,1,0,H,NaN,NaN,NaN
ECU,02/11/2008,21:30,Barcelona SC,LDU Quito,2,1,H,NaN,NaN,NaN
ECU,08/11/2008,21:00,Macará,El Nacional,0,1,A,NaN,NaN,NaN
ECU,09/11/2008,16:30,LDU Quito,Deportivo Cuenca,1,2,A,NaN,NaN,NaN
ECU,09/11/2008,17:00,Deportivo Quito,Barcelona SC,1,1,D,NaN,NaN,NaN
ECU,15/11/2008,01:30,Deportivo Cuenca,LDU Quito,0,2,A,NaN,NaN,NaN
ECU,16/11/2008,16:30,El Nacional,Macará,2,2,D,NaN,NaN,NaN
ECU,16/11/2008,21:00,Barcelona SC,Deportivo Quito,1,1,D,NaN,NaN,NaN
ECU,22/11/2008,00:30,Macará,Deportivo Cuenca,1,2,A,NaN,NaN,NaN
ECU,23/11/2008,16:30,LDU Quito,Barcelona SC,2,1,H,NaN,NaN,NaN
ECU,23/11/2008,21:00,Deportivo Quito,El Nacional,1,0,H,NaN,NaN,NaN
ECU,29/11/2008,00:15,El Nacional,Deportivo Cuenca,2,0,H,NaN,NaN,NaN
ECU,30/11/2008,16:30,Deportivo Quito,LDU Quito,2,0,H,NaN,NaN,NaN
ECU,30/11/2008,21:00,Barcelona SC,Macará,2,2,D,NaN,NaN,NaN
ECU,04/12/2008,00:30,Deportivo Cuenca,Barcelona SC,2,0,H,NaN,NaN,NaN
ECU,04/12/2008,00:30,Macará,Deportivo Quito,1,2,A,NaN,NaN,NaN
ECU,04/12/2008,00:30,El Nacional,LDU Quito,1,1,D,NaN,NaN,NaN
ECU,07/12/2008,16:30,Barcelona SC,El Nacional,1,1,D,NaN,NaN,NaN
ECU,07/12/2008,16:30,Deportivo Quito,Deportivo Cuenca,0,1,A,NaN,NaN,NaN
ECU,07/12/2008,16:30,LDU Quito,Macará,4,3,H,NaN,NaN,NaN
