Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ECU,06/02/2010,01:30,CS Emelec,Deportivo Quito,1,1,D,0,0,D
ECU,06/02/2010,19:00,El Nacional,Deportivo Cuenca,0,0,D,0,0,D
ECU,06/02/2010,20:00,Independiente del Valle,Manta FC,1,0,H,0,0,D
ECU,06/02/2010,21:00,CD Olmedo,Espoli,1,1,D,0,0,D
ECU,07/02/2010,16:30,CD Universidad Catolica,Barcelona SC,0,3,A,0,2,A
ECU,07/02/2010,16:45,Macará,LDU Quito,2,2,D,1,0,H
ECU,13/02/2010,00:00,LDU Quito,Independiente del Valle,3,0,H,2,0,H
ECU,13/02/2010,01:00,Manta FC,CD Olmedo,1,0,H,0,0,D
ECU,13/02/2010,23:00,Deportivo Quito,El Nacional,1,3,A,1,1,D
ECU,13/02/2010,23:00,Barcelona SC,Macará,2,0,H,0,0,D
ECU,14/02/2010,19:00,Espoli,CS Emelec,0,3,A,0,0,D
ECU,24/02/2010,23:00,Deportivo Cuenca,CD Universidad Catolica,1,0,H,1,0,H
ECU,19/02/2010,01:30,CS Emelec,Manta FC,3,3,D,1,0,H
ECU,20/02/2010,21:00,Deportivo Quito,Espoli,2,0,H,1,0,H
ECU,21/02/2010,15:00,El Nacional,CD Universidad Catolica,1,2,A,0,0,D
ECU,21/02/2010,17:00,Macará,Deportivo Cuenca,1,2,A,0,1,A
ECU,21/02/2010,17:00,CD Olmedo,LDU Quito,0,1,A,0,1,A
ECU,21/02/2010,17:15,Independiente del Valle,Barcelona SC,1,1,D,1,1,D
ECU,27/02/2010,01:00,Manta FC,Deportivo Quito,3,0,H,1,0,H
ECU,27/02/2010,19:00,Espoli,El Nacional,5,3,H,2,1,H
ECU,28/02/2010,16:30,LDU Quito,CS Emelec,5,0,H,2,0,H
ECU,28/02/2010,17:00,Deportivo Cuenca,Independiente del Valle,3,0,H,3,0,H
ECU,28/02/2010,18:45,CD Universidad Catolica,Macará,2,3,A,2,1,H
ECU,28/02/2010,21:00,Barcelona SC,CD Olmedo,1,0,H,0,0,D
ECU,06/03/2010,00:00,CD Olmedo,Deportivo Cuenca,1,1,D,1,1,D
ECU,06/03/2010,19:00,Espoli,Manta FC,2,0,H,1,0,H
ECU,06/03/2010,20:00,Independiente del Valle,CD Universidad Catolica,1,1,D,0,0,D
ECU,06/03/2010,21:00,Deportivo Quito,LDU Quito,0,1,A,0,1,A
ECU,07/03/2010,17:00,El Nacional,Macará,1,1,D,1,0,H
ECU,07/03/2010,20:00,CS Emelec,Barcelona SC,3,0,H,1,0,H
ECU,13/03/2010,17:00,CD Universidad Catolica,CD Olmedo,0,0,D,0,0,D
ECU,14/03/2010,00:00,Manta FC,El Nacional,2,2,D,2,0,H
ECU,14/03/2010,16:30,LDU Quito,Espoli,1,1,D,1,0,H
ECU,14/03/2010,17:00,Macará,Independiente del Valle,1,1,D,1,0,H
ECU,16/03/2010,01:00,Barcelona SC,Deportivo Quito,1,0,H,0,0,D
ECU,27/05/2010,02:35,Deportivo Cuenca,CS Emelec,2,0,H,1,0,H
