Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ECU,23/07/2011,01:30,LDU Loja,El Nacional,0,3,A,0,1,A
ECU,23/07/2011,18:00,Deportivo Quito,Manta FC,4,0,H,3,0,H
ECU,23/07/2011,21:00,Espoli,Barcelona SC,2,2,D,1,1,D
ECU,23/07/2011,22:00,CD Olmedo,LDU Quito,2,0,H,1,0,H
ECU,23/07/2011,22:00,CS Emelec,SC Imbabura,5,0,H,2,0,H
ECU,23/07/2011,23:30,Independiente del Valle,Deportivo Cuenca,0,1,A,0,0,D
ECU,27/07/2011,20:00,Manta FC,CD Olmedo,2,1,H,2,1,H
ECU,27/07/2011,23:45,SC Imbabura,Independiente del Valle,0,1,A,0,1,A
ECU,28/07/2011,00:00,El Nacional,Deportivo Quito,0,3,A,0,1,A
ECU,28/07/2011,01:15,Barcelona SC,LDU Loja,2,0,H,1,0,H
ECU,28/07/2011,01:45,LDU Quito,CS Emelec,1,0,H,0,0,D
ECU,28/07/2011,02:45,Deportivo Cuenca,Espoli,0,0,D,0,0,D
ECU,31/07/2011,17:30,LDU Loja,Deportivo Cuenca,4,2,H,4,0,H
ECU,31/07/2011,18:00,CD Olmedo,El Nacional,4,1,H,2,0,H
ECU,31/07/2011,18:00,Deportivo Quito,Barcelona SC,1,0,H,1,0,H
ECU,31/07/2011,18:00,Independiente del Valle,Espoli,1,0,H,1,0,H
ECU,31/07/2011,20:00,SC Imbabura,LDU Quito,0,1,A,0,0,D
ECU,31/07/2011,23:30,CS Emelec,Manta FC,1,0,H,1,0,H
ECU,07/08/2011,18:00,Deportivo Cuenca,Deportivo Quito,0,1,A,0,0,D
ECU,07/08/2011,18:00,Manta FC,SC Imbabura,0,1,A,0,1,A
ECU,07/08/2011,18:00,El Nacional,CS Emelec,2,1,H,0,1,A
ECU,07/08/2011,21:00,Espoli,LDU Loja,1,1,D,1,0,H
ECU,07/08/2011,22:00,Barcelona SC,CD Olmedo,1,0,H,0,0,D
ECU,09/08/2011,01:30,LDU Quito,Independiente del Valle,1,2,A,0,1,A
ECU,13/08/2011,18:00,Deportivo Quito,Espoli,2,0,H,0,0,D
ECU,13/08/2011,22:00,CD Olmedo,Deportivo Cuenca,1,1,D,0,0,D
ECU,14/08/2011,00:00,SC Imbabura,El Nacional,1,3,A,1,1,D
ECU,14/08/2011,00:00,LDU Quito,Manta FC,6,0,H,4,0,H
ECU,14/08/2011,00:30,Independiente del Valle,LDU Loja,3,6,A,2,2,D
ECU,14/08/2011,22:00,CS Emelec,Barcelona SC,1,1,D,0,0,D
ECU,20/08/2011,02:00,Deportivo Cuenca,CS Emelec,2,0,H,1,0,H
ECU,20/08/2011,21:00,Espoli,CD Olmedo,0,1,A,0,1,A
ECU,20/08/2011,22:00,Manta FC,Independiente del Valle,0,0,D,0,0,D
ECU,20/08/2011,22:30,Barcelona SC,SC Imbabura,3,1,H,2,0,H
ECU,21/08/2011,18:00,LDU Loja,Deportivo Quito,0,1,A,0,0,D
ECU,21/08/2011,18:00,El Nacional,LDU Quito,2,3,A,1,1,D
ECU,24/08/2011,22:00,CD Olmedo,LDU Loja,1,0,H,1,0,H
ECU,24/08/2011,22:00,Manta FC,El Nacional,0,1,A,0,0,D
ECU,24/08/2011,23:00,Independiente del Valle,Deportivo Quito,0,1,A,0,0,D
ECU,25/08/2011,01:00,SC Imbabura,Deportivo Cuenca,1,0,H,0,0,D
ECU,25/08/2011,01:30,LDU Quito,Barcelona SC,0,0,D,0,0,D
ECU,25/08/2011,02:45,CS Emelec,Espoli,4,0,H,0,0,D
ECU,28/08/2011,16:45,Deportivo Quito,CD Olmedo,1,0,H,1,0,H
ECU,28/08/2011,17:15,Deportivo Cuenca,LDU Quito,2,1,H,1,0,H
ECU,28/08/2011,19:00,LDU Loja,CS Emelec,0,2,A,0,1,A
ECU,28/08/2011,19:10,El Nacional,Independiente del Valle,2,2,D,1,1,D
ECU,28/08/2011,21:00,Espoli,SC Imbabura,2,1,H,0,0,D
ECU,28/08/2011,22:30,Barcelona SC,Manta FC,1,0,H,0,0,D
ECU,10/09/2011,01:00,Manta FC,Deportivo Cuenca,1,1,D,0,1,A
ECU,11/09/2011,00:00,SC Imbabura,LDU Loja,0,0,D,0,0,D
ECU,11/09/2011,00:00,Independiente del Valle,CD Olmedo,3,0,H,0,0,D
ECU,11/09/2011,01:30,LDU Quito,Espoli,1,0,H,0,0,D
ECU,11/09/2011,18:00,El Nacional,Barcelona SC,2,0,H,0,0,D
ECU,11/09/2011,22:00,CS Emelec,Deportivo Quito,0,0,D,0,0,D
ECU,17/09/2011,18:00,Deportivo Quito,SC Imbabura,2,2,D,0,1,A
ECU,17/09/2011,21:00,Espoli,Manta FC,0,0,D,0,0,D
ECU,18/09/2011,01:00,LDU Loja,LDU Quito,3,2,H,2,0,H
ECU,18/09/2011,17:45,Deportivo Cuenca,El Nacional,1,1,D,1,0,H
ECU,18/09/2011,22:30,Barcelona SC,Independiente del Valle,1,0,H,0,0,D
ECU,20/10/2011,00:30,CD Olmedo,CS Emelec,0,3,A,0,1,A
ECU,24/09/2011,01:00,SC Imbabura,CD Olmedo,0,0,D,0,0,D
ECU,25/09/2011,18:00,El Nacional,Espoli,2,1,H,0,1,A
ECU,25/09/2011,18:30,Independiente del Valle,CS Emelec,5,0,H,4,0,H
ECU,25/09/2011,19:45,Manta FC,LDU Loja,3,1,H,1,0,H
ECU,25/09/2011,22:30,Barcelona SC,Deportivo Cuenca,2,1,H,0,1,A
ECU,20/10/2011,01:30,LDU Quito,Deportivo Quito,1,0,H,0,0,D
ECU,01/10/2011,01:30,LDU Loja,Manta FC,2,0,H,2,0,H
ECU,01/10/2011,18:00,Deportivo Cuenca,Barcelona SC,0,0,D,0,0,D
ECU,01/10/2011,21:00,Espoli,El Nacional,2,1,H,2,1,H
ECU,02/10/2011,02:45,CS Emelec,Independiente del Valle,2,0,H,2,0,H
ECU,02/10/2011,18:00,CD Olmedo,SC Imbabura,2,1,H,1,1,D
ECU,02/10/2011,18:00,Deportivo Quito,LDU Quito,1,1,D,1,0,H
ECU,15/10/2011,20:00,Manta FC,Espoli,0,1,A,0,1,A
ECU,16/10/2011,00:00,CS Emelec,CD Olmedo,3,0,H,0,0,D
ECU,16/10/2011,00:00,SC Imbabura,Deportivo Quito,1,4,A,0,2,A
ECU,16/10/2011,16:30,El Nacional,Deportivo Cuenca,1,1,D,0,1,A
ECU,16/10/2011,17:30,LDU Quito,LDU Loja,3,0,H,0,0,D
ECU,16/10/2011,19:00,Independiente del Valle,Barcelona SC,0,3,A,0,1,A
ECU,23/10/2011,00:00,LDU Loja,SC Imbabura,4,0,H,2,0,H
ECU,23/10/2011,01:00,CD Olmedo,Independiente del Valle,1,0,H,0,0,D
ECU,23/10/2011,18:00,Deportivo Cuenca,Manta FC,2,0,H,0,0,D
ECU,23/10/2011,18:00,Deportivo Quito,CS Emelec,2,0,H,2,0,H
ECU,23/10/2011,21:00,Espoli,LDU Quito,1,0,H,0,0,D
ECU,23/10/2011,22:30,Barcelona SC,El Nacional,3,1,H,1,1,D
ECU,30/10/2011,16:30,LDU Quito,Deportivo Cuenca,4,1,H,3,1,H
ECU,30/10/2011,17:30,CD Olmedo,Deportivo Quito,2,2,D,1,0,H
ECU,30/10/2011,18:00,Independiente del Valle,El Nacional,1,2,A,0,2,A
ECU,30/10/2011,19:00,Manta FC,Barcelona SC,2,0,H,0,0,D
ECU,30/10/2011,21:00,SC Imbabura,Espoli,3,0,H,3,0,H
ECU,30/10/2011,22:00,CS Emelec,LDU Loja,4,1,H,1,0,H
ECU,26/10/2011,21:00,Espoli,CS Emelec,1,3,A,0,3,A
ECU,26/10/2011,22:00,Deportivo Cuenca,SC Imbabura,2,1,H,1,0,H
ECU,26/10/2011,22:30,El Nacional,Manta FC,0,1,A,0,1,A
ECU,27/10/2011,01:00,LDU Loja,CD Olmedo,1,1,D,1,0,H
ECU,27/10/2011,01:00,Deportivo Quito,Independiente del Valle,2,2,D,0,1,A
ECU,27/10/2011,01:30,Barcelona SC,LDU Quito,2,3,A,1,0,H
ECU,02/11/2011,17:00,Deportivo Quito,LDU Loja,3,0,H,1,0,H
ECU,04/11/2011,17:00,Independiente del Valle,Manta FC,3,2,H,1,1,D
ECU,05/11/2011,17:00,SC Imbabura,Barcelona SC,3,1,H,2,1,H
