Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ESP,13/09/1953,,Valencia CF,Athletic Bilbao,3,0,H,3,0,H
ESP,13/09/1953,,Espanyol Barcelona,Atlético Madrid,3,1,H,1,1,D
ESP,13/09/1953,,Real Jaén,Sevilla FC,3,1,H,1,1,D
ESP,13/09/1953,,Sporting Gijón,Real Oviedo,0,0,D,0,0,D
ESP,13/09/1953,,Celta Vigo,Racing Santander,1,2,A,0,2,A
ESP,13/09/1953,,Real Valladolid,Deportivo La Coruña,2,1,H,1,1,D
ESP,13/09/1953,,Real Madrid,CA Osasuna,2,0,H,1,0,H
ESP,13/09/1953,,Real Sociedad,FC Barcelona,0,3,A,0,1,A
ESP,20/09/1953,,Real Oviedo,Celta Vigo,0,1,A,0,1,A
ESP,20/09/1953,,FC Barcelona,Real Jaén,6,2,H,1,1,D
ESP,20/09/1953,,Deportivo La Coruña,Sporting Gijón,2,1,H,2,1,H
ESP,20/09/1953,,Athletic Bilbao,Real Madrid,2,3,A,1,2,A
ESP,20/09/1953,,Racing Santander,Valencia CF,3,1,H,1,0,H
ESP,20/09/1953,,CA Osasuna,Espanyol Barcelona,2,3,A,1,1,D
ESP,20/09/1953,,Atlético Madrid,Real Sociedad,1,1,D,1,0,H
ESP,20/09/1953,,Sevilla FC,Real Valladolid,3,1,H,2,0,H
ESP,27/09/1953,,Real Jaén,Atlético Madrid,1,0,H,0,0,D
ESP,27/09/1953,,Celta Vigo,Deportivo La Coruña,3,1,H,3,0,H
ESP,27/09/1953,,Real Madrid,Racing Santander,4,2,H,2,0,H
ESP,27/09/1953,,Valencia CF,Real Oviedo,3,0,H,1,0,H
ESP,27/09/1953,,Sporting Gijón,Sevilla FC,3,1,H,2,0,H
ESP,27/09/1953,,CA Osasuna,Athletic Bilbao,3,2,H,1,2,A
ESP,27/09/1953,,Real Valladolid,FC Barcelona,2,2,D,2,1,H
ESP,27/09/1953,,Espanyol Barcelona,Real Sociedad,1,1,D,0,1,A
ESP,04/10/1953,,FC Barcelona,Sporting Gijón,3,1,H,0,0,D
ESP,04/10/1953,,Atlético Madrid,Real Valladolid,1,2,A,0,0,D
ESP,04/10/1953,,Racing Santander,CA Osasuna,3,0,H,1,0,H
ESP,04/10/1953,,Deportivo La Coruña,Valencia CF,1,1,D,0,0,D
ESP,04/10/1953,,Real Oviedo,Real Madrid,0,4,A,0,2,A
ESP,04/10/1953,,Athletic Bilbao,Espanyol Barcelona,0,0,D,0,0,D
ESP,04/10/1953,,Sevilla FC,Celta Vigo,1,0,H,0,0,D
ESP,04/10/1953,,Real Sociedad,Real Jaén,2,1,H,1,0,H
ESP,11/10/1953,,Valencia CF,Sevilla FC,2,3,A,1,1,D
ESP,11/10/1953,,Espanyol Barcelona,Real Jaén,1,2,A,1,2,A
