Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
HON,19/01/2013,21:00,CD Marathón,Platense FC,3,0,H,NaN,NaN,NaN
HON,20/01/2013,00:00,Deportes Savio,CD Victoria,0,0,D,NaN,NaN,NaN
HON,20/01/2013,01:00,Atlético Choloma,Real España,2,2,D,NaN,NaN,NaN
HON,20/01/2013,21:00,CDS Vida,CD Olimpia,0,2,A,NaN,NaN,NaN
HON,20/01/2013,21:00,CD Motagua,Real Sociedad,0,1,A,NaN,NaN,NaN
HON,27/01/2013,01:00,Real España,Platense FC,1,1,D,NaN,NaN,NaN
HON,27/01/2013,01:00,CD Olimpia,Atlético Choloma,2,1,H,NaN,NaN,NaN
HON,27/01/2013,20:00,Deportes Savio,CD Motagua,3,2,H,NaN,NaN,NaN
HON,27/01/2013,20:00,Real Sociedad,CDS Vida,3,0,H,NaN,NaN,NaN
HON,27/01/2013,21:00,CD Victoria,CD Marathón,2,0,H,NaN,NaN,NaN
HON,31/01/2013,01:00,CD Motagua,Real España,0,0,D,NaN,NaN,NaN
HON,31/01/2013,01:00,Platense FC,Deportes Savio,1,0,H,NaN,NaN,NaN
HON,01/02/2013,01:00,Atlético Choloma,Real Sociedad,1,1,D,NaN,NaN,NaN
HON,01/02/2013,01:00,CD Marathón,CD Olimpia,2,1,H,NaN,NaN,NaN
HON,01/02/2013,01:30,CDS Vida,CD Victoria,0,0,D,NaN,NaN,NaN
HON,03/02/2013,01:00,Real España,Deportes Savio,1,0,H,NaN,NaN,NaN
HON,03/02/2013,19:00,Real Sociedad,CD Marathón,1,1,D,NaN,NaN,NaN
HON,03/02/2013,21:00,Platense FC,Atlético Choloma,2,0,H,NaN,NaN,NaN
HON,03/02/2013,21:00,CDS Vida,CD Motagua,0,3,A,NaN,NaN,NaN
HON,03/02/2013,22:00,CD Olimpia,CD Victoria,0,1,A,NaN,NaN,NaN
HON,09/02/2013,01:00,Atlético Choloma,CDS Vida,4,1,H,NaN,NaN,NaN
HON,09/02/2013,21:00,CD Marathón,Real España,0,0,D,NaN,NaN,NaN
HON,10/02/2013,00:00,Deportes Savio,Real Sociedad,3,1,H,NaN,NaN,NaN
HON,10/02/2013,21:00,CD Victoria,Platense FC,3,2,H,NaN,NaN,NaN
HON,10/02/2013,22:00,CD Olimpia,CD Motagua,1,0,H,NaN,NaN,NaN
HON,13/02/2013,20:00,Real Sociedad,CD Victoria,2,0,H,NaN,NaN,NaN
HON,13/02/2013,21:00,CD Marathón,Deportes Savio,3,2,H,NaN,NaN,NaN
HON,13/02/2013,21:00,Platense FC,CD Olimpia,1,2,A,NaN,NaN,NaN
HON,14/02/2013,01:00,CDS Vida,Real España,1,0,H,NaN,NaN,NaN
HON,15/02/2013,01:00,CD Motagua,Atlético Choloma,1,0,H,NaN,NaN,NaN
HON,17/02/2013,00:00,Deportes Savio,CDS Vida,1,1,D,NaN,NaN,NaN
HON,17/02/2013,01:00,Real España,CD Olimpia,2,1,H,NaN,NaN,NaN
