Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
IDN,16/02/2013,08:30,Pro Duta FC,Semen Padang,0,2,A,NaN,NaN,NaN
IDN,24/02/2013,08:30,Persebaya 1927,Bontang FC,5,0,H,NaN,NaN,NaN
IDN,24/02/2013,12:00,Persijap Jepara,Persija Jakarta,5,0,H,NaN,NaN,NaN
IDN,26/02/2013,08:30,PSIR Rembang,Persema Malang,3,2,H,NaN,NaN,NaN
IDN,26/02/2013,08:30,Perseman Manokwari,PSM Makassar,1,0,H,NaN,NaN,NaN
IDN,26/02/2013,09:00,Persiraja Banda Aceh,PSLS Lhokseumawe,1,0,H,NaN,NaN,NaN
IDN,27/02/2013,08:30,Pro Duta FC,Persiba Bantul,0,0,D,NaN,NaN,NaN
IDN,27/02/2013,12:00,Semen Padang,Arema Cronous FC,3,0,H,NaN,NaN,NaN
IDN,02/06/2013,09:30,Arema Cronous FC,Persiba Bantul,1,3,A,NaN,NaN,NaN
IDN,02/03/2013,08:30,PSIR Rembang,Persebaya 1927,0,0,D,NaN,NaN,NaN
IDN,02/03/2013,08:30,Persema Malang,Bontang FC,4,1,H,NaN,NaN,NaN
IDN,02/03/2013,08:30,Pro Duta FC,Arema Cronous FC,2,0,H,NaN,NaN,NaN
IDN,02/03/2013,09:00,Semen Padang,Persiba Bantul,2,1,H,NaN,NaN,NaN
IDN,03/03/2013,08:00,Persepar Palangkaraya,Perseman Manokwari,0,2,A,NaN,NaN,NaN
IDN,03/03/2013,08:30,Persibo Bojonegoro,PSM Makassar,2,0,H,NaN,NaN,NaN
IDN,03/03/2013,09:00,Persiraja Banda Aceh,Persijap Jepara,1,0,H,NaN,NaN,NaN
IDN,03/03/2013,09:00,PSLS Lhokseumawe,Persija Jakarta,3,3,D,NaN,NaN,NaN
IDN,06/03/2013,08:30,PSIR Rembang,Bontang FC,1,0,H,NaN,NaN,NaN
IDN,06/03/2013,08:30,Persema Malang,Persebaya 1927,0,1,A,NaN,NaN,NaN
IDN,06/03/2013,09:15,Persiraja Banda Aceh,Persija Jakarta,2,0,H,NaN,NaN,NaN
IDN,06/03/2013,09:15,PSLS Lhokseumawe,Persijap Jepara,2,0,H,NaN,NaN,NaN
IDN,07/03/2013,07:55,Persepar Palangkaraya,PSM Makassar,1,0,H,NaN,NaN,NaN
IDN,07/03/2013,08:30,Persibo Bojonegoro,Perseman Manokwari,0,1,A,NaN,NaN,NaN
IDN,26/03/2013,08:30,Persija Jakarta,Pro Duta FC,0,3,A,NaN,NaN,NaN
IDN,26/03/2013,12:00,Bontang FC,Persepar Palangkaraya,3,0,H,NaN,NaN,NaN
IDN,26/03/2013,12:00,Persijap Jepara,Semen Padang,0,0,D,NaN,NaN,NaN
IDN,27/03/2013,08:30,Perseman Manokwari,PSIR Rembang,5,2,H,NaN,NaN,NaN
IDN,27/03/2013,12:00,PSM Makassar,Persema Malang,3,0,H,NaN,NaN,NaN
IDN,28/03/2013,08:30,Persiba Bantul,PSLS Lhokseumawe,4,1,H,NaN,NaN,NaN
IDN,28/03/2013,12:00,Arema Cronous FC,Persiraja Banda Aceh,2,1,H,NaN,NaN,NaN
IDN,29/03/2013,12:00,Persijap Jepara,Pro Duta FC,0,2,A,NaN,NaN,NaN
IDN,30/03/2013,08:30,Perseman Manokwari,Persema Malang,3,0,H,NaN,NaN,NaN
IDN,30/03/2013,12:00,Bontang FC,Persibo Bojonegoro,3,0,H,NaN,NaN,NaN
IDN,30/03/2013,12:00,PSM Makassar,PSIR Rembang,5,1,H,NaN,NaN,NaN
IDN,31/03/2013,13:00,Arema Cronous FC,PSLS Lhokseumawe,0,0,D,NaN,NaN,NaN
IDN,31/03/2013,13:00,Persiba Bantul,Persiraja Banda Aceh,4,0,H,NaN,NaN,NaN
IDN,02/06/2013,09:30,Persebaya 1927,Persepar Palangkaraya,2,1,H,NaN,NaN,NaN
