Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
IND,12/12/2001,,Punjab Police,East Bengal FC,1,3,A,NaN,NaN,NaN
IND,12/12/2001,,Salgaocar SC,FC Kochin,1,0,H,NaN,NaN,NaN
IND,13/12/2001,,Mohun Bagan,Tollygunge Agragami,2,0,H,NaN,NaN,NaN
IND,13/12/2001,,JCT FC,Churchill Brothers,1,2,A,NaN,NaN,NaN
IND,13/12/2001,,Indian Telephone Industries,Mahindra United,0,0,D,NaN,NaN,NaN
IND,13/12/2001,,Vasco SC,HAL SC,1,1,D,NaN,NaN,NaN
IND,16/12/2001,,East Bengal FC,Mohun Bagan,0,1,A,NaN,NaN,NaN
IND,16/12/2001,,Punjab Police,Churchill Brothers,0,3,A,NaN,NaN,NaN
IND,17/12/2001,,Mahindra United,Vasco SC,2,0,H,NaN,NaN,NaN
IND,17/12/2001,,Indian Telephone Industries,Tollygunge Agragami,1,1,D,NaN,NaN,NaN
IND,18/12/2001,,FC Kochin,JCT FC,1,1,D,NaN,NaN,NaN
IND,18/12/2001,,HAL SC,Salgaocar SC,2,1,H,NaN,NaN,NaN
IND,21/12/2001,,Mahindra United,East Bengal FC,1,1,D,NaN,NaN,NaN
IND,21/12/2001,,HAL SC,Tollygunge Agragami,0,0,D,NaN,NaN,NaN
IND,21/12/2001,,Vasco SC,Punjab Police,2,1,H,NaN,NaN,NaN
IND,22/12/2001,,Churchill Brothers,Indian Telephone Industries,1,1,D,NaN,NaN,NaN
IND,23/12/2001,,FC Kochin,Mohun Bagan,0,0,D,NaN,NaN,NaN
IND,23/12/2001,,Salgaocar SC,JCT FC,0,0,D,NaN,NaN,NaN
IND,24/12/2001,,Mahindra United,Tollygunge Agragami,2,1,H,NaN,NaN,NaN
IND,27/12/2001,,FC Kochin,Indian Telephone Industries,0,2,A,NaN,NaN,NaN
IND,27/12/2001,,Salgaocar SC,Punjab Police,2,0,H,NaN,NaN,NaN
IND,27/12/2001,,HAL SC,Mohun Bagan,3,1,H,NaN,NaN,NaN
IND,27/12/2001,,East Bengal FC,JCT FC,2,1,H,NaN,NaN,NaN
