Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ISR,24/08/2013,15:50,Hapoel Acre FC,Maccabi Tel Aviv,0,2,A,0,2,A
ISR,24/08/2013,17:00,Ironi Ramat HaSharon,Hapoel Haifa,0,2,A,0,0,D
ISR,24/08/2013,17:00,Hapoel Ra'anana,Maccabi Petach-Tikva,1,0,H,1,0,H
ISR,24/08/2013,17:00,Bnei Yehuda Tel Aviv,FC Ashdod,1,0,H,1,0,H
ISR,24/08/2013,18:15,Beitar Jerusalem,Hapoel Be'er Sheva,0,2,A,0,1,A
ISR,25/08/2013,18:00,Hapoel Tel Aviv,Bnei Sachnin FC,0,0,D,0,0,D
ISR,25/08/2013,19:00,Maccabi Haifa,Ironi Kiryat Shmona,3,1,H,1,1,D
ISR,31/08/2013,16:00,Bnei Sachnin FC,Hapoel Acre FC,1,0,H,0,0,D
ISR,31/08/2013,17:00,Ironi Kiryat Shmona,Ironi Ramat HaSharon,4,1,H,0,0,D
ISR,31/08/2013,17:00,Hapoel Haifa,Hapoel Ra'anana,1,1,D,1,1,D
ISR,31/08/2013,17:30,Hapoel Be'er Sheva,Hapoel Tel Aviv,2,0,H,1,0,H
ISR,31/08/2013,18:15,Maccabi Petach-Tikva,Beitar Jerusalem,1,3,A,1,1,D
ISR,01/09/2013,18:00,FC Ashdod,Maccabi Haifa,3,2,H,1,2,A
ISR,01/09/2013,19:00,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,1,0,H,0,0,D
ISR,21/09/2013,15:30,Hapoel Acre FC,Hapoel Be'er Sheva,1,2,A,1,1,D
ISR,21/09/2013,17:00,Ironi Ramat HaSharon,Hapoel Ra'anana,1,3,A,1,1,D
ISR,21/09/2013,17:00,Bnei Yehuda Tel Aviv,Bnei Sachnin FC,2,4,A,1,2,A
ISR,21/09/2013,17:00,Ironi Kiryat Shmona,FC Ashdod,1,0,H,1,0,H
ISR,21/09/2013,18:15,Beitar Jerusalem,Hapoel Haifa,0,1,A,0,1,A
ISR,22/09/2013,18:10,Hapoel Tel Aviv,Maccabi Petach-Tikva,3,1,H,1,0,H
ISR,23/09/2013,19:00,Maccabi Haifa,Maccabi Tel Aviv,0,3,A,0,0,D
ISR,28/09/2013,15:30,Bnei Sachnin FC,Maccabi Haifa,0,0,D,0,0,D
ISR,28/09/2013,17:00,FC Ashdod,Ironi Ramat HaSharon,3,0,H,1,0,H
ISR,28/09/2013,17:00,Maccabi Petach-Tikva,Hapoel Acre FC,1,1,D,0,0,D
ISR,28/09/2013,17:15,Hapoel Haifa,Hapoel Tel Aviv,0,4,A,0,0,D
ISR,28/09/2013,18:00,Maccabi Tel Aviv,Ironi Kiryat Shmona,3,0,H,3,0,H
ISR,29/09/2013,18:10,Hapoel Ra'anana,Beitar Jerusalem,2,2,D,1,2,A
ISR,30/09/2013,19:00,Hapoel Be'er Sheva,Bnei Yehuda Tel Aviv,2,1,H,0,1,A
ISR,05/10/2013,14:15,Hapoel Tel Aviv,Hapoel Ra'anana,0,0,D,0,0,D
ISR,05/10/2013,17:00,Hapoel Acre FC,Hapoel Haifa,2,1,H,1,0,H
