Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ITA,22/08/2009,17:00,Bologna FC,ACF Fiorentina,1,1,D,1,0,H
ITA,22/08/2009,19:45,AC Siena,AC Milan,1,2,A,1,1,D
ITA,23/08/2009,17:00,Inter,AS Bari,1,1,D,0,0,D
ITA,23/08/2009,19:45,Calcio Catania,Sampdoria,1,2,A,1,1,D
ITA,23/08/2009,19:45,Genoa CFC,AS Roma,3,2,H,0,0,D
ITA,23/08/2009,19:45,Juventus,Chievo Verona,1,0,H,1,0,H
ITA,23/08/2009,19:45,Lazio Roma,Atalanta,1,0,H,1,0,H
ITA,23/08/2009,19:45,AS Livorno,Cagliari Calcio,0,0,D,0,0,D
ITA,23/08/2009,19:45,US Palermo,SSC Napoli,2,1,H,1,0,H
ITA,23/08/2009,19:45,Udinese Calcio,Parma FC,2,2,D,1,1,D
ITA,29/08/2009,17:00,AS Bari,Bologna FC,0,0,D,0,0,D
ITA,29/08/2009,19:45,AC Milan,Inter,0,4,A,0,3,A
ITA,30/08/2009,17:00,AS Roma,Juventus,1,3,A,1,1,D
ITA,30/08/2009,19:45,Atalanta,Genoa CFC,0,1,A,0,1,A
ITA,30/08/2009,19:45,Cagliari Calcio,AC Siena,1,3,A,0,0,D
ITA,30/08/2009,19:45,Chievo Verona,Lazio Roma,1,2,A,1,1,D
ITA,30/08/2009,19:45,ACF Fiorentina,US Palermo,1,0,H,1,0,H
ITA,30/08/2009,19:45,SSC Napoli,AS Livorno,3,1,H,2,0,H
ITA,30/08/2009,19:45,Parma FC,Calcio Catania,2,1,H,1,1,D
ITA,30/08/2009,19:45,Sampdoria,Udinese Calcio,3,1,H,2,0,H
ITA,12/09/2009,17:00,AS Livorno,AC Milan,0,0,D,0,0,D
ITA,12/09/2009,19:45,Lazio Roma,Juventus,0,2,A,0,0,D
ITA,13/09/2009,14:00,Atalanta,Sampdoria,0,1,A,0,0,D
ITA,13/09/2009,14:00,Bologna FC,Chievo Verona,0,2,A,0,2,A
ITA,13/09/2009,14:00,ACF Fiorentina,Cagliari Calcio,1,0,H,0,0,D
ITA,13/09/2009,14:00,Inter,Parma FC,2,0,H,0,0,D
ITA,13/09/2009,14:00,US Palermo,AS Bari,1,1,D,0,1,A
ITA,13/09/2009,14:00,AC Siena,AS Roma,1,2,A,1,0,H
ITA,13/09/2009,14:00,Udinese Calcio,Calcio Catania,4,2,H,1,2,A
ITA,13/09/2009,19:45,Genoa CFC,SSC Napoli,4,1,H,1,1,D
ITA,19/09/2009,17:00,SSC Napoli,Udinese Calcio,0,0,D,0,0,D
ITA,19/09/2009,19:45,Juventus,AS Livorno,2,0,H,2,0,H
ITA,20/09/2009,14:00,AS Bari,Atalanta,4,1,H,3,0,H
ITA,20/09/2009,14:00,Cagliari Calcio,Inter,1,2,A,1,0,H
ITA,20/09/2009,14:00,Calcio Catania,Lazio Roma,1,1,D,1,0,H
ITA,20/09/2009,14:00,Chievo Verona,Genoa CFC,3,1,H,2,0,H
ITA,20/09/2009,14:00,AC Milan,Bologna FC,1,0,H,0,0,D
ITA,20/09/2009,14:00,Parma FC,US Palermo,1,0,H,1,0,H
ITA,20/09/2009,14:00,Sampdoria,AC Siena,4,1,H,2,0,H
ITA,20/09/2009,19:45,AS Roma,ACF Fiorentina,3,1,H,3,0,H
ITA,23/09/2009,19:45,Atalanta,Calcio Catania,0,0,D,0,0,D
ITA,23/09/2009,19:45,AS Bari,Cagliari Calcio,0,1,A,0,0,D
ITA,23/09/2009,19:45,Bologna FC,AS Livorno,2,0,H,1,0,H
ITA,23/09/2009,19:45,ACF Fiorentina,Sampdoria,2,0,H,1,0,H
ITA,23/09/2009,19:45,Inter,SSC Napoli,3,1,H,3,1,H
ITA,23/09/2009,19:45,Lazio Roma,Parma FC,1,2,A,1,2,A
ITA,23/09/2009,19:45,US Palermo,AS Roma,3,3,D,2,2,D
ITA,23/09/2009,19:45,AC Siena,Chievo Verona,0,0,D,0,0,D
ITA,23/09/2009,19:45,Udinese Calcio,AC Milan,1,0,H,1,0,H
ITA,24/09/2009,19:45,Genoa CFC,Juventus,2,2,D,1,1,D
ITA,26/09/2009,17:00,Sampdoria,Inter,1,0,H,0,0,D
ITA,26/09/2009,19:45,AS Livorno,ACF Fiorentina,0,1,A,0,0,D
ITA,27/09/2009,14:00,Calcio Catania,AS Roma,1,1,D,1,0,H
ITA,27/09/2009,14:00,Chievo Verona,Atalanta,1,1,D,0,0,D
ITA,27/09/2009,14:00,Juventus,Bologna FC,1,1,D,1,0,H
ITA,27/09/2009,14:00,Lazio Roma,US Palermo,1,1,D,0,0,D
ITA,27/09/2009,14:00,SSC Napoli,AC Siena,2,1,H,0,0,D
ITA,27/09/2009,14:00,Parma FC,Cagliari Calcio,0,2,A,0,1,A
ITA,27/09/2009,14:00,Udinese Calcio,Genoa CFC,2,0,H,0,0,D
ITA,27/09/2009,19:45,AC Milan,AS Bari,0,0,D,0,0,D
ITA,03/10/2009,17:00,AS Bari,Calcio Catania,0,0,D,0,0,D
ITA,03/10/2009,19:45,Inter,Udinese Calcio,2,1,H,1,1,D
ITA,04/10/2009,14:00,Atalanta,AC Milan,1,1,D,1,0,H
ITA,04/10/2009,14:00,Bologna FC,Genoa CFC,1,3,A,0,2,A
ITA,04/10/2009,14:00,Cagliari Calcio,Chievo Verona,1,2,A,1,1,D
ITA,04/10/2009,14:00,ACF Fiorentina,Lazio Roma,0,0,D,0,0,D
ITA,04/10/2009,14:00,AS Roma,SSC Napoli,2,1,H,1,1,D
ITA,04/10/2009,14:00,Sampdoria,Parma FC,1,1,D,1,1,D
ITA,04/10/2009,14:00,AC Siena,AS Livorno,0,0,D,0,0,D
ITA,04/10/2009,19:45,US Palermo,Juventus,2,0,H,2,0,H
ITA,17/10/2009,17:00,Juventus,ACF Fiorentina,1,1,D,1,1,D
ITA,17/10/2009,19:45,Genoa CFC,Inter,0,5,A,0,3,A
ITA,18/10/2009,14:00,Calcio Catania,Cagliari Calcio,2,1,H,1,1,D
ITA,18/10/2009,14:00,Chievo Verona,AS Bari,1,2,A,0,1,A
ITA,18/10/2009,14:00,Lazio Roma,Sampdoria,1,1,D,1,1,D
ITA,18/10/2009,14:00,AS Livorno,US Palermo,1,2,A,0,0,D
ITA,18/10/2009,14:00,SSC Napoli,Bologna FC,2,1,H,0,1,A
ITA,18/10/2009,14:00,Parma FC,AC Siena,1,0,H,1,0,H
ITA,18/10/2009,14:00,Udinese Calcio,Atalanta,1,3,A,1,1,D
ITA,18/10/2009,19:45,AC Milan,AS Roma,2,1,H,0,1,A
ITA,24/10/2009,17:00,Sampdoria,Bologna FC,4,1,H,4,0,H
ITA,24/10/2009,19:45,Inter,Calcio Catania,2,1,H,2,0,H
ITA,25/10/2009,14:00,Atalanta,Parma FC,3,1,H,1,0,H
ITA,25/10/2009,14:00,AS Bari,Lazio Roma,2,0,H,1,0,H
ITA,25/10/2009,14:00,Cagliari Calcio,Genoa CFC,3,2,H,0,1,A
ITA,25/10/2009,14:00,ACF Fiorentina,SSC Napoli,0,1,A,0,0,D
ITA,25/10/2009,14:00,US Palermo,Udinese Calcio,1,0,H,0,0,D
ITA,25/10/2009,14:00,AS Roma,AS Livorno,0,1,A,0,1,A
ITA,25/10/2009,14:00,AC Siena,Juventus,0,1,A,0,0,D
ITA,25/10/2009,19:45,Chievo Verona,AC Milan,1,2,A,1,0,H
ITA,28/10/2009,19:45,Bologna FC,AC Siena,2,1,H,1,0,H
ITA,28/10/2009,19:45,Calcio Catania,Chievo Verona,1,2,A,1,1,D
ITA,28/10/2009,19:45,Genoa CFC,ACF Fiorentina,2,1,H,1,0,H
ITA,28/10/2009,19:45,Juventus,Sampdoria,5,1,H,2,0,H
ITA,28/10/2009,19:45,Lazio Roma,Cagliari Calcio,0,1,A,0,0,D
ITA,28/10/2009,19:45,AS Livorno,Atalanta,1,0,H,0,0,D
ITA,28/10/2009,19:45,SSC Napoli,AC Milan,2,2,D,0,2,A
ITA,28/10/2009,19:45,Parma FC,AS Bari,2,0,H,0,0,D
ITA,28/10/2009,19:45,Udinese Calcio,AS Roma,2,1,H,1,1,D
ITA,29/10/2009,19:45,Inter,US Palermo,5,3,H,4,0,H
ITA,31/10/2009,17:00,Juventus,SSC Napoli,2,3,A,1,0,H
ITA,31/10/2009,19:45,AC Milan,Parma FC,2,0,H,1,0,H
ITA,01/11/2009,14:00,Cagliari Calcio,Atalanta,3,0,H,3,0,H
ITA,01/11/2009,14:00,Chievo Verona,Udinese Calcio,1,1,D,0,1,A
ITA,01/11/2009,14:00,ACF Fiorentina,Calcio Catania,3,1,H,1,0,H
ITA,01/11/2009,14:00,AS Livorno,Inter,0,2,A,0,0,D
ITA,01/11/2009,14:00,AS Roma,Bologna FC,2,1,H,1,1,D
ITA,01/11/2009,14:00,Sampdoria,AS Bari,0,0,D,0,0,D
ITA,01/11/2009,14:00,AC Siena,Lazio Roma,1,1,D,1,1,D
ITA,01/11/2009,19:45,US Palermo,Genoa CFC,0,0,D,0,0,D
ITA,07/11/2009,17:00,Calcio Catania,SSC Napoli,0,0,D,0,0,D
ITA,07/11/2009,19:45,Atalanta,Juventus,2,5,A,0,2,A
ITA,08/11/2009,14:00,AS Bari,AS Livorno,1,0,H,1,0,H
ITA,08/11/2009,14:00,Bologna FC,US Palermo,3,1,H,1,1,D
ITA,08/11/2009,14:00,Cagliari Calcio,Sampdoria,2,0,H,0,0,D
ITA,08/11/2009,14:00,Genoa CFC,AC Siena,4,2,H,3,0,H
ITA,08/11/2009,14:00,Lazio Roma,AC Milan,1,2,A,0,2,A
ITA,08/11/2009,14:00,Parma FC,Chievo Verona,2,0,H,1,0,H
ITA,08/11/2009,14:00,Udinese Calcio,ACF Fiorentina,0,1,A,0,0,D
ITA,08/11/2009,19:45,Inter,AS Roma,1,1,D,0,1,A
ITA,21/11/2009,17:00,Bologna FC,Inter,1,3,A,1,2,A
ITA,21/11/2009,19:45,ACF Fiorentina,Parma FC,2,3,A,1,1,D
ITA,22/11/2009,14:00,AS Livorno,Genoa CFC,2,1,H,1,0,H
ITA,22/11/2009,14:00,AC Milan,Cagliari Calcio,4,3,H,3,2,H
ITA,22/11/2009,14:00,SSC Napoli,Lazio Roma,0,0,D,0,0,D
ITA,22/11/2009,14:00,US Palermo,Calcio Catania,1,1,D,1,0,H
ITA,22/11/2009,14:00,AS Roma,AS Bari,3,1,H,3,0,H
ITA,22/11/2009,14:00,Sampdoria,Chievo Verona,2,1,H,1,0,H
ITA,22/11/2009,14:00,AC Siena,Atalanta,0,2,A,0,0,D
ITA,22/11/2009,19:45,Juventus,Udinese Calcio,1,0,H,0,0,D
ITA,28/11/2009,17:00,Udinese Calcio,AS Livorno,2,0,H,2,0,H
ITA,28/11/2009,19:45,Genoa CFC,Sampdoria,3,0,H,1,0,H
ITA,29/11/2009,14:00,Atalanta,AS Roma,1,2,A,1,1,D
ITA,29/11/2009,14:00,AS Bari,AC Siena,2,1,H,0,1,A
ITA,29/11/2009,14:00,Cagliari Calcio,Juventus,2,0,H,1,0,H
ITA,29/11/2009,14:00,Chievo Verona,US Palermo,1,0,H,0,0,D
ITA,29/11/2009,14:00,Inter,ACF Fiorentina,1,0,H,0,0,D
ITA,29/11/2009,14:00,Lazio Roma,Bologna FC,0,0,D,0,0,D
ITA,29/11/2009,14:00,Parma FC,SSC Napoli,1,1,D,0,1,A
ITA,29/11/2009,19:45,Calcio Catania,AC Milan,0,2,A,0,0,D
