Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
KOR,17/10/2015,06:00,Busan IPark,Gwangju FC,0,1,A,0,1,A
KOR,17/10/2015,08:00,Incheon United,Ulsan Hyundai,2,2,D,1,0,H
KOR,18/10/2015,06:00,Daejeon Citizen,Jeonnam Dragons,1,0,H,0,0,D
KOR,24/10/2015,06:00,Daejeon Citizen,Busan IPark,2,1,H,0,1,A
KOR,25/10/2015,05:00,Jeonnam Dragons,Ulsan Hyundai,2,5,A,1,2,A
KOR,25/10/2015,07:00,Gwangju FC,Incheon United,0,0,D,0,0,D
KOR,07/11/2015,05:00,Jeonnam Dragons,Gwangju FC,2,1,H,2,0,H
KOR,07/11/2015,07:00,Ulsan Hyundai,Daejeon Citizen,2,1,H,2,0,H
KOR,08/11/2015,05:00,Incheon United,Busan IPark,0,0,D,0,0,D
KOR,21/11/2015,05:00,Daejeon Citizen,Incheon United,0,2,A,0,1,A
KOR,22/11/2015,05:00,Gwangju FC,Ulsan Hyundai,0,1,A,0,0,D
KOR,22/11/2015,05:00,Busan IPark,Jeonnam Dragons,1,1,D,0,0,D
KOR,28/11/2015,05:00,Gwangju FC,Daejeon Citizen,2,1,H,1,0,H
KOR,28/11/2015,05:00,Incheon United,Jeonnam Dragons,0,1,A,0,0,D
KOR,28/11/2015,05:00,Ulsan Hyundai,Busan IPark,2,1,H,0,1,A
