Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
LUX,05/08/2011,18:30,US Hostert,Progrès Niedercorn,0,2,A,NaN,NaN,NaN
LUX,06/08/2011,17:00,RM Hamm Benfica,UN Käerjéng,2,3,A,NaN,NaN,NaN
LUX,06/08/2011,17:30,F91 Dudelange,RFCU Luxemburg,0,1,A,NaN,NaN,NaN
LUX,06/08/2011,18:00,Union 05 Kayl-Tétange,US Rumelange,1,0,H,NaN,NaN,NaN
LUX,06/08/2011,18:00,Jeunesse Esch,CS Pétange,2,0,H,NaN,NaN,NaN
LUX,06/08/2011,18:00,CS Grevenmacher,CS FOLA Esch,2,1,H,NaN,NaN,NaN
LUX,14/09/2011,18:30,FC Differdange 03,Swift Hesperange,6,1,H,NaN,NaN,NaN
LUX,13/08/2011,18:00,Progrès Niedercorn,CS Grevenmacher,0,1,A,NaN,NaN,NaN
LUX,14/08/2011,15:00,Union 05 Kayl-Tétange,US Hostert,5,0,H,NaN,NaN,NaN
LUX,14/08/2011,15:00,CS FOLA Esch,F91 Dudelange,1,1,D,NaN,NaN,NaN
LUX,14/08/2011,15:00,RFCU Luxemburg,RM Hamm Benfica,3,0,H,NaN,NaN,NaN
LUX,14/08/2011,15:00,UN Käerjéng,Jeunesse Esch,3,0,H,NaN,NaN,NaN
LUX,14/08/2011,17:00,Swift Hesperange,US Rumelange,3,0,H,NaN,NaN,NaN
LUX,14/08/2011,18:00,CS Pétange,FC Differdange 03,0,0,D,NaN,NaN,NaN
LUX,19/08/2011,18:30,Jeunesse Esch,RFCU Luxemburg,2,2,D,NaN,NaN,NaN
LUX,19/08/2011,18:30,CS Grevenmacher,US Hostert,4,0,H,NaN,NaN,NaN
LUX,20/08/2011,17:00,US Rumelange,CS Pétange,3,0,H,NaN,NaN,NaN
LUX,20/08/2011,17:00,F91 Dudelange,Progrès Niedercorn,5,0,H,NaN,NaN,NaN
LUX,20/08/2011,18:00,Swift Hesperange,Union 05 Kayl-Tétange,1,1,D,NaN,NaN,NaN
LUX,20/08/2011,18:00,RM Hamm Benfica,CS FOLA Esch,2,0,H,NaN,NaN,NaN
LUX,21/08/2011,17:00,FC Differdange 03,UN Käerjéng,5,0,H,NaN,NaN,NaN
LUX,24/08/2011,19:00,Union 05 Kayl-Tétange,CS Grevenmacher,3,3,D,NaN,NaN,NaN
LUX,24/08/2011,19:00,US Hostert,F91 Dudelange,1,9,A,NaN,NaN,NaN
LUX,24/08/2011,19:00,Progrès Niedercorn,RM Hamm Benfica,0,2,A,NaN,NaN,NaN
LUX,24/08/2011,19:00,CS FOLA Esch,Jeunesse Esch,1,3,A,NaN,NaN,NaN
LUX,24/08/2011,19:00,UN Käerjéng,US Rumelange,2,1,H,NaN,NaN,NaN
LUX,24/08/2011,19:00,CS Pétange,Swift Hesperange,0,3,A,NaN,NaN,NaN
LUX,28/09/2011,18:30,RFCU Luxemburg,FC Differdange 03,1,0,H,NaN,NaN,NaN
LUX,10/09/2011,17:30,US Rumelange,RFCU Luxemburg,0,3,A,NaN,NaN,NaN
LUX,10/09/2011,18:00,RM Hamm Benfica,US Hostert,3,1,H,NaN,NaN,NaN
LUX,11/09/2011,15:00,CS Pétange,Union 05 Kayl-Tétange,2,0,H,NaN,NaN,NaN
LUX,11/09/2011,15:00,Swift Hesperange,UN Käerjéng,3,3,D,NaN,NaN,NaN
LUX,11/09/2011,15:00,FC Differdange 03,CS FOLA Esch,2,2,D,NaN,NaN,NaN
LUX,11/09/2011,15:00,Jeunesse Esch,Progrès Niedercorn,2,1,H,NaN,NaN,NaN
LUX,11/09/2011,15:00,F91 Dudelange,CS Grevenmacher,1,1,D,NaN,NaN,NaN
LUX,17/09/2011,17:30,UN Käerjéng,CS Pétange,3,2,H,NaN,NaN,NaN
LUX,17/09/2011,18:00,Union 05 Kayl-Tétange,F91 Dudelange,1,3,A,NaN,NaN,NaN
