Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MEX,08/05/2002,,Club Necaxa,Deportivo Toluca,1,0,H,1,0,H
MEX,09/05/2002,,CF América,Reboceros de la Piedad,3,1,H,2,0,H
MEX,09/05/2002,,Monarcas Morelia,Pumas UNAM,1,3,A,0,1,A
MEX,09/05/2002,,Santos Laguna,Atlas Guadalajara,2,1,H,0,0,D
MEX,11/05/2002,,Deportivo Toluca,Club Necaxa,0,2,A,0,0,D
MEX,12/05/2002,,Reboceros de la Piedad,CF América,1,3,A,0,2,A
MEX,12/05/2002,,Pumas UNAM,Monarcas Morelia,1,0,H,1,0,H
MEX,12/05/2002,,Atlas Guadalajara,Santos Laguna,2,1,H,2,1,H
MEX,14/05/2002,,CF América,Pumas UNAM,0,0,D,0,0,D
MEX,16/05/2002,,Club Necaxa,Santos Laguna,1,0,H,1,0,H
MEX,18/05/2002,,Pumas UNAM,CF América,1,2,A,1,1,D
MEX,19/05/2002,,Santos Laguna,Club Necaxa,0,0,D,0,0,D
MEX,23/05/2002,,CF América,Club Necaxa,0,2,A,0,2,A
MEX,26/05/2002,,Club Necaxa,CF América,0,2,A,0,0,D
