Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MEX,19/11/2011,23:00,Gallos Blancos (old),Deportivo Guadalajara,2,1,H,1,0,H
MEX,20/11/2011,01:00,Monarcas Morelia,Cruz Azul,2,1,H,0,1,A
MEX,20/11/2011,22:00,Jaguares Chiapas,Santos Laguna,2,2,D,0,2,A
MEX,21/11/2011,00:00,CF Pachuca,UANL Tigres,0,1,A,0,1,A
MEX,26/11/2011,23:00,Cruz Azul,Monarcas Morelia,1,2,A,1,2,A
MEX,27/11/2011,01:00,Deportivo Guadalajara,Gallos Blancos (old),0,0,D,0,0,D
MEX,27/11/2011,23:00,Santos Laguna,Jaguares Chiapas,2,1,H,1,0,H
MEX,28/11/2011,01:00,UANL Tigres,CF Pachuca,3,0,H,3,0,H
MEX,01/12/2011,02:30,Monarcas Morelia,Santos Laguna,2,1,H,2,0,H
MEX,02/12/2011,01:00,Gallos Blancos (old),UANL Tigres,0,0,D,0,0,D
MEX,04/12/2011,01:00,Santos Laguna,Monarcas Morelia,3,2,H,1,0,H
MEX,05/12/2011,00:00,UANL Tigres,Gallos Blancos (old),1,0,H,1,0,H
MEX,09/12/2011,02:30,Santos Laguna,UANL Tigres,0,1,A,0,1,A
MEX,12/12/2011,00:00,UANL Tigres,Santos Laguna,3,1,H,0,1,A
