Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MEX,23/07/2011,02:10,Estudiantes Tecos,Deportivo Toluca,1,2,A,0,2,A
MEX,23/07/2011,23:00,CF Pachuca,Santos Laguna,1,4,A,0,3,A
MEX,24/07/2011,01:00,UANL Tigres,Cruz Azul,1,1,D,1,1,D
MEX,24/07/2011,01:00,Club Tijuana,Monarcas Morelia,1,2,A,1,1,D
MEX,24/07/2011,02:45,Atlas Guadalajara,Puebla FC,0,1,A,0,0,D
MEX,24/07/2011,03:00,CF Atlante,Deportivo Guadalajara,0,2,A,0,0,D
MEX,24/07/2011,18:00,Pumas UNAM,Club San Luis,2,0,H,2,0,H
MEX,24/07/2011,22:00,CF América,Gallos Blancos (old),2,1,H,2,0,H
MEX,25/07/2011,00:00,Jaguares Chiapas,CF Monterrey,1,4,A,1,2,A
MEX,30/07/2011,23:00,Cruz Azul,Atlas Guadalajara,2,1,H,0,1,A
MEX,30/07/2011,23:00,Gallos Blancos (old),UANL Tigres,0,0,D,0,0,D
MEX,31/07/2011,01:00,CF Monterrey,Club Tijuana,4,2,H,1,2,A
MEX,31/07/2011,01:00,Santos Laguna,CF Atlante,3,0,H,1,0,H
MEX,31/07/2011,02:45,Club San Luis,Estudiantes Tecos,2,1,H,1,0,H
MEX,31/07/2011,18:00,Monarcas Morelia,Pumas UNAM,0,1,A,0,1,A
MEX,31/07/2011,18:00,Puebla FC,CF Pachuca,2,2,D,2,0,H
MEX,31/07/2011,18:00,Deportivo Toluca,CF América,1,1,D,1,1,D
MEX,31/07/2011,23:00,Deportivo Guadalajara,Jaguares Chiapas,2,1,H,0,0,D
MEX,04/08/2011,01:00,CF América,Estudiantes Tecos,1,2,A,1,0,H
MEX,04/08/2011,02:30,CF Pachuca,Cruz Azul,1,0,H,0,0,D
MEX,04/08/2011,02:45,Atlas Guadalajara,Gallos Blancos (old),3,0,H,1,0,H
MEX,04/08/2011,02:45,UANL Tigres,Deportivo Toluca,2,2,D,1,0,H
MEX,04/08/2011,03:00,Pumas UNAM,CF Monterrey,2,1,H,1,1,D
MEX,04/08/2011,03:00,CF Atlante,Puebla FC,5,1,H,3,0,H
MEX,03/09/2011,00:00,Club Tijuana,Deportivo Guadalajara,0,1,A,0,1,A
MEX,03/09/2011,02:00,Jaguares Chiapas,Santos Laguna,3,2,H,0,1,A
MEX,04/09/2011,18:00,Club San Luis,Monarcas Morelia,2,3,A,1,2,A
MEX,06/08/2011,22:00,Cruz Azul,CF Atlante,2,1,H,1,0,H
MEX,06/08/2011,23:00,Gallos Blancos (old),CF Pachuca,2,1,H,0,1,A
MEX,07/08/2011,01:00,Deportivo Guadalajara,Pumas UNAM,0,0,D,0,0,D
MEX,07/08/2011,01:00,Santos Laguna,Club Tijuana,1,3,A,1,1,D
MEX,07/08/2011,03:00,CF Monterrey,Monarcas Morelia,2,0,H,0,0,D
MEX,07/08/2011,18:00,Puebla FC,Jaguares Chiapas,1,2,A,1,1,D
MEX,07/08/2011,18:00,Deportivo Toluca,Atlas Guadalajara,0,0,D,0,0,D
MEX,08/08/2011,00:00,Estudiantes Tecos,UANL Tigres,0,1,A,0,0,D
MEX,15/09/2011,02:30,CF América,Club San Luis,2,2,D,0,1,A
MEX,13/08/2011,02:10,Monarcas Morelia,Deportivo Guadalajara,1,2,A,0,0,D
MEX,13/08/2011,23:00,Club San Luis,CF Monterrey,1,0,H,1,0,H
MEX,13/08/2011,23:30,Jaguares Chiapas,Cruz Azul,1,1,D,0,1,A
