Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MEX,05/01/2013,01:30,Monarcas Morelia,Cruz Azul,3,3,D,2,2,D
MEX,05/01/2013,23:00,CF América,CF Monterrey,2,1,H,1,1,D
MEX,06/01/2013,01:00,UANL Tigres,Jaguares Chiapas,3,0,H,0,0,D
MEX,06/01/2013,01:00,CF Pachuca,CF Atlante,2,0,H,0,0,D
MEX,06/01/2013,02:06,Club León,Gallos Blancos (old),2,2,D,1,1,D
MEX,06/01/2013,03:00,Club San Luis,Santos Laguna,1,1,D,0,1,A
MEX,06/01/2013,18:00,Pumas UNAM,Atlas Guadalajara,1,1,D,1,0,H
MEX,06/01/2013,22:00,Puebla FC,Club Tijuana,1,2,A,1,2,A
MEX,06/01/2013,23:00,Deportivo Guadalajara,Deportivo Toluca,1,1,D,0,0,D
MEX,12/01/2013,01:30,Jaguares Chiapas,CF América,0,2,A,0,0,D
MEX,12/01/2013,03:30,Santos Laguna,Deportivo Guadalajara,2,0,H,1,0,H
MEX,12/01/2013,23:00,Cruz Azul,Club San Luis,2,1,H,0,0,D
MEX,12/01/2013,23:00,Gallos Blancos (old),Pumas UNAM,2,1,H,0,0,D
MEX,13/01/2013,01:00,CF Monterrey,Monarcas Morelia,1,0,H,1,0,H
MEX,13/01/2013,01:00,Club Tijuana,Club León,1,0,H,1,0,H
MEX,13/01/2013,03:00,Atlas Guadalajara,CF Pachuca,2,0,H,1,0,H
MEX,13/01/2013,18:00,Deportivo Toluca,Puebla FC,1,1,D,0,0,D
MEX,14/01/2013,00:00,CF Atlante,UANL Tigres,1,3,A,1,1,D
MEX,19/01/2013,01:30,Jaguares Chiapas,CF Monterrey,1,1,D,0,1,A
MEX,19/01/2013,02:36,Club León,Deportivo Toluca,1,2,A,1,1,D
MEX,19/01/2013,23:00,CF América,CF Atlante,4,0,H,3,0,H
MEX,20/01/2013,01:00,CF Pachuca,Gallos Blancos (old),1,1,D,1,1,D
MEX,20/01/2013,01:00,UANL Tigres,Atlas Guadalajara,1,0,H,1,0,H
MEX,20/01/2013,03:00,Club San Luis,Monarcas Morelia,1,2,A,1,1,D
MEX,20/01/2013,18:00,Puebla FC,Santos Laguna,2,1,H,1,0,H
MEX,20/01/2013,18:00,Pumas UNAM,Club Tijuana,1,2,A,0,1,A
MEX,20/01/2013,23:00,Deportivo Guadalajara,Cruz Azul,1,1,D,1,1,D
MEX,26/01/2013,01:30,Monarcas Morelia,Deportivo Guadalajara,1,1,D,0,0,D
MEX,26/01/2013,03:30,Santos Laguna,Club León,2,0,H,1,0,H
MEX,26/01/2013,23:00,Gallos Blancos (old),UANL Tigres,0,2,A,0,1,A
MEX,26/01/2013,23:00,Cruz Azul,Puebla FC,4,0,H,2,0,H
MEX,27/01/2013,01:00,Club Tijuana,CF Pachuca,2,0,H,0,0,D
MEX,27/01/2013,01:00,CF Monterrey,Club San Luis,3,2,H,2,0,H
MEX,27/01/2013,03:00,Atlas Guadalajara,CF América,2,1,H,0,1,A
MEX,27/01/2013,18:00,Deportivo Toluca,Pumas UNAM,0,1,A,0,1,A
MEX,28/01/2013,00:00,CF Atlante,Jaguares Chiapas,4,3,H,2,0,H
MEX,02/02/2013,01:30,Jaguares Chiapas,Atlas Guadalajara,1,2,A,0,1,A
MEX,02/02/2013,23:00,CF América,Gallos Blancos (old),3,0,H,1,0,H
MEX,03/02/2013,01:00,CF Pachuca,Deportivo Toluca,1,0,H,1,0,H
MEX,03/02/2013,01:00,UANL Tigres,Club Tijuana,2,2,D,0,1,A
MEX,03/02/2013,02:06,Club León,Cruz Azul,2,2,D,1,1,D
MEX,03/02/2013,18:00,Puebla FC,Monarcas Morelia,3,1,H,2,1,H
MEX,03/02/2013,18:00,Pumas UNAM,Santos Laguna,0,0,D,0,0,D
MEX,03/02/2013,18:00,Deportivo Guadalajara,Club San Luis,1,1,D,1,0,H
MEX,04/02/2013,00:00,CF Atlante,CF Monterrey,3,1,H,0,0,D
MEX,09/02/2013,01:30,Monarcas Morelia,Club León,1,0,H,0,0,D
MEX,09/02/2013,23:00,Cruz Azul,Pumas UNAM,1,1,D,1,1,D
MEX,09/02/2013,23:00,Gallos Blancos (old),Jaguares Chiapas,1,1,D,0,1,A
MEX,10/02/2013,01:00,Club Tijuana,CF América,1,2,A,0,1,A
MEX,10/02/2013,01:00,CF Monterrey,Deportivo Guadalajara,0,1,A,0,0,D
MEX,10/02/2013,03:00,Club San Luis,Puebla FC,1,3,A,1,1,D
MEX,10/02/2013,03:00,Atlas Guadalajara,CF Atlante,2,1,H,1,0,H
MEX,10/02/2013,18:00,Deportivo Toluca,UANL Tigres,1,4,A,0,1,A
MEX,10/02/2013,22:00,Santos Laguna,CF Pachuca,0,1,A,0,1,A
MEX,16/02/2013,01:30,Jaguares Chiapas,Club Tijuana,2,0,H,0,0,D
MEX,16/02/2013,23:00,CF América,Deportivo Toluca,2,2,D,1,1,D
MEX,17/02/2013,01:00,CF Pachuca,Cruz Azul,2,1,H,1,1,D
MEX,17/02/2013,01:00,UANL Tigres,Santos Laguna,1,1,D,1,1,D
MEX,17/02/2013,02:06,Club León,Club San Luis,2,0,H,1,0,H
MEX,17/02/2013,03:00,Atlas Guadalajara,CF Monterrey,2,1,H,1,1,D
MEX,17/02/2013,18:00,Pumas UNAM,Monarcas Morelia,1,0,H,0,0,D
MEX,17/02/2013,22:00,Puebla FC,Deportivo Guadalajara,1,1,D,0,0,D
MEX,18/02/2013,00:00,CF Atlante,Gallos Blancos (old),1,1,D,0,0,D
MEX,23/02/2013,01:30,Monarcas Morelia,CF Pachuca,3,2,H,2,1,H
MEX,23/02/2013,03:30,Santos Laguna,CF América,1,0,H,1,0,H
MEX,23/02/2013,23:00,Cruz Azul,UANL Tigres,1,2,A,0,2,A
MEX,23/02/2013,23:00,Gallos Blancos (old),Atlas Guadalajara,0,0,D,0,0,D
MEX,24/02/2013,01:00,CF Monterrey,Puebla FC,3,0,H,1,0,H
MEX,24/02/2013,03:00,Club Tijuana,CF Atlante,2,0,H,1,0,H
MEX,24/02/2013,03:00,Club San Luis,Pumas UNAM,0,2,A,0,0,D
MEX,24/02/2013,18:00,Deportivo Toluca,Jaguares Chiapas,2,1,H,0,1,A
MEX,24/02/2013,23:00,Deportivo Guadalajara,Club León,2,1,H,1,0,H
MEX,02/03/2013,01:30,Jaguares Chiapas,Santos Laguna,1,3,A,1,3,A
MEX,02/03/2013,23:00,CF América,Cruz Azul,3,0,H,2,0,H
MEX,02/03/2013,23:00,Gallos Blancos (old),CF Monterrey,1,0,H,1,0,H
MEX,03/03/2013,01:00,CF Pachuca,Club San Luis,2,1,H,1,0,H
MEX,03/03/2013,01:00,UANL Tigres,Monarcas Morelia,1,1,D,1,0,H
MEX,03/03/2013,02:06,Club León,Puebla FC,0,1,A,0,0,D
MEX,03/03/2013,03:00,Atlas Guadalajara,Club Tijuana,1,0,H,1,0,H
MEX,03/03/2013,18:00,Pumas UNAM,Deportivo Guadalajara,1,1,D,1,1,D
MEX,04/03/2013,00:00,CF Atlante,Deportivo Toluca,0,1,A,0,1,A
MEX,09/03/2013,01:30,Monarcas Morelia,CF América,1,1,D,1,1,D
MEX,09/03/2013,23:00,Cruz Azul,Jaguares Chiapas,1,1,D,1,0,H
MEX,10/03/2013,01:00,Santos Laguna,CF Atlante,2,1,H,1,0,H
MEX,10/03/2013,01:00,Club Tijuana,Gallos Blancos (old),0,1,A,0,1,A
MEX,10/03/2013,01:00,CF Monterrey,Club León,2,1,H,1,1,D
MEX,10/03/2013,03:00,Club San Luis,UANL Tigres,1,2,A,1,1,D
MEX,10/03/2013,18:00,Deportivo Toluca,Atlas Guadalajara,0,1,A,0,0,D
MEX,10/03/2013,22:00,Puebla FC,Pumas UNAM,0,1,A,0,0,D
MEX,10/03/2013,23:00,Deportivo Guadalajara,CF Pachuca,1,0,H,1,0,H
MEX,16/03/2013,01:30,Jaguares Chiapas,Monarcas Morelia,1,1,D,1,1,D
MEX,16/03/2013,23:00,CF América,Club San Luis,1,1,D,1,0,H
MEX,16/03/2013,23:00,Gallos Blancos (old),Deportivo Toluca,1,0,H,1,0,H
MEX,17/03/2013,01:00,CF Pachuca,Puebla FC,2,1,H,0,1,A
MEX,17/03/2013,01:00,UANL Tigres,Deportivo Guadalajara,1,1,D,0,1,A
MEX,17/03/2013,03:00,Atlas Guadalajara,Santos Laguna,1,2,A,0,0,D
MEX,17/03/2013,04:00,Club Tijuana,CF Monterrey,2,2,D,1,2,A
MEX,17/03/2013,18:00,Pumas UNAM,Club León,0,0,D,0,0,D
MEX,18/03/2013,00:00,CF Atlante,Cruz Azul,0,3,A,0,1,A
MEX,30/03/2013,23:00,Cruz Azul,Atlas Guadalajara,1,2,A,0,1,A
MEX,30/03/2013,23:00,Deportivo Toluca,Club Tijuana,1,0,H,1,0,H
MEX,31/03/2013,02:00,Monarcas Morelia,CF Atlante,4,0,H,2,0,H
MEX,31/03/2013,02:00,Santos Laguna,Gallos Blancos (old),1,1,D,1,0,H
MEX,31/03/2013,02:00,CF Monterrey,Pumas UNAM,3,0,H,0,0,D
MEX,31/03/2013,03:06,Club León,CF Pachuca,0,0,D,0,0,D
MEX,31/03/2013,04:00,Club San Luis,Jaguares Chiapas,3,0,H,1,0,H
MEX,31/03/2013,19:00,Puebla FC,UANL Tigres,1,2,A,0,1,A
MEX,01/04/2013,03:00,Deportivo Guadalajara,CF América,0,2,A,0,0,D
MEX,06/04/2013,02:30,Jaguares Chiapas,Deportivo Guadalajara,3,2,H,2,1,H
MEX,07/04/2013,00:00,CF América,Puebla FC,1,1,D,0,0,D
MEX,07/04/2013,00:00,Gallos Blancos (old),Cruz Azul,1,2,A,1,0,H
MEX,07/04/2013,02:00,CF Pachuca,Pumas UNAM,1,2,A,0,0,D
MEX,07/04/2013,02:00,UANL Tigres,Club León,0,0,D,0,0,D
MEX,07/04/2013,04:00,Atlas Guadalajara,Monarcas Morelia,0,0,D,0,0,D
MEX,07/04/2013,05:00,Club Tijuana,Santos Laguna,0,0,D,0,0,D
MEX,07/04/2013,23:00,Deportivo Toluca,CF Monterrey,1,0,H,0,0,D
MEX,08/04/2013,00:00,CF Atlante,Club San Luis,0,1,A,0,0,D
MEX,13/04/2013,01:30,Santos Laguna,Deportivo Toluca,2,1,H,0,1,A
MEX,13/04/2013,03:30,Monarcas Morelia,Gallos Blancos (old),1,0,H,0,0,D
MEX,13/04/2013,23:00,Cruz Azul,Club Tijuana,5,0,H,1,0,H
MEX,14/04/2013,01:00,CF Monterrey,CF Pachuca,2,0,H,1,0,H
MEX,14/04/2013,02:00,Club León,CF América,1,1,D,1,1,D
MEX,14/04/2013,03:00,Club San Luis,Atlas Guadalajara,2,2,D,0,1,A
MEX,14/04/2013,18:00,Pumas UNAM,UANL Tigres,2,1,H,2,1,H
MEX,14/04/2013,18:00,Puebla FC,Jaguares Chiapas,1,2,A,0,1,A
MEX,14/04/2013,23:00,Deportivo Guadalajara,CF Atlante,1,2,A,1,0,H
MEX,20/04/2013,01:30,Jaguares Chiapas,Club León,2,2,D,0,0,D
MEX,20/04/2013,03:30,Santos Laguna,CF Monterrey,1,0,H,1,0,H
MEX,20/04/2013,23:00,Gallos Blancos (old),Club San Luis,2,1,H,0,1,A
MEX,21/04/2013,00:00,Atlas Guadalajara,Deportivo Guadalajara,1,0,H,1,0,H
MEX,21/04/2013,01:00,UANL Tigres,CF Pachuca,3,1,H,2,0,H
MEX,21/04/2013,01:00,Club Tijuana,Monarcas Morelia,1,2,A,1,0,H
MEX,21/04/2013,02:00,CF América,Pumas UNAM,1,0,H,1,0,H
MEX,21/04/2013,18:00,Deportivo Toluca,Cruz Azul,0,2,A,0,2,A
MEX,21/04/2013,23:00,CF Atlante,Puebla FC,2,0,H,1,0,H
MEX,27/04/2013,01:30,Monarcas Morelia,Deportivo Toluca,2,1,H,1,0,H
MEX,27/04/2013,23:00,Cruz Azul,Santos Laguna,1,0,H,1,0,H
MEX,28/04/2013,01:00,UANL Tigres,CF Monterrey,0,1,A,0,0,D
MEX,28/04/2013,01:00,CF Pachuca,CF América,2,4,A,1,0,H
MEX,28/04/2013,02:06,Club León,CF Atlante,1,0,H,0,0,D
MEX,28/04/2013,03:00,Club San Luis,Club Tijuana,1,0,H,0,0,D
MEX,28/04/2013,18:00,Pumas UNAM,Jaguares Chiapas,3,0,H,2,0,H
MEX,28/04/2013,18:00,Puebla FC,Atlas Guadalajara,1,1,D,0,0,D
MEX,28/04/2013,23:00,Deportivo Guadalajara,Gallos Blancos (old),1,2,A,0,1,A
MEX,04/05/2013,01:30,Jaguares Chiapas,CF Pachuca,2,1,H,1,0,H
MEX,04/05/2013,03:30,Club Tijuana,Deportivo Guadalajara,4,0,H,4,0,H
MEX,04/05/2013,23:00,CF América,UANL Tigres,0,2,A,0,0,D
MEX,05/05/2013,01:00,CF Monterrey,Cruz Azul,1,5,A,0,2,A
MEX,05/05/2013,01:00,Santos Laguna,Monarcas Morelia,1,2,A,0,2,A
MEX,05/05/2013,03:00,Gallos Blancos (old),Puebla FC,2,3,A,0,1,A
MEX,05/05/2013,03:00,Atlas Guadalajara,Club León,0,1,A,0,0,D
MEX,05/05/2013,18:00,Deportivo Toluca,Club San Luis,0,1,A,0,1,A
MEX,06/05/2013,00:00,CF Atlante,Pumas UNAM,1,2,A,0,1,A
