Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
PER,26/07/2008,18:00,Universidad San Martín,Sport Áncash,3,0,H,NaN,NaN,NaN
PER,26/07/2008,21:30,Alianza Lima,Coronel Bolognesi,1,2,A,NaN,NaN,NaN
PER,26/07/2008,21:30,FBC Melgar,Juan Aurich,2,0,H,NaN,NaN,NaN
PER,27/07/2008,02:00,Universidad Cesar Vallejo,Sporting Cristal,1,0,H,NaN,NaN,NaN
PER,27/07/2008,19:15,Sport Boys,Cienciano,0,0,D,NaN,NaN,NaN
PER,27/07/2008,19:30,Alianza Atlético,Atletico Minero,2,0,H,NaN,NaN,NaN
PER,27/07/2008,21:30,José Gálvez,Universitario de Deportes,2,0,H,NaN,NaN,NaN
PER,30/07/2008,18:45,Cienciano,José Gálvez,2,1,H,NaN,NaN,NaN
PER,30/07/2008,21:00,Atletico Minero,FBC Melgar,2,0,H,NaN,NaN,NaN
PER,30/07/2008,21:00,Sporting Cristal,Universidad San Martín,1,0,H,NaN,NaN,NaN
PER,30/07/2008,21:00,Coronel Bolognesi,Universidad Cesar Vallejo,1,2,A,NaN,NaN,NaN
PER,30/07/2008,21:30,Sport Áncash,Alianza Atlético,0,0,D,NaN,NaN,NaN
PER,21/08/2008,01:00,Alianza Lima,Sport Boys,2,0,H,NaN,NaN,NaN
PER,28/08/2008,01:00,Juan Aurich,Universitario de Deportes,1,1,D,NaN,NaN,NaN
PER,02/08/2008,19:30,Alianza Atlético,Alianza Lima,1,0,H,NaN,NaN,NaN
PER,02/08/2008,19:45,Sport Boys,Coronel Bolognesi,1,2,A,NaN,NaN,NaN
PER,02/08/2008,22:00,Universitario de Deportes,Sport Áncash,2,2,D,NaN,NaN,NaN
PER,03/08/2008,19:15,FBC Melgar,Cienciano,1,0,H,NaN,NaN,NaN
PER,03/08/2008,21:30,José Gálvez,Sporting Cristal,3,2,H,NaN,NaN,NaN
PER,03/08/2008,21:30,Universidad Cesar Vallejo,Atletico Minero,1,2,A,NaN,NaN,NaN
PER,03/08/2008,21:30,Universidad San Martín,Juan Aurich,1,0,H,NaN,NaN,NaN
PER,06/08/2008,19:00,Coronel Bolognesi,Alianza Atlético,0,4,A,NaN,NaN,NaN
PER,06/08/2008,19:15,Sport Áncash,Alianza Lima,3,1,H,NaN,NaN,NaN
PER,06/08/2008,21:00,Cienciano,Universidad Cesar Vallejo,2,1,H,NaN,NaN,NaN
PER,06/08/2008,21:00,Juan Aurich,José Gálvez,0,1,A,NaN,NaN,NaN
PER,06/08/2008,21:00,Atletico Minero,Sport Boys,5,0,H,NaN,NaN,NaN
PER,06/08/2008,21:30,Sporting Cristal,FBC Melgar,4,1,H,NaN,NaN,NaN
PER,25/09/2008,01:30,Universitario de Deportes,Universidad San Martín,2,1,H,NaN,NaN,NaN
PER,09/08/2008,21:00,Coronel Bolognesi,José Gálvez,3,1,H,NaN,NaN,NaN
PER,10/08/2008,17:15,Sporting Cristal,Juan Aurich,2,0,H,NaN,NaN,NaN
PER,10/08/2008,19:15,Alianza Atlético,Universidad Cesar Vallejo,0,1,A,NaN,NaN,NaN
PER,10/08/2008,21:00,Atletico Minero,Universidad San Martín,0,3,A,NaN,NaN,NaN
PER,10/08/2008,21:30,Sport Áncash,Sport Boys,2,1,H,NaN,NaN,NaN
PER,10/08/2008,21:30,Cienciano,Universitario de Deportes,2,1,H,NaN,NaN,NaN
PER,10/08/2008,23:45,Alianza Lima,FBC Melgar,2,1,H,NaN,NaN,NaN
PER,13/08/2008,19:00,Universidad San Martín,Cienciano,1,1,D,NaN,NaN,NaN
PER,13/08/2008,21:00,Juan Aurich,Sport Áncash,4,1,H,NaN,NaN,NaN
PER,13/08/2008,21:30,José Gálvez,Atletico Minero,0,0,D,NaN,NaN,NaN
PER,13/08/2008,21:30,FBC Melgar,Coronel Bolognesi,3,2,H,NaN,NaN,NaN
PER,13/08/2008,21:30,Sport Boys,Alianza Atlético,0,0,D,NaN,NaN,NaN
PER,14/08/2008,00:00,Universitario de Deportes,Sporting Cristal,1,2,A,NaN,NaN,NaN
PER,14/08/2008,02:00,Universidad Cesar Vallejo,Alianza Lima,0,2,A,NaN,NaN,NaN
PER,16/08/2008,21:30,Sport Boys,FBC Melgar,0,1,A,NaN,NaN,NaN
PER,17/08/2008,00:00,Coronel Bolognesi,Universitario de Deportes,0,1,A,NaN,NaN,NaN
PER,17/08/2008,19:15,Alianza Atlético,José Gálvez,3,2,H,NaN,NaN,NaN
PER,17/08/2008,21:00,Atletico Minero,Juan Aurich,1,2,A,NaN,NaN,NaN
PER,17/08/2008,21:30,Sport Áncash,Universidad Cesar Vallejo,1,0,H,NaN,NaN,NaN
PER,17/08/2008,21:30,Cienciano,Sporting Cristal,2,1,H,NaN,NaN,NaN
PER,17/08/2008,23:45,Alianza Lima,Universidad San Martín,1,3,A,NaN,NaN,NaN
PER,23/08/2008,19:15,Universidad Cesar Vallejo,Sport Boys,3,0,H,NaN,NaN,NaN
PER,23/08/2008,21:30,Sporting Cristal,Sport Áncash,2,1,H,NaN,NaN,NaN
PER,23/08/2008,23:00,Universitario de Deportes,Atletico Minero,1,1,D,NaN,NaN,NaN
PER,24/08/2008,19:15,José Gálvez,Alianza Lima,4,3,H,NaN,NaN,NaN
PER,24/08/2008,20:30,Universidad San Martín,Coronel Bolognesi,3,1,H,NaN,NaN,NaN
PER,24/08/2008,21:30,FBC Melgar,Alianza Atlético,0,0,D,NaN,NaN,NaN
PER,24/08/2008,22:30,Juan Aurich,Cienciano,1,0,H,NaN,NaN,NaN
PER,30/08/2008,20:00,Atletico Minero,Cienciano,1,1,D,NaN,NaN,NaN
PER,30/08/2008,21:30,Sport Áncash,FBC Melgar,2,1,H,NaN,NaN,NaN
PER,30/08/2008,21:30,Sport Boys,Universidad San Martín,2,5,A,NaN,NaN,NaN
PER,31/08/2008,02:00,Universidad Cesar Vallejo,José Gálvez,2,3,A,NaN,NaN,NaN
PER,31/08/2008,19:15,Alianza Atlético,Universitario de Deportes,1,1,D,NaN,NaN,NaN
PER,31/08/2008,21:30,Coronel Bolognesi,Sporting Cristal,0,1,A,NaN,NaN,NaN
PER,31/08/2008,23:45,Alianza Lima,Juan Aurich,1,0,H,NaN,NaN,NaN
PER,13/09/2008,18:00,Juan Aurich,Coronel Bolognesi,3,0,H,NaN,NaN,NaN
PER,13/09/2008,19:15,Cienciano,Sport Áncash,0,1,A,NaN,NaN,NaN
PER,13/09/2008,21:30,Sporting Cristal,Atletico Minero,1,0,H,NaN,NaN,NaN
PER,14/09/2008,18:00,FBC Melgar,Universidad Cesar Vallejo,2,0,H,NaN,NaN,NaN
PER,14/09/2008,19:00,José Gálvez,Sport Boys,5,0,H,NaN,NaN,NaN
PER,14/09/2008,20:00,Universidad San Martín,Alianza Atlético,3,1,H,NaN,NaN,NaN
PER,14/09/2008,21:30,Universitario de Deportes,Alianza Lima,1,2,A,NaN,NaN,NaN
PER,17/09/2008,19:00,Alianza Atlético,Sporting Cristal,1,2,A,NaN,NaN,NaN
PER,17/09/2008,19:00,Atletico Minero,Coronel Bolognesi,2,0,H,NaN,NaN,NaN
PER,17/09/2008,21:30,FBC Melgar,Universidad San Martín,1,2,A,NaN,NaN,NaN
PER,18/09/2008,01:00,Sport Boys,Juan Aurich,1,1,D,NaN,NaN,NaN
PER,18/09/2008,01:00,Alianza Lima,Cienciano,2,0,H,NaN,NaN,NaN
PER,18/09/2008,03:00,Universidad Cesar Vallejo,Universitario de Deportes,2,0,H,NaN,NaN,NaN
PER,12/10/2008,21:30,Sport Áncash,José Gálvez,2,0,H,NaN,NaN,NaN
PER,20/09/2008,21:30,Universidad San Martín,Universidad Cesar Vallejo,0,1,A,NaN,NaN,NaN
PER,20/09/2008,21:30,José Gálvez,FBC Melgar,4,2,H,NaN,NaN,NaN
PER,21/09/2008,00:00,Coronel Bolognesi,Cienciano,2,0,H,NaN,NaN,NaN
PER,21/09/2008,02:15,Universitario de Deportes,Sport Boys,2,0,H,NaN,NaN,NaN
PER,21/09/2008,19:30,Alianza Atlético,Juan Aurich,1,1,D,NaN,NaN,NaN
