Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
POL,17/08/2012,17:00,Pogoń Szczecin,Zagłębie Lubin,4,0,H,1,0,H
POL,17/08/2012,19:30,Piast Gliwice,Górnik Zabrze,1,2,A,1,0,H
POL,18/08/2012,12:30,Jagiellonia Białystok,Podbeskidzie Bielsko-Biała,2,1,H,0,1,A
POL,18/08/2012,14:45,Widzew Łódź,Śląsk Wrocław,2,1,H,0,0,D
POL,18/08/2012,17:00,Lech Poznań,Ruch Chorzów,4,0,H,3,0,H
POL,19/08/2012,13:30,Wisła Kraków,GKS Bełchatów,2,1,H,1,1,D
POL,19/08/2012,16:00,Legia Warszawa,Korona Kielce,4,0,H,2,0,H
POL,20/08/2012,17:30,Lechia Gdańsk,Polonia Warszawa,1,3,A,1,2,A
POL,24/08/2012,17:00,Zagłębie Lubin,Piast Gliwice,2,1,H,1,0,H
POL,24/08/2012,19:30,Jagiellonia Białystok,Górnik Zabrze,1,1,D,0,1,A
POL,25/08/2012,12:30,Podbeskidzie Bielsko-Biała,Wisła Kraków,1,1,D,1,1,D
POL,25/08/2012,14:45,Widzew Łódź,Ruch Chorzów,2,0,H,1,0,H
POL,25/08/2012,17:00,Polonia Warszawa,Lech Poznań,1,2,A,1,1,D
POL,26/08/2012,13:30,Śląsk Wrocław,Korona Kielce,2,0,H,2,0,H
POL,26/08/2012,16:00,GKS Bełchatów,Legia Warszawa,0,2,A,0,1,A
POL,27/08/2012,17:30,Pogoń Szczecin,Lechia Gdańsk,0,2,A,0,0,D
POL,31/08/2012,17:00,Piast Gliwice,Pogoń Szczecin,1,0,H,1,0,H
POL,31/08/2012,19:30,Wisła Kraków,Polonia Warszawa,1,3,A,0,2,A
POL,01/09/2012,12:30,Korona Kielce,Lechia Gdańsk,0,1,A,0,1,A
POL,01/09/2012,14:45,Widzew Łódź,GKS Bełchatów,1,0,H,1,0,H
POL,01/09/2012,17:00,Jagiellonia Białystok,Zagłębie Lubin,0,0,D,0,0,D
POL,02/09/2012,13:30,Lech Poznań,Górnik Zabrze,0,0,D,0,0,D
POL,02/09/2012,16:00,Śląsk Wrocław,Ruch Chorzów,1,0,H,0,0,D
POL,03/09/2012,17:30,Legia Warszawa,Podbeskidzie Bielsko-Biała,3,1,H,0,1,A
POL,14/09/2012,17:00,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,1,1,D,0,1,A
POL,14/09/2012,19:45,Pogoń Szczecin,Wisła Kraków,2,0,H,1,0,H
POL,15/09/2012,12:30,Polonia Warszawa,Jagiellonia Białystok,1,1,D,0,1,A
