Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ROM,24/07/1999,,Farul Constanta,Dinamo Bucureşti,0,2,A,NaN,NaN,NaN
ROM,24/07/1999,,FC Onesti,CSM Reşiţa,2,1,H,NaN,NaN,NaN
ROM,24/07/1999,,Gloria Bistrita,Oţelul Galaţi,2,3,A,NaN,NaN,NaN
ROM,24/07/1999,,FC Braşov,FCM Bacău,1,1,D,NaN,NaN,NaN
ROM,24/07/1999,,Rapid Bucureşti,Astra Ploieşti,1,1,D,NaN,NaN,NaN
ROM,24/07/1999,,National Bucureşti,FC Universitatea Craiova,1,0,H,NaN,NaN,NaN
ROM,24/07/1999,,Extensiv Craiova,Argeș Pitești,2,1,H,NaN,NaN,NaN
ROM,24/07/1999,,Petrolul Ploieşti,Steaua Bucureşti,5,1,H,NaN,NaN,NaN
ROM,18/08/1999,,AS Rocar Bucuresti,Ceahlăul Piatra Neamt,2,0,H,NaN,NaN,NaN
ROM,30/07/1999,,Ceahlăul Piatra Neamt,FC Braşov,2,1,H,NaN,NaN,NaN
ROM,30/07/1999,,CSM Reşiţa,Farul Constanta,1,1,D,NaN,NaN,NaN
ROM,30/07/1999,,Dinamo Bucureşti,Gloria Bistrita,5,0,H,NaN,NaN,NaN
ROM,30/07/1999,,FCM Bacău,Rapid Bucureşti,0,0,D,NaN,NaN,NaN
ROM,30/07/1999,,Oţelul Galaţi,Extensiv Craiova,8,2,H,NaN,NaN,NaN
ROM,30/07/1999,,Steaua Bucureşti,AS Rocar Bucuresti,2,1,H,NaN,NaN,NaN
ROM,30/07/1999,,FC Universitatea Craiova,FC Onesti,1,0,H,NaN,NaN,NaN
ROM,01/08/2000,,Argeș Pitești,Petrolul Ploieşti,1,0,H,NaN,NaN,NaN
ROM,03/11/2000,,Astra Ploieşti,National Bucureşti,1,1,D,NaN,NaN,NaN
ROM,03/08/1999,,National Bucureşti,FCM Bacău,2,2,D,NaN,NaN,NaN
ROM,04/08/1999,,CSM Reşiţa,Dinamo Bucureşti,0,6,A,NaN,NaN,NaN
ROM,04/08/1999,,Extensiv Craiova,Gloria Bistrita,1,2,A,NaN,NaN,NaN
ROM,04/08/1999,,Farul Constanta,FC Universitatea Craiova,2,0,H,NaN,NaN,NaN
ROM,04/08/1999,,FC Braşov,Steaua Bucureşti,1,2,A,NaN,NaN,NaN
ROM,04/08/1999,,FC Onesti,Astra Ploieşti,1,0,H,NaN,NaN,NaN
ROM,04/08/1999,,Petrolul Ploieşti,Oţelul Galaţi,2,1,H,NaN,NaN,NaN
ROM,04/08/1999,,AS Rocar Bucuresti,Argeș Pitești,0,3,A,NaN,NaN,NaN
ROM,03/11/1999,,Rapid Bucureşti,Ceahlăul Piatra Neamt,1,2,A,NaN,NaN,NaN
