Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
RUS,24/03/2000,,Lokomotiv Moskva,CSKA Moskva,1,0,H,NaN,NaN,NaN
RUS,25/03/2000,,Fakel Voronezh,Rostselmash Rostov,1,1,D,NaN,NaN,NaN
RUS,25/03/2000,,Spartak Moskva,Alania Vladikavkaz,3,1,H,NaN,NaN,NaN
RUS,25/03/2000,,Krylia Sovetov,Uralan Elista,1,0,H,NaN,NaN,NaN
RUS,25/03/2000,,Dinamo Moskva,FK Saturn,2,0,H,NaN,NaN,NaN
RUS,25/03/2000,,Lok. Nizhni Novgorod,Chernomorets Novorossisk,0,0,D,NaN,NaN,NaN
RUS,25/03/2000,,Rotor Volgograd (old),Zenit St. Petersburg,2,0,H,NaN,NaN,NaN
RUS,03/05/2000,,Anzhi Makhachkala,Torpedo Moskva,0,0,D,NaN,NaN,NaN
RUS,01/04/2000,,Alania Vladikavkaz,Fakel Voronezh,1,1,D,NaN,NaN,NaN
RUS,01/04/2000,,Rostselmash Rostov,Rotor Volgograd (old),1,1,D,NaN,NaN,NaN
RUS,01/04/2000,,Zenit St. Petersburg,Anzhi Makhachkala,1,0,H,NaN,NaN,NaN
RUS,01/04/2000,,Torpedo Moskva,Lok. Nizhni Novgorod,2,1,H,NaN,NaN,NaN
RUS,01/04/2000,,Chernomorets Novorossisk,Dinamo Moskva,4,0,H,NaN,NaN,NaN
RUS,01/04/2000,,Lokomotiv Moskva,Krylia Sovetov,2,0,H,NaN,NaN,NaN
RUS,01/04/2000,,CSKA Moskva,FK Saturn,0,0,D,NaN,NaN,NaN
RUS,01/04/2000,,Uralan Elista,Spartak Moskva,0,2,A,NaN,NaN,NaN
RUS,07/04/2000,,Dinamo Moskva,Torpedo Moskva,0,0,D,NaN,NaN,NaN
RUS,08/04/2000,,Lok. Nizhni Novgorod,Zenit St. Petersburg,1,2,A,NaN,NaN,NaN
RUS,08/04/2000,,Anzhi Makhachkala,Rostselmash Rostov,1,0,H,NaN,NaN,NaN
RUS,08/04/2000,,Rotor Volgograd (old),Alania Vladikavkaz,2,1,H,NaN,NaN,NaN
RUS,08/04/2000,,Fakel Voronezh,Uralan Elista,1,1,D,NaN,NaN,NaN
RUS,08/04/2000,,Spartak Moskva,Lokomotiv Moskva,0,0,D,NaN,NaN,NaN
RUS,08/04/2000,,Krylia Sovetov,CSKA Moskva,2,0,H,NaN,NaN,NaN
RUS,08/04/2000,,FK Saturn,Chernomorets Novorossisk,0,0,D,NaN,NaN,NaN
RUS,15/04/2000,,CSKA Moskva,Chernomorets Novorossisk,0,3,A,NaN,NaN,NaN
RUS,15/04/2000,,Uralan Elista,Rotor Volgograd (old),2,0,H,NaN,NaN,NaN
RUS,15/04/2000,,Alania Vladikavkaz,Anzhi Makhachkala,2,3,A,NaN,NaN,NaN
RUS,15/04/2000,,Rostselmash Rostov,Lok. Nizhni Novgorod,0,0,D,NaN,NaN,NaN
RUS,15/04/2000,,Zenit St. Petersburg,Dinamo Moskva,0,1,A,NaN,NaN,NaN
RUS,15/04/2000,,Torpedo Moskva,FK Saturn,2,0,H,NaN,NaN,NaN
RUS,15/04/2000,,Krylia Sovetov,Spartak Moskva,1,2,A,NaN,NaN,NaN
RUS,15/04/2000,,Lokomotiv Moskva,Fakel Voronezh,1,0,H,NaN,NaN,NaN
RUS,22/04/2000,,Chernomorets Novorossisk,Torpedo Moskva,1,0,H,NaN,NaN,NaN
RUS,22/04/2000,,FK Saturn,Zenit St. Petersburg,1,0,H,NaN,NaN,NaN
RUS,22/04/2000,,Dinamo Moskva,Rostselmash Rostov,0,0,D,NaN,NaN,NaN
RUS,22/04/2000,,Lok. Nizhni Novgorod,Alania Vladikavkaz,1,1,D,NaN,NaN,NaN
RUS,22/04/2000,,Anzhi Makhachkala,Uralan Elista,2,1,H,NaN,NaN,NaN
RUS,22/04/2000,,Spartak Moskva,CSKA Moskva,1,0,H,NaN,NaN,NaN
RUS,22/04/2000,,Rotor Volgograd (old),Lokomotiv Moskva,0,4,A,NaN,NaN,NaN
RUS,22/04/2000,,Fakel Voronezh,Krylia Sovetov,3,2,H,NaN,NaN,NaN
RUS,30/04/2000,,CSKA Moskva,Torpedo Moskva,0,2,A,NaN,NaN,NaN
RUS,30/04/2000,,Lokomotiv Moskva,Anzhi Makhachkala,1,0,H,NaN,NaN,NaN
RUS,30/04/2000,,Uralan Elista,Lok. Nizhni Novgorod,0,0,D,NaN,NaN,NaN
RUS,30/04/2000,,Alania Vladikavkaz,Dinamo Moskva,0,1,A,NaN,NaN,NaN
RUS,30/04/2000,,Rostselmash Rostov,FK Saturn,2,0,H,NaN,NaN,NaN
RUS,30/04/2000,,Zenit St. Petersburg,Chernomorets Novorossisk,0,0,D,NaN,NaN,NaN
RUS,30/04/2000,,Spartak Moskva,Fakel Voronezh,3,1,H,NaN,NaN,NaN
RUS,30/04/2000,,Krylia Sovetov,Rotor Volgograd (old),0,1,A,NaN,NaN,NaN
RUS,07/05/2000,,Fakel Voronezh,CSKA Moskva,2,1,H,NaN,NaN,NaN
RUS,07/05/2000,,Torpedo Moskva,Zenit St. Petersburg,1,1,D,NaN,NaN,NaN
RUS,07/05/2000,,Chernomorets Novorossisk,Rostselmash Rostov,1,2,A,NaN,NaN,NaN
RUS,07/05/2000,,FK Saturn,Alania Vladikavkaz,2,0,H,NaN,NaN,NaN
RUS,07/05/2000,,Dinamo Moskva,Uralan Elista,1,0,H,NaN,NaN,NaN
RUS,07/05/2000,,Lok. Nizhni Novgorod,Lokomotiv Moskva,0,1,A,NaN,NaN,NaN
RUS,07/05/2000,,Anzhi Makhachkala,Krylia Sovetov,1,0,H,NaN,NaN,NaN
RUS,07/05/2000,,Rotor Volgograd (old),Spartak Moskva,1,6,A,NaN,NaN,NaN
RUS,12/05/2000,,CSKA Moskva,Zenit St. Petersburg,4,1,H,NaN,NaN,NaN
RUS,13/05/2000,,Lokomotiv Moskva,Dinamo Moskva,1,0,H,NaN,NaN,NaN
RUS,13/05/2000,,Uralan Elista,FK Saturn,1,2,A,NaN,NaN,NaN
RUS,13/05/2000,,Alania Vladikavkaz,Chernomorets Novorossisk,1,0,H,NaN,NaN,NaN
RUS,13/05/2000,,Rostselmash Rostov,Torpedo Moskva,0,1,A,NaN,NaN,NaN
RUS,13/05/2000,,Fakel Voronezh,Rotor Volgograd (old),2,2,D,NaN,NaN,NaN
RUS,13/05/2000,,Spartak Moskva,Anzhi Makhachkala,1,0,H,NaN,NaN,NaN
RUS,13/05/2000,,Krylia Sovetov,Lok. Nizhni Novgorod,2,1,H,NaN,NaN,NaN
RUS,17/05/2000,,Lok. Nizhni Novgorod,Spartak Moskva,0,2,A,NaN,NaN,NaN
RUS,17/05/2000,,Anzhi Makhachkala,Fakel Voronezh,4,0,H,NaN,NaN,NaN
