Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SCO,23/08/1961,,Aberdeen FC,Stirling Albion FC,7,0,H,NaN,NaN,NaN
SCO,23/08/1961,,Dundee United,Dunfermline Athletic,3,2,H,NaN,NaN,NaN
SCO,23/08/1961,,Falkirk FC,Dundee FC,1,3,A,NaN,NaN,NaN
SCO,23/08/1961,,Heart of Midlothian,St. Mirren FC,2,2,D,NaN,NaN,NaN
SCO,23/08/1961,,Kilmarnock FC,Celtic FC,3,2,H,NaN,NaN,NaN
SCO,23/08/1961,,Motherwell FC,Partick Thistle,1,3,A,NaN,NaN,NaN
SCO,23/08/1961,,Raith Rovers,St. Johnstone FC,1,1,D,NaN,NaN,NaN
SCO,23/08/1961,,Rangers FC,Hibernian FC,3,0,H,NaN,NaN,NaN
SCO,23/08/1961,,Third Lanark,Airdrieonians FC (old),3,0,H,NaN,NaN,NaN
SCO,09/09/1961,,Airdrieonians FC (old),Kilmarnock FC,0,2,A,NaN,NaN,NaN
SCO,09/09/1961,,Celtic FC,Third Lanark,1,0,H,NaN,NaN,NaN
SCO,09/09/1961,,Dundee FC,Dundee United,4,1,H,NaN,NaN,NaN
SCO,09/09/1961,,Dunfermline Athletic,Heart of Midlothian,2,1,H,NaN,NaN,NaN
SCO,09/09/1961,,Hibernian FC,Raith Rovers,3,2,H,NaN,NaN,NaN
SCO,09/09/1961,,Partick Thistle,Rangers FC,1,4,A,NaN,NaN,NaN
SCO,09/09/1961,,St. Johnstone FC,Aberdeen FC,4,1,H,NaN,NaN,NaN
SCO,09/09/1961,,St. Mirren FC,Falkirk FC,2,0,H,NaN,NaN,NaN
SCO,09/09/1961,,Stirling Albion FC,Motherwell FC,2,4,A,NaN,NaN,NaN
SCO,16/09/1961,,Aberdeen FC,Dundee FC,3,1,H,NaN,NaN,NaN
SCO,16/09/1961,,Dundee United,St. Johnstone FC,3,0,H,NaN,NaN,NaN
SCO,16/09/1961,,Falkirk FC,Stirling Albion FC,1,0,H,NaN,NaN,NaN
SCO,16/09/1961,,Heart of Midlothian,Hibernian FC,4,2,H,NaN,NaN,NaN
SCO,16/09/1961,,Kilmarnock FC,St. Mirren FC,4,3,H,NaN,NaN,NaN
SCO,16/09/1961,,Motherwell FC,Airdrieonians FC (old),5,2,H,NaN,NaN,NaN
SCO,16/09/1961,,Raith Rovers,Dunfermline Athletic,2,2,D,NaN,NaN,NaN
SCO,16/09/1961,,Rangers FC,Celtic FC,2,2,D,NaN,NaN,NaN
SCO,16/09/1961,,Third Lanark,Partick Thistle,4,2,H,NaN,NaN,NaN
SCO,23/09/1961,,Airdrieonians FC (old),Aberdeen FC,7,1,H,NaN,NaN,NaN
SCO,23/09/1961,,Celtic FC,Dundee United,3,1,H,NaN,NaN,NaN
SCO,23/09/1961,,Dundee FC,Heart of Midlothian,2,0,H,NaN,NaN,NaN
SCO,23/09/1961,,Dunfermline Athletic,Falkirk FC,2,1,H,NaN,NaN,NaN
SCO,23/09/1961,,Hibernian FC,Kilmarnock FC,3,2,H,NaN,NaN,NaN
SCO,23/09/1961,,Partick Thistle,Raith Rovers,3,2,H,NaN,NaN,NaN
SCO,23/09/1961,,St. Johnstone FC,Motherwell FC,1,1,D,NaN,NaN,NaN
SCO,23/09/1961,,St. Mirren FC,Rangers FC,1,1,D,NaN,NaN,NaN
SCO,23/09/1961,,Stirling Albion FC,Third Lanark,2,0,H,NaN,NaN,NaN
SCO,30/09/1961,,Aberdeen FC,Partick Thistle,1,3,A,NaN,NaN,NaN
SCO,30/09/1961,,Dundee United,Hibernian FC,4,0,H,NaN,NaN,NaN
SCO,30/09/1961,,Falkirk FC,Celtic FC,3,1,H,NaN,NaN,NaN
SCO,30/09/1961,,Heart of Midlothian,Airdrieonians FC (old),4,1,H,NaN,NaN,NaN
SCO,30/09/1961,,Kilmarnock FC,St. Johnstone FC,2,0,H,NaN,NaN,NaN
SCO,30/09/1961,,Motherwell FC,Dunfermline Athletic,1,1,D,NaN,NaN,NaN
SCO,30/09/1961,,Raith Rovers,St. Mirren FC,4,0,H,NaN,NaN,NaN
SCO,30/09/1961,,Rangers FC,Stirling Albion FC,4,1,H,NaN,NaN,NaN
SCO,30/09/1961,,Third Lanark,Dundee FC,1,3,A,NaN,NaN,NaN
SCO,07/10/1961,,Dundee FC,Kilmarnock FC,5,3,H,NaN,NaN,NaN
SCO,07/10/1961,,Hibernian FC,Falkirk FC,2,2,D,NaN,NaN,NaN
SCO,07/10/1961,,Partick Thistle,Dunfermline Athletic,1,0,H,NaN,NaN,NaN
SCO,07/10/1961,,Raith Rovers,Motherwell FC,0,3,A,NaN,NaN,NaN
SCO,07/10/1961,,St. Johnstone FC,Airdrieonians FC (old),0,3,A,NaN,NaN,NaN
SCO,07/10/1961,,St. Mirren FC,Aberdeen FC,3,2,H,NaN,NaN,NaN
