Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SCO,06/04/2002,12:00,Celtic FC,Livingston FC,5,1,H,NaN,NaN,NaN
SCO,06/04/2002,15:00,Dunfermline Athletic,Aberdeen FC,0,0,D,NaN,NaN,NaN
SCO,07/04/2002,15:00,Rangers FC,Heart of Midlothian,2,0,H,NaN,NaN,NaN
SCO,13/04/2002,15:00,Aberdeen FC,Heart of Midlothian,2,3,A,NaN,NaN,NaN
SCO,13/04/2002,15:00,Celtic FC,Dunfermline Athletic,5,0,H,NaN,NaN,NaN
SCO,13/04/2002,15:00,Livingston FC,Rangers FC,2,1,H,NaN,NaN,NaN
SCO,20/04/2002,15:00,Aberdeen FC,Livingston FC,3,0,H,NaN,NaN,NaN
SCO,20/04/2002,15:00,Heart of Midlothian,Dunfermline Athletic,2,0,H,NaN,NaN,NaN
SCO,21/04/2002,12:00,Celtic FC,Rangers FC,1,1,D,NaN,NaN,NaN
SCO,27/04/2002,15:00,Rangers FC,Aberdeen FC,2,0,H,NaN,NaN,NaN
SCO,28/04/2002,12:00,Livingston FC,Dunfermline Athletic,4,1,H,NaN,NaN,NaN
SCO,28/04/2002,15:00,Heart of Midlothian,Celtic FC,1,4,A,NaN,NaN,NaN
SCO,12/05/2002,13:30,Dunfermline Athletic,Rangers FC,1,1,D,NaN,NaN,NaN
SCO,12/05/2002,15:00,Aberdeen FC,Celtic FC,0,1,A,NaN,NaN,NaN
SCO,12/05/2002,15:00,Heart of Midlothian,Livingston FC,2,3,A,NaN,NaN,NaN
