Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SMR,14/09/2004,,SS Virtus,SC Faetano,1,0,H,NaN,NaN,NaN
SMR,14/09/2004,,S.S. Montevito,SS San Giovanni,2,0,H,NaN,NaN,NaN
SMR,14/09/2004,,SP Tre Fiori,SS Cosmos,0,3,A,NaN,NaN,NaN
SMR,14/09/2004,,SS Murata,SP Tre Penne,3,2,H,NaN,NaN,NaN
SMR,15/09/2004,,SP Cailungo,SS Pennarossa,1,3,A,NaN,NaN,NaN
SMR,15/09/2004,,SS Folgore/Falciano,AC Juvenes/Dogana,0,1,A,NaN,NaN,NaN
SMR,15/09/2004,,FC Domagnano,AC Libertas,2,4,A,NaN,NaN,NaN
SMR,18/09/2004,,AC Juvenes/Dogana,SS Virtus,1,2,A,NaN,NaN,NaN
SMR,18/09/2004,,S.S. Montevito,SC Faetano,2,2,D,NaN,NaN,NaN
SMR,18/09/2004,,SS San Giovanni,AC Libertas,2,3,A,NaN,NaN,NaN
SMR,18/09/2004,,SS Cosmos,SP Cailungo,1,1,D,NaN,NaN,NaN
SMR,18/09/2004,,SS Pennarossa,SP Tre Fiori,1,3,A,NaN,NaN,NaN
SMR,19/09/2004,,SS Folgore/Falciano,FC Domagnano,0,5,A,NaN,NaN,NaN
SMR,19/09/2004,,SP La Fiorita,SP Tre Penne,0,2,A,NaN,NaN,NaN
SMR,28/09/2004,,SP Tre Fiori,SP La Fiorita,4,2,H,NaN,NaN,NaN
SMR,28/09/2004,,SP Tre Penne,SS Cosmos,5,1,H,NaN,NaN,NaN
SMR,28/09/2004,,SP Cailungo,SS Murata,0,0,D,NaN,NaN,NaN
SMR,29/09/2004,,FC Domagnano,SS San Giovanni,8,1,H,NaN,NaN,NaN
SMR,29/09/2004,,SC Faetano,AC Juvenes/Dogana,3,1,H,NaN,NaN,NaN
SMR,29/09/2004,,SS Virtus,S.S. Montevito,3,0,H,NaN,NaN,NaN
SMR,06/10/2004,,AC Libertas,SS Folgore/Falciano,1,0,H,NaN,NaN,NaN
SMR,01/10/2004,,SP Tre Penne,SP Tre Fiori,2,2,D,NaN,NaN,NaN
SMR,02/10/2004,,SS Murata,SP La Fiorita,2,2,D,NaN,NaN,NaN
SMR,02/10/2004,,FC Domagnano,S.S. Montevito,1,1,D,NaN,NaN,NaN
SMR,02/10/2004,,SS San Giovanni,SS Virtus,0,2,A,NaN,NaN,NaN
SMR,02/10/2004,,SC Faetano,SS Folgore/Falciano,3,1,H,NaN,NaN,NaN
SMR,03/10/2004,,AC Juvenes/Dogana,AC Libertas,2,1,H,NaN,NaN,NaN
SMR,03/10/2004,,SS Pennarossa,SS Cosmos,7,0,H,NaN,NaN,NaN
SMR,08/10/2004,,AC Juvenes/Dogana,FC Domagnano,0,0,D,NaN,NaN,NaN
SMR,09/10/2004,,SP Tre Penne,SP Cailungo,4,1,H,NaN,NaN,NaN
SMR,09/10/2004,,SP La Fiorita,SS Pennarossa,1,1,D,NaN,NaN,NaN
SMR,09/10/2004,,SS Virtus,SS Folgore/Falciano,2,1,H,NaN,NaN,NaN
SMR,09/10/2004,,AC Libertas,S.S. Montevito,2,1,H,NaN,NaN,NaN
SMR,10/10/2004,,SC Faetano,SS San Giovanni,5,2,H,NaN,NaN,NaN
SMR,10/10/2004,,SP Tre Fiori,SS Murata,2,2,D,NaN,NaN,NaN
SMR,15/10/2004,,S.S. Montevito,SS Folgore/Falciano,1,1,D,NaN,NaN,NaN
SMR,16/10/2004,,SC Faetano,FC Domagnano,2,1,H,NaN,NaN,NaN
SMR,16/10/2004,,SP La Fiorita,SP Cailungo,4,1,H,NaN,NaN,NaN
SMR,16/10/2004,,SS Cosmos,SS Murata,1,2,A,NaN,NaN,NaN
SMR,16/10/2004,,SS San Giovanni,AC Juvenes/Dogana,1,8,A,NaN,NaN,NaN
SMR,17/10/2004,,SS Pennarossa,SP Tre Penne,1,2,A,NaN,NaN,NaN
SMR,17/10/2004,,AC Libertas,SS Virtus,2,2,D,NaN,NaN,NaN
SMR,22/10/2004,,AC Libertas,SC Faetano,2,0,H,NaN,NaN,NaN
SMR,23/10/2004,,S.S. Montevito,AC Juvenes/Dogana,1,4,A,NaN,NaN,NaN
SMR,23/10/2004,,SS Murata,SS Pennarossa,3,3,D,NaN,NaN,NaN
SMR,23/10/2004,,SS Cosmos,SP La Fiorita,0,2,A,NaN,NaN,NaN
SMR,24/10/2004,,SS San Giovanni,SS Folgore/Falciano,1,2,A,NaN,NaN,NaN
SMR,24/10/2004,,SP Cailungo,SP Tre Fiori,1,1,D,NaN,NaN,NaN
SMR,24/11/2004,,SS Virtus,FC Domagnano,0,2,A,NaN,NaN,NaN
SMR,26/10/2004,,AC Libertas,SP La Fiorita,1,0,H,NaN,NaN,NaN
SMR,26/10/2004,,SS Virtus,SP Tre Penne,0,1,A,NaN,NaN,NaN
SMR,26/10/2004,,FC Domagnano,SS Cosmos,5,3,H,NaN,NaN,NaN
SMR,27/10/2004,,SS Folgore/Falciano,SS Murata,2,1,H,NaN,NaN,NaN
SMR,27/10/2004,,SP Cailungo,SC Faetano,0,1,A,NaN,NaN,NaN
SMR,24/11/2004,,S.S. Montevito,SS Pennarossa,1,2,A,NaN,NaN,NaN
SMR,24/11/2004,,SS San Giovanni,SP Tre Fiori,3,4,A,NaN,NaN,NaN
SMR,30/10/2004,,SP Tre Penne,SC Faetano,1,1,D,NaN,NaN,NaN
SMR,30/10/2004,,SP Cailungo,SS San Giovanni,5,1,H,NaN,NaN,NaN
SMR,30/10/2004,,SP Tre Fiori,FC Domagnano,2,0,H,NaN,NaN,NaN
SMR,30/10/2004,,SS Folgore/Falciano,SS Cosmos,3,0,H,NaN,NaN,NaN
SMR,31/10/2004,,SS Virtus,SS Pennarossa,1,2,A,NaN,NaN,NaN
SMR,31/10/2004,,SP La Fiorita,S.S. Montevito,2,1,H,NaN,NaN,NaN
SMR,01/11/2004,,AC Juvenes/Dogana,SS Murata,1,3,A,NaN,NaN,NaN
SMR,04/11/2004,,FC Domagnano,SP Cailungo,3,1,H,NaN,NaN,NaN
SMR,04/11/2004,,SP Tre Penne,AC Juvenes/Dogana,0,1,A,NaN,NaN,NaN
SMR,04/11/2004,,SS Pennarossa,AC Libertas,2,3,A,NaN,NaN,NaN
SMR,05/11/2004,,SS Cosmos,S.S. Montevito,1,3,A,NaN,NaN,NaN
SMR,05/11/2004,,SS San Giovanni,SP La Fiorita,0,4,A,NaN,NaN,NaN
SMR,05/11/2004,,SP Tre Fiori,SS Folgore/Falciano,5,0,H,NaN,NaN,NaN
SMR,05/11/2004,,SS Murata,SS Virtus,1,0,H,NaN,NaN,NaN
SMR,19/11/2004,,AC Libertas,SS Murata,1,0,H,NaN,NaN,NaN
SMR,20/11/2004,,S.S. Montevito,SP Cailungo,1,2,A,NaN,NaN,NaN
SMR,20/11/2004,,SP La Fiorita,FC Domagnano,0,1,A,NaN,NaN,NaN
SMR,20/11/2004,,SS Pennarossa,SS Folgore/Falciano,2,2,D,NaN,NaN,NaN
SMR,20/11/2004,,SP Tre Penne,SS San Giovanni,2,1,H,NaN,NaN,NaN
SMR,21/11/2004,,SS Cosmos,SC Faetano,1,10,A,NaN,NaN,NaN
SMR,21/11/2004,,AC Juvenes/Dogana,SP Tre Fiori,1,0,H,NaN,NaN,NaN
SMR,26/11/2004,,SC Faetano,SP La Fiorita,1,1,D,NaN,NaN,NaN
