Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SUD,21/02/2008,,Al-Hilal Port Sudan,Al-Ahli Wad Madani,1,2,A,NaN,NaN,NaN
SUD,21/02/2008,,Al-Ittihad Wad Madani,Alamal Atbara,1,0,H,NaN,NaN,NaN
SUD,21/02/2008,,Al-Hilal Kadougli,Al-Merrikh SC,0,2,A,NaN,NaN,NaN
SUD,21/02/2008,,Al-Nil Al-Hasahesa,Al-Hilal Omdurman,0,2,A,NaN,NaN,NaN
SUD,21/02/2008,,Khartoum 3,Hay Al-Arab,1,1,D,NaN,NaN,NaN
SUD,22/02/2008,,Al-Mawrada,Jazeerat Al-Feel,2,1,H,NaN,NaN,NaN
SUD,26/02/2008,,Al-Hilal Omdurman,Khartoum 3,3,1,H,NaN,NaN,NaN
SUD,26/02/2008,,Al-Ahli Wad Madani,Al-Hilal Kadougli,1,0,H,NaN,NaN,NaN
SUD,26/02/2008,,Alamal Atbara,Al-Nil Al-Hasahesa,1,0,H,NaN,NaN,NaN
SUD,27/02/2008,,Jazeerat Al-Feel,Al-Hilal Port Sudan,2,1,H,NaN,NaN,NaN
SUD,27/02/2008,,Al-Merrikh SC,Al-Ittihad Wad Madani,3,1,H,NaN,NaN,NaN
SUD,27/02/2008,,Hay Al-Arab,Al-Mawrada,1,0,H,NaN,NaN,NaN
SUD,02/03/2008,,Alamal Atbara,Al-Ahli Wad Madani,1,0,H,NaN,NaN,NaN
SUD,03/03/2008,,Al-Hilal Port Sudan,Al-Hilal Omdurman,0,3,A,NaN,NaN,NaN
SUD,03/03/2008,,Al-Merrikh SC,Al-Nil Al-Hasahesa,4,0,H,NaN,NaN,NaN
SUD,03/03/2008,,Al-Ittihad Wad Madani,Jazeerat Al-Feel,1,0,H,NaN,NaN,NaN
SUD,04/03/2008,,Al-Mawrada,Khartoum 3,2,0,H,NaN,NaN,NaN
SUD,04/03/2008,,Hay Al-Arab,Al-Hilal Kadougli,1,0,H,NaN,NaN,NaN
SUD,09/03/2008,,Al-Nil Al-Hasahesa,Al-Ittihad Wad Madani,2,0,H,NaN,NaN,NaN
SUD,09/03/2008,,Al-Hilal Omdurman,Hay Al-Arab,2,0,H,NaN,NaN,NaN
SUD,09/03/2008,,Al-Ahli Wad Madani,Al-Mawrada,2,1,H,NaN,NaN,NaN
SUD,10/03/2008,,Al-Hilal Kadougli,Alamal Atbara,2,2,D,NaN,NaN,NaN
SUD,10/03/2008,,Al-Merrikh SC,Al-Hilal Port Sudan,2,1,H,NaN,NaN,NaN
SUD,11/03/2008,,Khartoum 3,Jazeerat Al-Feel,1,1,D,NaN,NaN,NaN
SUD,14/03/2008,,Al-Hilal Kadougli,Al-Hilal Omdurman,1,3,A,NaN,NaN,NaN
SUD,16/03/2008,,Al-Mawrada,Al-Nil Al-Hasahesa,2,1,H,NaN,NaN,NaN
SUD,16/03/2008,,Al-Ahli Wad Madani,Al-Merrikh SC,0,1,A,NaN,NaN,NaN
SUD,16/03/2008,,Al-Hilal Port Sudan,Khartoum 3,0,0,D,NaN,NaN,NaN
SUD,17/03/2008,,Hay Al-Arab,Al-Ittihad Wad Madani,1,0,H,NaN,NaN,NaN
SUD,17/03/2008,,Jazeerat Al-Feel,Alamal Atbara,1,1,D,NaN,NaN,NaN
SUD,29/03/2008,,Jazeerat Al-Feel,Al-Hilal Omdurman,1,2,A,NaN,NaN,NaN
SUD,29/03/2008,,Al-Merrikh SC,Al-Mawrada,2,0,H,NaN,NaN,NaN
SUD,29/03/2008,,Al-Nil Al-Hasahesa,Hay Al-Arab,2,0,H,NaN,NaN,NaN
SUD,29/03/2008,,Al-Hilal Kadougli,Al-Ittihad Wad Madani,1,0,H,NaN,NaN,NaN
SUD,29/03/2008,,Al-Hilal Port Sudan,Alamal Atbara,1,2,A,NaN,NaN,NaN
SUD,30/03/2008,,Khartoum 3,Al-Ahli Wad Madani,1,0,H,NaN,NaN,NaN
SUD,04/04/2008,,Jazeerat Al-Feel,Al-Ahli Wad Madani,1,2,A,NaN,NaN,NaN
SUD,05/04/2008,,Al-Hilal Port Sudan,Al-Nil Al-Hasahesa,0,0,D,NaN,NaN,NaN
SUD,05/04/2008,,Al-Mawrada,Al-Hilal Kadougli,5,2,H,NaN,NaN,NaN
SUD,05/04/2008,,Al-Ittihad Wad Madani,Khartoum 3,1,2,A,NaN,NaN,NaN
SUD,11/04/2008,,Al-Hilal Omdurman,Alamal Atbara,4,2,H,NaN,NaN,NaN
SUD,11/04/2008,,Hay Al-Arab,Al-Merrikh SC,1,0,H,NaN,NaN,NaN
SUD,11/04/2008,,Al-Nil Al-Hasahesa,Al-Hilal Kadougli,1,0,H,NaN,NaN,NaN
SUD,11/04/2008,,Al-Ittihad Wad Madani,Al-Hilal Port Sudan,2,1,H,NaN,NaN,NaN
SUD,15/04/2008,,Alamal Atbara,Al-Mawrada,0,1,A,NaN,NaN,NaN
SUD,15/04/2008,,Khartoum 3,Al-Merrikh SC,2,6,A,NaN,NaN,NaN
SUD,15/04/2008,,Hay Al-Arab,Jazeerat Al-Feel,1,0,H,NaN,NaN,NaN
SUD,16/04/2008,,Al-Hilal Omdurman,Al-Ahli Wad Madani,5,1,H,NaN,NaN,NaN
SUD,19/04/2008,,Al-Mawrada,Al-Hilal Port Sudan,2,1,H,NaN,NaN,NaN
SUD,19/04/2008,,Jazeerat Al-Feel,Al-Merrikh SC,0,5,A,NaN,NaN,NaN
SUD,20/04/2008,,Al-Hilal Omdurman,Al-Ittihad Wad Madani,1,0,H,NaN,NaN,NaN
SUD,20/04/2008,,Alamal Atbara,Hay Al-Arab,2,2,D,NaN,NaN,NaN
SUD,20/04/2008,,Al-Ahli Wad Madani,Al-Nil Al-Hasahesa,1,0,H,NaN,NaN,NaN
SUD,21/04/2008,,Khartoum 3,Al-Hilal Kadougli,3,0,H,NaN,NaN,NaN
SUD,25/04/2008,,Al-Ittihad Wad Madani,Al-Mawrada,0,1,A,NaN,NaN,NaN
SUD,26/04/2008,,Al-Nil Al-Hasahesa,Jazeerat Al-Feel,2,0,H,NaN,NaN,NaN
SUD,26/04/2008,,Al-Hilal Kadougli,Al-Hilal Port Sudan,2,0,H,NaN,NaN,NaN
SUD,27/04/2008,,Alamal Atbara,Khartoum 3,1,0,H,NaN,NaN,NaN
SUD,27/04/2008,,Al-Ahli Wad Madani,Hay Al-Arab,1,1,D,NaN,NaN,NaN
SUD,07/08/2008,,Al-Merrikh SC,Al-Hilal Omdurman,1,0,H,NaN,NaN,NaN
SUD,07/05/2008,,Al-Hilal Kadougli,Jazeerat Al-Feel,1,1,D,NaN,NaN,NaN
SUD,07/05/2008,,Al-Ahli Wad Madani,Al-Ittihad Wad Madani,1,0,H,NaN,NaN,NaN
SUD,07/05/2008,,Al-Nil Al-Hasahesa,Khartoum 3,1,3,A,NaN,NaN,NaN
SUD,08/05/2008,,Hay Al-Arab,Al-Hilal Port Sudan,1,1,D,NaN,NaN,NaN
SUD,19/07/2008,,Al-Merrikh SC,Alamal Atbara,8,0,H,NaN,NaN,NaN
SUD,22/07/2008,,Al-Mawrada,Al-Hilal Omdurman,0,4,A,NaN,NaN,NaN
SUD,08/08/2008,,Al-Ahli Wad Madani,Al-Hilal Port Sudan,3,2,H,NaN,NaN,NaN
SUD,08/08/2008,,Alamal Atbara,Al-Ittihad Wad Madani,1,0,H,NaN,NaN,NaN
SUD,08/08/2008,,Hay Al-Arab,Khartoum 3,2,0,H,NaN,NaN,NaN
SUD,09/08/2008,,Jazeerat Al-Feel,Al-Mawrada,1,4,A,NaN,NaN,NaN
SUD,12/08/2008,,Al-Merrikh SC,Al-Hilal Kadougli,4,0,H,NaN,NaN,NaN
SUD,25/09/2008,,Al-Hilal Omdurman,Al-Nil Al-Hasahesa,3,1,H,NaN,NaN,NaN
SUD,14/08/2008,,Al-Hilal Port Sudan,Jazeerat Al-Feel,2,0,H,NaN,NaN,NaN
SUD,14/08/2008,,Al-Mawrada,Hay Al-Arab,1,1,D,NaN,NaN,NaN
SUD,14/08/2008,,Al-Nil Al-Hasahesa,Alamal Atbara,2,2,D,NaN,NaN,NaN
SUD,16/08/2008,,Al-Hilal Kadougli,Al-Ahli Wad Madani,0,0,D,NaN,NaN,NaN
SUD,28/09/2008,,Khartoum 3,Al-Hilal Omdurman,1,2,A,NaN,NaN,NaN
SUD,21/10/2008,,Al-Ittihad Wad Madani,Al-Merrikh SC,1,3,A,NaN,NaN,NaN
SUD,22/08/2008,,Al-Ahli Wad Madani,Alamal Atbara,0,0,D,NaN,NaN,NaN
SUD,22/08/2008,,Al-Hilal Kadougli,Hay Al-Arab,0,3,A,NaN,NaN,NaN
SUD,24/08/2008,,Al-Nil Al-Hasahesa,Al-Merrikh SC,0,1,A,NaN,NaN,NaN
SUD,25/08/2008,,Jazeerat Al-Feel,Al-Ittihad Wad Madani,1,4,A,NaN,NaN,NaN
SUD,25/08/2008,,Khartoum 3,Al-Mawrada,1,0,H,NaN,NaN,NaN
SUD,02/10/2008,,Al-Hilal Omdurman,Al-Hilal Port Sudan,2,0,H,NaN,NaN,NaN
SUD,29/08/2008,,Al-Nil Al-Hasahesa,Al-Ittihad Wad Madani,2,1,H,NaN,NaN,NaN
SUD,29/08/2008,,Al-Mawrada,Al-Ahli Wad Madani,1,0,H,NaN,NaN,NaN
SUD,29/08/2008,,Alamal Atbara,Al-Hilal Kadougli,0,0,D,NaN,NaN,NaN
SUD,29/08/2008,,Jazeerat Al-Feel,Khartoum 3,0,1,A,NaN,NaN,NaN
SUD,30/10/2008,,Hay Al-Arab,Al-Hilal Omdurman,0,4,A,NaN,NaN,NaN
SUD,03/11/2008,,Al-Hilal Port Sudan,Al-Merrikh SC,0,2,A,NaN,NaN,NaN
SUD,15/09/2008,,Al-Nil Al-Hasahesa,Al-Mawrada,1,0,H,NaN,NaN,NaN
SUD,15/09/2008,,Khartoum 3,Al-Hilal Port Sudan,1,1,D,NaN,NaN,NaN
SUD,15/09/2008,,Al-Ittihad Wad Madani,Hay Al-Arab,1,2,A,NaN,NaN,NaN
SUD,15/09/2008,,Alamal Atbara,Jazeerat Al-Feel,3,2,H,NaN,NaN,NaN
SUD,07/10/2008,,Al-Hilal Omdurman,Al-Hilal Kadougli,6,1,H,NaN,NaN,NaN
SUD,24/10/2008,,Al-Merrikh SC,Al-Ahli Wad Madani,2,0,H,NaN,NaN,NaN
SUD,29/09/2008,,Al-Mawrada,Al-Merrikh SC,1,4,A,NaN,NaN,NaN
SUD,03/10/2008,,Al-Ittihad Wad Madani,Al-Hilal Kadougli,0,0,D,NaN,NaN,NaN
SUD,04/10/2008,,Hay Al-Arab,Al-Nil Al-Hasahesa,1,1,D,NaN,NaN,NaN
SUD,04/10/2008,,Al-Ahli Wad Madani,Khartoum 3,4,1,H,NaN,NaN,NaN
SUD,06/10/2008,,Alamal Atbara,Al-Hilal Port Sudan,2,0,H,NaN,NaN,NaN
SUD,20/10/2008,,Al-Hilal Omdurman,Jazeerat Al-Feel,5,0,H,NaN,NaN,NaN
SUD,12/10/2008,,Al-Ahli Wad Madani,Jazeerat Al-Feel,2,0,H,NaN,NaN,NaN
SUD,12/10/2008,,Khartoum 3,Al-Ittihad Wad Madani,1,1,D,NaN,NaN,NaN
SUD,13/10/2008,,Al-Hilal Kadougli,Al-Mawrada,1,1,D,NaN,NaN,NaN
SUD,13/10/2008,,Alamal Atbara,Al-Hilal Omdurman,0,1,A,NaN,NaN,NaN
SUD,13/10/2008,,Al-Merrikh SC,Hay Al-Arab,7,0,H,NaN,NaN,NaN
SUD,14/10/2008,,Al-Nil Al-Hasahesa,Al-Hilal Port Sudan,1,2,A,NaN,NaN,NaN
SUD,15/10/2008,,Al-Merrikh SC,Khartoum 3,4,0,H,NaN,NaN,NaN
SUD,16/10/2008,,Jazeerat Al-Feel,Hay Al-Arab,1,1,D,NaN,NaN,NaN
