Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SUI,18/07/2015,16:45,FC Luzern,FC Sion,2,2,D,0,1,A
SUI,18/07/2015,19:00,FC Zürich,BSC Young Boys,1,1,D,0,0,D
SUI,19/07/2015,12:45,FC Basel,FC Vaduz,2,0,H,1,0,H
SUI,19/07/2015,12:45,FC Thun,Grasshopper Club Zürich,3,5,A,1,5,A
SUI,19/07/2015,15:00,FC St. Gallen,FC Lugano,2,0,H,0,0,D
SUI,25/07/2015,16:45,BSC Young Boys,FC Luzern,1,1,D,1,1,D
SUI,25/07/2015,19:00,Grasshopper Club Zürich,FC Basel,2,3,A,2,2,D
SUI,26/07/2015,12:45,FC Lugano,FC Thun,2,3,A,1,1,D
SUI,26/07/2015,12:45,FC Sion,FC St. Gallen,1,0,H,0,0,D
SUI,26/07/2015,15:00,FC Vaduz,FC Zürich,2,2,D,1,1,D
SUI,01/08/2015,14:00,FC Basel,FC Sion,3,0,H,1,0,H
SUI,01/08/2015,14:00,FC St. Gallen,BSC Young Boys,1,1,D,0,0,D
SUI,02/08/2015,12:45,FC Lugano,FC Vaduz,1,0,H,0,0,D
SUI,02/08/2015,12:45,FC Thun,FC Luzern,0,1,A,0,0,D
SUI,02/08/2015,15:00,FC Zürich,Grasshopper Club Zürich,2,3,A,1,2,A
SUI,08/08/2015,16:45,Grasshopper Club Zürich,FC Lugano,6,1,H,3,0,H
SUI,08/08/2015,19:00,FC Luzern,FC Basel,1,3,A,1,2,A
SUI,09/08/2015,12:45,FC St. Gallen,FC Zürich,0,2,A,0,1,A
SUI,09/08/2015,12:45,FC Vaduz,FC Sion,1,1,D,0,0,D
SUI,09/08/2015,15:00,BSC Young Boys,FC Thun,3,1,H,2,1,H
SUI,12/08/2015,18:45,FC Basel,FC Thun,3,1,H,1,1,D
SUI,12/08/2015,18:45,BSC Young Boys,FC Lugano,0,1,A,0,1,A
SUI,12/08/2015,19:30,FC Luzern,FC St. Gallen,0,1,A,0,0,D
SUI,13/08/2015,18:45,FC Sion,FC Zürich,3,1,H,2,1,H
SUI,13/08/2015,18:45,FC Vaduz,Grasshopper Club Zürich,3,3,D,1,2,A
SUI,22/08/2015,16:45,FC Lugano,FC Basel,1,3,A,1,2,A
SUI,22/08/2015,19:00,FC Zürich,FC Luzern,2,5,A,0,0,D
