Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SVN,18/07/2014,19:00,NK Celje,NK Zavrč ,0,1,A,0,0,D
SVN,19/07/2014,16:00,Olimpija Ljubljana,NK Krka,3,1,H,2,1,H
SVN,19/07/2014,19:05,NK Maribor,Rudar Velenje,1,0,H,0,0,D
SVN,20/07/2014,17:00,NK Radomlje,FC Koper,1,2,A,0,1,A
SVN,20/07/2014,19:00,ND Gorica,NK Domžale,0,1,A,0,1,A
SVN,26/07/2014,16:00,NK Maribor,NK Radomlje,3,2,H,1,1,D
SVN,26/07/2014,19:00,Rudar Velenje,NK Zavrč ,0,2,A,0,0,D
SVN,27/07/2014,17:00,NK Krka,ND Gorica,2,1,H,0,0,D
SVN,27/07/2014,19:05,NK Domžale,NK Celje,1,0,H,0,0,D
SVN,27/08/2014,19:30,FC Koper,Olimpija Ljubljana,1,2,A,0,1,A
SVN,01/08/2014,17:00,NK Zavrč ,NK Domžale,0,2,A,0,1,A
SVN,01/08/2014,19:00,NK Celje,NK Krka,3,0,H,2,0,H
SVN,02/08/2014,16:00,NK Radomlje,Rudar Velenje,1,2,A,1,2,A
SVN,03/08/2014,19:00,ND Gorica,FC Koper,0,1,A,0,1,A
SVN,08/04/2015,19:05,Olimpija Ljubljana,NK Maribor,0,0,D,0,0,D
SVN,09/08/2014,16:00,FC Koper,NK Celje,0,2,A,0,1,A
SVN,09/08/2014,19:00,Rudar Velenje,NK Domžale,0,1,A,0,1,A
SVN,09/08/2014,19:05,NK Maribor,ND Gorica,2,1,H,2,1,H
SVN,10/08/2014,17:00,NK Krka,NK Zavrč ,2,3,A,0,3,A
SVN,10/08/2014,18:00,NK Radomlje,Olimpija Ljubljana,1,4,A,1,1,D
SVN,15/08/2014,16:30,NK Zavrč ,FC Koper,1,0,H,0,0,D
SVN,16/08/2014,16:00,NK Celje,NK Maribor,3,1,H,2,0,H
SVN,16/08/2014,19:00,NK Domžale,NK Krka,2,0,H,0,0,D
SVN,16/08/2014,19:05,Olimpija Ljubljana,Rudar Velenje,2,0,H,1,0,H
SVN,17/08/2014,19:00,ND Gorica,NK Radomlje,4,0,H,0,0,D
SVN,23/08/2014,16:00,Olimpija Ljubljana,ND Gorica,0,0,D,0,0,D
SVN,23/08/2014,19:00,Rudar Velenje,NK Krka,3,1,H,0,1,A
SVN,23/08/2014,19:00,NK Maribor,NK Zavrč ,3,0,H,2,0,H
SVN,24/08/2014,17:00,FC Koper,NK Domžale,0,1,A,0,0,D
SVN,24/08/2014,17:00,NK Radomlje,NK Celje,0,3,A,0,1,A
SVN,29/08/2014,16:00,NK Zavrč ,NK Radomlje,2,1,H,1,0,H
SVN,30/08/2014,16:00,NK Celje,Olimpija Ljubljana,0,0,D,0,0,D
SVN,30/08/2014,19:05,NK Domžale,NK Maribor,2,0,H,1,0,H
SVN,31/08/2014,16:00,NK Krka,FC Koper,1,3,A,0,3,A
SVN,31/08/2014,19:00,ND Gorica,Rudar Velenje,1,2,A,1,0,H
SVN,13/09/2014,15:00,NK Maribor,NK Krka,2,0,H,2,0,H
SVN,13/09/2014,15:00,ND Gorica,NK Celje,1,1,D,1,1,D
SVN,13/09/2014,17:00,Rudar Velenje,FC Koper,2,3,A,1,2,A
SVN,13/09/2014,17:00,NK Radomlje,NK Domžale,0,2,A,0,1,A
SVN,13/09/2014,19:30,Olimpija Ljubljana,NK Zavrč ,2,0,H,0,0,D
SVN,20/09/2014,15:00,FC Koper,NK Maribor,1,2,A,1,1,D
SVN,20/09/2014,17:00,NK Celje,Rudar Velenje,1,1,D,1,0,H
SVN,20/09/2014,19:05,NK Domžale,Olimpija Ljubljana,0,0,D,0,0,D
SVN,21/09/2014,15:00,NK Zavrč ,ND Gorica,0,0,D,0,0,D
SVN,21/09/2014,15:00,NK Krka,NK Radomlje,0,0,D,0,0,D
SVN,24/09/2014,15:00,NK Krka,Olimpija Ljubljana,2,1,H,1,0,H
SVN,24/09/2014,15:00,NK Zavrč ,NK Celje,0,0,D,0,0,D
SVN,24/09/2014,18:00,NK Domžale,ND Gorica,3,0,H,0,0,D
SVN,24/09/2014,19:00,FC Koper,NK Radomlje,1,2,A,0,1,A
SVN,24/09/2014,19:05,Rudar Velenje,NK Maribor,0,1,A,0,0,D
SVN,27/09/2014,15:00,NK Radomlje,NK Maribor,0,0,D,0,0,D
SVN,27/09/2014,16:00,NK Celje,NK Domžale,2,0,H,2,0,H
SVN,27/09/2014,17:00,Olimpija Ljubljana,FC Koper,4,0,H,2,0,H
SVN,28/09/2014,15:00,NK Zavrč ,Rudar Velenje,1,0,H,0,0,D
SVN,29/09/2014,15:00,ND Gorica,NK Krka,2,1,H,1,0,H
SVN,04/10/2014,15:00,NK Domžale,NK Zavrč ,1,3,A,0,0,D
SVN,04/10/2014,17:00,Rudar Velenje,NK Radomlje,2,0,H,1,0,H
SVN,04/10/2014,17:00,FC Koper,ND Gorica,1,0,H,1,0,H
SVN,04/10/2014,19:05,NK Maribor,Olimpija Ljubljana,3,3,D,2,3,A
SVN,05/10/2014,14:00,NK Krka,NK Celje,1,1,D,1,0,H
SVN,15/10/2014,14:00,NK Zavrč ,NK Krka,2,0,H,0,0,D
SVN,15/10/2014,16:00,NK Celje,FC Koper,1,1,D,1,0,H
SVN,15/10/2014,17:00,ND Gorica,NK Maribor,0,2,A,0,1,A
SVN,15/10/2014,17:00,Olimpija Ljubljana,NK Radomlje,4,0,H,1,0,H
SVN,15/10/2014,19:05,NK Domžale,Rudar Velenje,1,1,D,1,1,D
SVN,18/10/2014,15:00,Rudar Velenje,Olimpija Ljubljana,0,0,D,0,0,D
