Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SWE,24/04/1982,,IFK Norrköping,Hammarby IF,1,1,D,NaN,NaN,NaN
SWE,24/04/1982,,Kalmar FF,Halmstads BK,4,1,H,NaN,NaN,NaN
SWE,24/04/1982,,IF Elfsborg,Malmö FF,0,1,A,NaN,NaN,NaN
SWE,24/04/1982,,AIK Solna,Östers IF,1,0,H,NaN,NaN,NaN
SWE,24/04/1982,,Örgryte IS,Åtvidabergs FF,4,3,H,NaN,NaN,NaN
SWE,26/04/1982,,IFK Göteborg,IK Brage,1,0,H,NaN,NaN,NaN
SWE,29/04/1982,,IFK Göteborg,IFK Norrköping,2,1,H,NaN,NaN,NaN
SWE,02/05/1982,,Malmö FF,AIK Solna,2,0,H,NaN,NaN,NaN
SWE,02/05/1982,,Hammarby IF,Örgryte IS,4,2,H,NaN,NaN,NaN
SWE,02/05/1982,,Halmstads BK,IF Elfsborg,2,2,D,NaN,NaN,NaN
SWE,02/05/1982,,Östers IF,IK Brage,4,0,H,NaN,NaN,NaN
SWE,02/05/1982,,Åtvidabergs FF,Kalmar FF,1,0,H,NaN,NaN,NaN
SWE,09/05/1982,,Kalmar FF,Östers IF,1,0,H,NaN,NaN,NaN
SWE,09/05/1982,,IF Elfsborg,IFK Göteborg,0,0,D,NaN,NaN,NaN
SWE,09/05/1982,,IK Brage,Hammarby IF,1,0,H,NaN,NaN,NaN
SWE,09/05/1982,,AIK Solna,IFK Norrköping,1,1,D,NaN,NaN,NaN
SWE,09/05/1982,,Örgryte IS,Malmö FF,1,1,D,NaN,NaN,NaN
SWE,09/05/1982,,Åtvidabergs FF,Halmstads BK,0,2,A,NaN,NaN,NaN
SWE,14/05/1982,,IFK Göteborg,AIK Solna,1,0,H,NaN,NaN,NaN
SWE,16/05/1982,,IFK Norrköping,IK Brage,2,1,H,NaN,NaN,NaN
SWE,16/05/1982,,Malmö FF,Kalmar FF,1,1,D,NaN,NaN,NaN
SWE,16/05/1982,,Hammarby IF,Åtvidabergs FF,1,1,D,NaN,NaN,NaN
SWE,16/05/1982,,Halmstads BK,Örgryte IS,4,2,H,NaN,NaN,NaN
SWE,16/05/1982,,Östers IF,IF Elfsborg,0,0,D,NaN,NaN,NaN
SWE,27/05/1982,,Kalmar FF,IFK Norrköping,0,0,D,NaN,NaN,NaN
SWE,27/05/1982,,Hammarby IF,AIK Solna,3,0,H,NaN,NaN,NaN
SWE,27/05/1982,,Halmstads BK,Malmö FF,0,0,D,NaN,NaN,NaN
SWE,27/05/1982,,IFK Göteborg,Örgryte IS,1,2,A,NaN,NaN,NaN
SWE,27/05/1982,,IF Elfsborg,IK Brage,1,0,H,NaN,NaN,NaN
SWE,27/05/1982,,Åtvidabergs FF,Östers IF,0,1,A,NaN,NaN,NaN
SWE,31/05/1982,,IFK Norrköping,Örgryte IS,1,1,D,NaN,NaN,NaN
SWE,31/05/1982,,Malmö FF,Hammarby IF,2,0,H,NaN,NaN,NaN
SWE,31/05/1982,,IFK Göteborg,Åtvidabergs FF,0,1,A,NaN,NaN,NaN
