Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SYR,26/07/2015,15:00,Al Jaish,Al Majd,0,0,D,NaN,NaN,NaN
SYR,26/07/2015,15:00,Al Misfat,Al Shorta,0,4,A,NaN,NaN,NaN
SYR,26/07/2015,15:00,Al Wahda,Al Muhafaza,1,1,D,NaN,NaN,NaN
SYR,29/07/2015,15:00,Al Jaish,Al Wahda,2,0,H,NaN,NaN,NaN
SYR,29/07/2015,15:00,Al Misfat,Al Muhafaza,1,1,D,NaN,NaN,NaN
SYR,29/07/2015,15:00,Al Shorta,Al Majd,0,1,A,NaN,NaN,NaN
SYR,01/08/2015,15:00,Al Jaish,Al Misfat,2,0,H,NaN,NaN,NaN
SYR,01/08/2015,15:00,Al Majd,Al Wahda,1,3,A,NaN,NaN,NaN
SYR,01/08/2015,15:00,Al Shorta,Al Muhafaza,2,1,H,NaN,NaN,NaN
SYR,04/08/2015,15:00,Al Majd,Al Muhafaza,3,2,H,NaN,NaN,NaN
SYR,04/08/2015,15:00,Al Misfat,Al Wahda,2,2,D,NaN,NaN,NaN
SYR,04/08/2015,15:00,Al Shorta,Al Jaish,1,0,H,NaN,NaN,NaN
SYR,07/08/2015,15:00,Al Majd,Al Misfat,1,2,A,NaN,NaN,NaN
SYR,07/08/2015,15:00,Al Muhafaza,Al Jaish,1,2,A,NaN,NaN,NaN
SYR,07/08/2015,15:00,Al Wahda,Al Shorta,2,1,H,NaN,NaN,NaN
