Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
UKR,08/08/1993,,Zorya-MALS Lugansk,FK Krivbas,1,0,H,NaN,NaN,NaN
UKR,08/08/1993,,Temp Shepetivka,Tavriya Simferopol,1,1,D,NaN,NaN,NaN
UKR,08/08/1993,,FK Bukovina,Niva Ternopil,0,0,D,NaN,NaN,NaN
UKR,08/08/1993,,Volyn Lutsk,Chernomorets Odessa,0,0,D,NaN,NaN,NaN
UKR,08/08/1993,,NK Veres,FK Kremin,2,0,H,NaN,NaN,NaN
UKR,08/08/1993,,Niva-V Vinnitsa,Torpedo Zaporizhya,0,0,D,NaN,NaN,NaN
UKR,08/08/1993,,Metalurg Zaporizhya,Shakhtar Donetsk,0,3,A,NaN,NaN,NaN
UKR,08/08/1993,,Metalist Kharkov,Dnipro Dnipropetrovsk,1,1,D,NaN,NaN,NaN
UKR,08/08/1993,,Dinamo Kiev,Karpaty Lviv,2,1,H,NaN,NaN,NaN
UKR,14/08/1993,,Dnipro Dnipropetrovsk,Dinamo Kiev,2,3,A,NaN,NaN,NaN
UKR,14/08/1993,,Shakhtar Donetsk,Torpedo Zaporizhya,1,0,H,NaN,NaN,NaN
UKR,14/08/1993,,Niva Ternopil,Volyn Lutsk,2,1,H,NaN,NaN,NaN
UKR,14/08/1993,,Metalurg Zaporizhya,Metalist Kharkov,0,1,A,NaN,NaN,NaN
UKR,14/08/1993,,FK Krivbas,Niva-V Vinnitsa,3,0,H,NaN,NaN,NaN
UKR,14/08/1993,,FK Kremin,Temp Shepetivka,0,0,D,NaN,NaN,NaN
UKR,14/08/1993,,Karpaty Lviv,NK Veres,0,0,D,NaN,NaN,NaN
UKR,14/08/1993,,Chernomorets Odessa,Zorya-MALS Lugansk,4,1,H,NaN,NaN,NaN
UKR,14/08/1993,,Tavriya Simferopol,FK Bukovina,3,1,H,NaN,NaN,NaN
UKR,18/08/1993,,Metalist Kharkov,Shakhtar Donetsk,1,1,D,NaN,NaN,NaN
UKR,19/08/1993,,Dinamo Kiev,Metalurg Zaporizhya,3,0,H,NaN,NaN,NaN
UKR,22/08/1993,,Volyn Lutsk,Tavriya Simferopol,1,0,H,NaN,NaN,NaN
UKR,22/08/1993,,Temp Shepetivka,Karpaty Lviv,1,1,D,NaN,NaN,NaN
UKR,22/08/1993,,Zorya-MALS Lugansk,Niva Ternopil,2,1,H,NaN,NaN,NaN
UKR,22/08/1993,,NK Veres,Dnipro Dnipropetrovsk,2,1,H,NaN,NaN,NaN
UKR,22/08/1993,,Torpedo Zaporizhya,FK Krivbas,0,0,D,NaN,NaN,NaN
UKR,22/08/1993,,Niva-V Vinnitsa,Chernomorets Odessa,1,2,A,NaN,NaN,NaN
UKR,22/08/1993,,FK Bukovina,FK Kremin,1,0,H,NaN,NaN,NaN
UKR,28/08/1993,,Shakhtar Donetsk,FK Krivbas,1,0,H,NaN,NaN,NaN
UKR,28/08/1993,,Niva Ternopil,Niva-V Vinnitsa,3,0,H,NaN,NaN,NaN
UKR,28/08/1993,,FK Kremin,Volyn Lutsk,1,0,H,NaN,NaN,NaN
UKR,28/08/1993,,Tavriya Simferopol,Zorya-MALS Lugansk,3,1,H,NaN,NaN,NaN
UKR,28/08/1993,,Metalurg Zaporizhya,NK Veres,1,0,H,NaN,NaN,NaN
UKR,28/08/1993,,Metalist Kharkov,Dinamo Kiev,1,2,A,NaN,NaN,NaN
UKR,28/08/1993,,Karpaty Lviv,FK Bukovina,1,0,H,NaN,NaN,NaN
UKR,28/08/1993,,Chernomorets Odessa,Torpedo Zaporizhya,1,0,H,NaN,NaN,NaN
UKR,28/08/1993,,Dnipro Dnipropetrovsk,Temp Shepetivka,1,0,H,NaN,NaN,NaN
UKR,05/09/1993,,Temp Shepetivka,Metalurg Zaporizhya,3,1,H,NaN,NaN,NaN
UKR,05/09/1993,,Zorya-MALS Lugansk,FK Kremin,1,0,H,NaN,NaN,NaN
UKR,05/09/1993,,Volyn Lutsk,Karpaty Lviv,1,0,H,NaN,NaN,NaN
UKR,05/09/1993,,Niva-V Vinnitsa,Tavriya Simferopol,1,0,H,NaN,NaN,NaN
UKR,05/09/1993,,FK Bukovina,Dnipro Dnipropetrovsk,0,1,A,NaN,NaN,NaN
UKR,05/09/1993,,NK Veres,Metalist Kharkov,4,0,H,NaN,NaN,NaN
UKR,05/09/1993,,Torpedo Zaporizhya,Niva Ternopil,1,0,H,NaN,NaN,NaN
UKR,05/09/1993,,FK Krivbas,Chernomorets Odessa,1,0,H,NaN,NaN,NaN
UKR,05/09/1993,,Dinamo Kiev,Shakhtar Donetsk,1,1,D,NaN,NaN,NaN
UKR,11/09/1993,,Shakhtar Donetsk,Chernomorets Odessa,4,1,H,NaN,NaN,NaN
UKR,11/09/1993,,Niva Ternopil,FK Krivbas,3,0,H,NaN,NaN,NaN
UKR,11/09/1993,,FK Kremin,Niva-V Vinnitsa,2,0,H,NaN,NaN,NaN
UKR,11/09/1993,,Tavriya Simferopol,Torpedo Zaporizhya,3,0,H,NaN,NaN,NaN
