Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
URS,25/03/1981,,Dinamo Tbilisi,Dinamo Minsk,1,2,A,NaN,NaN,NaN
URS,25/03/1981,,Chernomorets Odessa,FK SKA Rostov,0,1,A,NaN,NaN,NaN
URS,25/03/1981,,Dinamo Kiev,Neftçi PFK,1,1,D,NaN,NaN,NaN
URS,25/03/1981,,Tavriya Simferopol,Spartak Moskva,0,2,A,NaN,NaN,NaN
URS,25/03/1981,,CSKA Moskva,Pakhtakor Tashkent,1,1,D,NaN,NaN,NaN
URS,25/03/1981,,FC Ararat,Zenit Leningrad,2,1,H,NaN,NaN,NaN
URS,25/03/1981,,Kuban Krasnodar,Dinamo Moskva,1,1,D,NaN,NaN,NaN
URS,26/03/1981,,Torpedo Moskva,FK Kairat,1,1,D,NaN,NaN,NaN
URS,28/03/1981,,Kuban Krasnodar,Spartak Moskva,0,2,A,NaN,NaN,NaN
URS,28/03/1981,,Chernomorets Odessa,Neftçi PFK,0,0,D,NaN,NaN,NaN
URS,28/03/1981,,FC Ararat,Dinamo Minsk,0,2,A,NaN,NaN,NaN
URS,28/03/1981,,Dinamo Kiev,FK SKA Rostov,3,2,H,NaN,NaN,NaN
URS,28/03/1981,,Tavriya Simferopol,Dinamo Moskva,1,0,H,NaN,NaN,NaN
URS,28/03/1981,,Dinamo Tbilisi,Zenit Leningrad,3,1,H,NaN,NaN,NaN
URS,29/03/1981,,CSKA Moskva,FK Kairat,0,0,D,NaN,NaN,NaN
URS,29/03/1981,,Dnepr Dnepropetrovsk,Shakhtyor Donetsk,1,2,A,NaN,NaN,NaN
URS,29/03/1981,,Torpedo Moskva,Pakhtakor Tashkent,1,0,H,NaN,NaN,NaN
URS,04/04/1981,,Neftçi PFK,CSKA Moskva,2,1,H,NaN,NaN,NaN
URS,04/04/1981,,Shakhtyor Donetsk,Chernomorets Odessa,2,0,H,NaN,NaN,NaN
URS,04/04/1981,,Dinamo Tbilisi,Dinamo Moskva,0,2,A,NaN,NaN,NaN
URS,04/04/1981,,Spartak Moskva,FC Ararat,3,0,H,NaN,NaN,NaN
URS,04/04/1981,,FK SKA Rostov,Torpedo Moskva,0,0,D,NaN,NaN,NaN
URS,04/04/1981,,FK Kairat,Tavriya Simferopol,0,0,D,NaN,NaN,NaN
URS,04/04/1981,,Pakhtakor Tashkent,Kuban Krasnodar,0,1,A,NaN,NaN,NaN
URS,04/04/1981,,Dnepr Dnepropetrovsk,Dinamo Kiev,0,1,A,NaN,NaN,NaN
URS,01/04/1981,,Dinamo Tbilisi,Spartak Moskva,3,1,H,NaN,NaN,NaN
URS,07/04/1981,,FK SKA Rostov,CSKA Moskva,1,4,A,NaN,NaN,NaN
URS,07/04/1981,,Dnepr Dnepropetrovsk,Chernomorets Odessa,0,1,A,NaN,NaN,NaN
URS,07/04/1981,,Neftçi PFK,Torpedo Moskva,1,2,A,NaN,NaN,NaN
URS,07/04/1981,,Pakhtakor Tashkent,Tavriya Simferopol,1,0,H,NaN,NaN,NaN
URS,07/04/1981,,Zenit Leningrad,Dinamo Minsk,1,1,D,NaN,NaN,NaN
URS,07/04/1981,,Shakhtyor Donetsk,Dinamo Kiev,0,0,D,NaN,NaN,NaN
URS,07/04/1981,,FK Kairat,Kuban Krasnodar,2,0,H,NaN,NaN,NaN
URS,07/04/1981,,Dinamo Moskva,FC Ararat,0,0,D,NaN,NaN,NaN
URS,17/04/1981,,Dinamo Tbilisi,FK Kairat,2,1,H,NaN,NaN,NaN
URS,19/04/1981,,Kuban Krasnodar,Neftçi PFK,0,0,D,NaN,NaN,NaN
URS,19/04/1981,,Tavriya Simferopol,FK SKA Rostov,1,1,D,NaN,NaN,NaN
URS,19/04/1981,,Dinamo Minsk,Spartak Moskva,1,1,D,NaN,NaN,NaN
URS,19/04/1981,,CSKA Moskva,Dnepr Dnepropetrovsk,1,1,D,NaN,NaN,NaN
URS,19/04/1981,,FC Ararat,Pakhtakor Tashkent,3,1,H,NaN,NaN,NaN
URS,19/04/1981,,Torpedo Moskva,Shakhtyor Donetsk,3,0,H,NaN,NaN,NaN
URS,19/04/1981,,Zenit Leningrad,Dinamo Moskva,0,0,D,NaN,NaN,NaN
URS,23/04/1981,,Tavriya Simferopol,Neftçi PFK,3,0,H,NaN,NaN,NaN
URS,23/04/1981,,Dinamo Kiev,Chernomorets Odessa,2,1,H,NaN,NaN,NaN
URS,23/04/1981,,Dinamo Minsk,Dinamo Moskva,0,2,A,NaN,NaN,NaN
URS,23/04/1981,,CSKA Moskva,Shakhtyor Donetsk,2,1,H,NaN,NaN,NaN
URS,23/04/1981,,Zenit Leningrad,Spartak Moskva,2,0,H,NaN,NaN,NaN
URS,23/04/1981,,FC Ararat,FK Kairat,1,1,D,NaN,NaN,NaN
URS,23/04/1981,,Kuban Krasnodar,FK SKA Rostov,4,0,H,NaN,NaN,NaN
URS,24/04/1981,,Torpedo Moskva,Dnepr Dnepropetrovsk,0,1,A,NaN,NaN,NaN
URS,28/04/1981,,Dinamo Tbilisi,Pakhtakor Tashkent,3,0,H,NaN,NaN,NaN
URS,02/05/1981,,FK SKA Rostov,FC Ararat,0,0,D,NaN,NaN,NaN
URS,02/05/1981,,Shakhtyor Donetsk,Tavriya Simferopol,3,0,H,NaN,NaN,NaN
URS,02/05/1981,,Dnepr Dnepropetrovsk,Kuban Krasnodar,0,1,A,NaN,NaN,NaN
URS,02/05/1981,,Neftçi PFK,Dinamo Tbilisi,1,0,H,NaN,NaN,NaN
URS,02/05/1981,,Spartak Moskva,Dinamo Moskva,1,2,A,NaN,NaN,NaN
URS,02/05/1981,,Chernomorets Odessa,CSKA Moskva,2,3,A,NaN,NaN,NaN
URS,02/05/1981,,Dinamo Kiev,Torpedo Moskva,1,0,H,NaN,NaN,NaN
URS,02/05/1981,,FK Kairat,Dinamo Minsk,1,0,H,NaN,NaN,NaN
URS,02/05/1981,,Pakhtakor Tashkent,Zenit Leningrad,0,1,A,NaN,NaN,NaN
URS,05/05/1981,,Neftçi PFK,FC Ararat,0,0,D,NaN,NaN,NaN
URS,05/05/1981,,Shakhtyor Donetsk,Kuban Krasnodar,2,0,H,NaN,NaN,NaN
URS,05/05/1981,,Dinamo Kiev,CSKA Moskva,0,0,D,NaN,NaN,NaN
URS,05/05/1981,,Pakhtakor Tashkent,Dinamo Minsk,0,1,A,NaN,NaN,NaN
URS,05/05/1981,,FK Kairat,Zenit Leningrad,1,1,D,NaN,NaN,NaN
URS,05/05/1981,,Dnepr Dnepropetrovsk,Tavriya Simferopol,2,2,D,NaN,NaN,NaN
URS,05/05/1981,,Chernomorets Odessa,Torpedo Moskva,1,1,D,NaN,NaN,NaN
URS,05/05/1981,,FK SKA Rostov,Dinamo Tbilisi,1,1,D,NaN,NaN,NaN
URS,08/05/1981,,Dinamo Tbilisi,Dnepr Dnepropetrovsk,4,0,H,NaN,NaN,NaN
URS,09/05/1981,,FC Ararat,Shakhtyor Donetsk,0,0,D,NaN,NaN,NaN
URS,09/05/1981,,Tavriya Simferopol,Dinamo Kiev,0,0,D,NaN,NaN,NaN
URS,09/05/1981,,Kuban Krasnodar,Chernomorets Odessa,2,0,H,NaN,NaN,NaN
URS,09/05/1981,,Zenit Leningrad,Neftçi PFK,2,0,H,NaN,NaN,NaN
URS,10/05/1981,,Dinamo Moskva,FK Kairat,2,1,H,NaN,NaN,NaN
URS,15/07/1981,,Spartak Moskva,Pakhtakor Tashkent,5,1,H,NaN,NaN,NaN
URS,15/07/1981,,Dinamo Minsk,FK SKA Rostov,3,2,H,NaN,NaN,NaN
URS,13/05/1981,,Kuban Krasnodar,Dinamo Kiev,0,2,A,NaN,NaN,NaN
URS,13/05/1981,,Dinamo Minsk,Neftçi PFK,1,1,D,NaN,NaN,NaN
URS,13/05/1981,,Zenit Leningrad,FK SKA Rostov,1,0,H,NaN,NaN,NaN
URS,13/05/1981,,Dinamo Moskva,Pakhtakor Tashkent,1,2,A,NaN,NaN,NaN
URS,13/05/1981,,FC Ararat,Dnepr Dnepropetrovsk,3,0,H,NaN,NaN,NaN
URS,13/05/1981,,Tavriya Simferopol,Chernomorets Odessa,1,0,H,NaN,NaN,NaN
URS,14/05/1981,,Spartak Moskva,FK Kairat,3,0,H,NaN,NaN,NaN
URS,15/05/1981,,CSKA Moskva,Torpedo Moskva,1,2,A,NaN,NaN,NaN
URS,20/06/1981,,Dinamo Tbilisi,Shakhtyor Donetsk,1,1,D,NaN,NaN,NaN
URS,19/05/1981,,Torpedo Moskva,Kuban Krasnodar,1,0,H,NaN,NaN,NaN
URS,19/05/1981,,Shakhtyor Donetsk,Dinamo Minsk,0,1,A,NaN,NaN,NaN
URS,19/05/1981,,Dinamo Kiev,FC Ararat,1,0,H,NaN,NaN,NaN
URS,19/05/1981,,Neftçi PFK,Spartak Moskva,1,1,D,NaN,NaN,NaN
URS,19/05/1981,,FK SKA Rostov,Dinamo Moskva,2,1,H,NaN,NaN,NaN
URS,19/05/1981,,Chernomorets Odessa,Dinamo Tbilisi,1,1,D,NaN,NaN,NaN
URS,19/05/1981,,Dnepr Dnepropetrovsk,Zenit Leningrad,2,1,H,NaN,NaN,NaN
URS,20/05/1981,,CSKA Moskva,Tavriya Simferopol,1,0,H,NaN,NaN,NaN
URS,22/05/1981,,Pakhtakor Tashkent,FK Kairat,2,3,A,NaN,NaN,NaN
URS,23/05/1981,,Torpedo Moskva,Tavriya Simferopol,1,0,H,NaN,NaN,NaN
URS,23/05/1981,,FK SKA Rostov,Spartak Moskva,3,4,A,NaN,NaN,NaN
URS,23/05/1981,,CSKA Moskva,Kuban Krasnodar,1,0,H,NaN,NaN,NaN
URS,23/05/1981,,Chernomorets Odessa,FC Ararat,1,0,H,NaN,NaN,NaN
URS,23/05/1981,,Dnepr Dnepropetrovsk,Dinamo Minsk,1,1,D,NaN,NaN,NaN
URS,23/05/1981,,Shakhtyor Donetsk,Zenit Leningrad,2,3,A,NaN,NaN,NaN
URS,23/05/1981,,Neftçi PFK,Dinamo Moskva,1,0,H,NaN,NaN,NaN
URS,24/05/1981,,Dinamo Kiev,Dinamo Tbilisi,1,0,H,NaN,NaN,NaN
URS,02/06/1981,,Dinamo Moskva,Dnepr Dnepropetrovsk,4,1,H,NaN,NaN,NaN
URS,03/06/1981,,FK Kairat,Neftçi PFK,2,0,H,NaN,NaN,NaN
URS,03/06/1981,,Pakhtakor Tashkent,FK SKA Rostov,1,2,A,NaN,NaN,NaN
URS,03/06/1981,,Tavriya Simferopol,Kuban Krasnodar,3,1,H,NaN,NaN,NaN
URS,03/06/1981,,Zenit Leningrad,Chernomorets Odessa,1,2,A,NaN,NaN,NaN
URS,03/06/1981,,FC Ararat,CSKA Moskva,1,0,H,NaN,NaN,NaN
URS,03/06/1981,,Dinamo Minsk,Dinamo Kiev,0,1,A,NaN,NaN,NaN
URS,03/06/1981,,Spartak Moskva,Shakhtyor Donetsk,1,0,H,NaN,NaN,NaN
URS,03/06/1981,,Dinamo Tbilisi,Torpedo Moskva,0,0,D,NaN,NaN,NaN
URS,06/06/1981,,Dinamo Tbilisi,CSKA Moskva,2,1,H,NaN,NaN,NaN
URS,06/06/1981,,Spartak Moskva,Dnepr Dnepropetrovsk,3,1,H,NaN,NaN,NaN
URS,06/06/1981,,Dinamo Minsk,Chernomorets Odessa,1,1,D,NaN,NaN,NaN
URS,06/06/1981,,FC Ararat,Torpedo Moskva,3,2,H,NaN,NaN,NaN
URS,06/06/1981,,Zenit Leningrad,Dinamo Kiev,1,3,A,NaN,NaN,NaN
URS,06/06/1981,,FK Kairat,FK SKA Rostov,1,0,H,NaN,NaN,NaN
URS,06/06/1981,,Dinamo Moskva,Shakhtyor Donetsk,1,1,D,NaN,NaN,NaN
URS,06/06/1981,,Pakhtakor Tashkent,Neftçi PFK,3,0,H,NaN,NaN,NaN
