Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
VEN,12/08/2011,00:30,Yaracuyanos FC,Deportivo Anzoátegui,1,0,H,0,0,D
VEN,13/08/2011,22:30,Caracas FC,Trujillanos FC,1,0,H,1,0,H
VEN,14/08/2011,20:30,Atlético El Vigía,Deportivo Petare,3,2,H,1,1,D
VEN,14/08/2011,21:00,Tucanes FC,Zamora FC,1,3,A,0,0,D
VEN,14/08/2011,21:30,Llaneros de Guanare,Estudiantes de Mérida,1,1,D,0,1,A
VEN,14/08/2011,21:30,Zulia FC,Carabobo FC,3,1,H,2,1,H
VEN,14/08/2011,22:30,Deportivo Táchira,Deportivo Lara,1,1,D,1,0,H
VEN,14/08/2011,22:30,Mineros de Guayana,Real Esppor Club,1,0,H,1,0,H
VEN,14/08/2011,23:30,Aragua FC,Monagas,0,2,A,0,1,A
VEN,21/08/2011,21:30,Monagas,Tucanes FC,3,2,H,3,1,H
VEN,21/08/2011,21:30,Deportivo Petare,Deportivo Táchira,1,0,H,1,0,H
VEN,21/08/2011,21:30,Deportivo Lara,Zulia FC,1,0,H,1,0,H
VEN,21/08/2011,21:30,Trujillanos FC,Llaneros de Guanare,4,0,H,1,0,H
VEN,21/08/2011,21:30,Estudiantes de Mérida,Mineros de Guayana,1,1,D,0,0,D
VEN,21/08/2011,22:30,Deportivo Anzoátegui,Caracas FC,1,0,H,1,0,H
VEN,21/08/2011,22:30,Aragua FC,Yaracuyanos FC,0,3,A,0,2,A
VEN,21/08/2011,23:30,Zamora FC,Atlético El Vigía,3,0,H,1,0,H
VEN,12/10/2011,20:30,Real Esppor Club,Carabobo FC,0,2,A,0,2,A
VEN,24/08/2011,20:30,Atlético El Vigía,Monagas,2,0,H,0,0,D
VEN,24/08/2011,21:30,Zulia FC,Deportivo Petare,0,1,A,0,0,D
VEN,25/08/2011,00:30,Mineros de Guayana,Trujillanos FC,2,0,H,1,0,H
VEN,25/08/2011,01:00,Caracas FC,Yaracuyanos FC,2,0,H,1,0,H
VEN,25/08/2011,01:00,Deportivo Táchira,Zamora FC,0,0,D,0,0,D
VEN,25/08/2011,01:00,Tucanes FC,Aragua FC,0,1,A,0,0,D
VEN,25/08/2011,01:00,Deportivo Lara,Real Esppor Club,4,0,H,1,0,H
VEN,25/08/2011,01:00,Llaneros de Guanare,Deportivo Anzoátegui,0,1,A,0,0,D
VEN,29/09/2011,01:00,Carabobo FC,Estudiantes de Mérida,2,2,D,1,0,H
VEN,28/08/2011,21:00,Tucanes FC,Caracas FC,1,4,A,1,2,A
VEN,28/08/2011,21:30,Monagas,Deportivo Táchira,3,0,H,1,0,H
VEN,28/08/2011,21:30,Deportivo Petare,Deportivo Lara,3,4,A,3,2,H
VEN,28/08/2011,21:30,Yaracuyanos FC,Llaneros de Guanare,4,0,H,2,0,H
VEN,28/08/2011,21:30,Deportivo Anzoátegui,Mineros de Guayana,0,1,A,0,0,D
VEN,28/08/2011,21:30,Trujillanos FC,Carabobo FC,1,1,D,0,1,A
VEN,28/08/2011,21:30,Estudiantes de Mérida,Real Esppor Club,0,5,A,0,1,A
VEN,28/08/2011,23:30,Aragua FC,Atlético El Vigía,3,2,H,2,0,H
VEN,28/08/2011,23:30,Zamora FC,Zulia FC,1,1,D,0,0,D
VEN,09/09/2011,21:30,Real Esppor Club,Trujillanos FC,1,1,D,0,1,A
VEN,11/09/2011,20:30,Atlético El Vigía,Tucanes FC,1,1,D,1,1,D
VEN,11/09/2011,21:30,Deportivo Lara,Zamora FC,4,0,H,2,0,H
VEN,11/09/2011,21:30,Deportivo Petare,Estudiantes de Mérida,1,1,D,0,1,A
VEN,11/09/2011,21:30,Carabobo FC,Deportivo Anzoátegui,0,1,A,0,1,A
VEN,11/09/2011,22:00,Zulia FC,Monagas,1,0,H,0,0,D
VEN,11/09/2011,22:30,Deportivo Táchira,Aragua FC,2,0,H,0,0,D
VEN,11/09/2011,22:30,Mineros de Guayana,Yaracuyanos FC,1,1,D,0,0,D
VEN,12/09/2011,14:20,Llaneros de Guanare,Caracas FC,1,2,A,0,0,D
VEN,18/09/2011,20:30,Atlético El Vigía,Llaneros de Guanare,2,1,H,0,1,A
VEN,18/09/2011,21:00,Tucanes FC,Deportivo Táchira,1,2,A,1,1,D
VEN,18/09/2011,21:00,Zamora FC,Deportivo Petare,1,2,A,1,1,D
