Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AUS,1992-10-02,,Newcastle Breakers,Wollongong City Wolves,0,0,D,,,
AUS,1992-10-03,,Parramatta Melita Eagles,Brisbane United,1,0,H,,,
AUS,1992-10-04,,Adelaide City FC,Melbourne Croatia SC,2,1,H,,,
AUS,1992-10-04,,Marconi-Fairfield,Heidelberg United,2,1,H,,,
AUS,1992-10-04,,South Melbourne Hellas,Sydney CSC,2,1,H,,,
AUS,1992-10-04,,Preston Makedonia,West Adelaide Hellas,1,2,A,,,
AUS,1992-10-04,,Morwell Falcons,Sydney Olympic SC,2,0,H,,,
AUS,1992-10-09,,Wollongong City Wolves,Preston Makedonia,1,0,H,,,
AUS,1992-10-09,,Brisbane United,Morwell Falcons,3,0,H,,,
AUS,1992-10-11,,Heidelberg United,Adelaide City FC,1,0,H,,,
AUS,1992-10-11,,Sydney Olympic SC,Newcastle Breakers,1,0,H,,,
AUS,1992-10-11,,West Adelaide Hellas,South Melbourne Hellas,3,0,H,,,
AUS,1992-10-11,,Melbourne Croatia SC,Parramatta Melita Eagles,0,2,A,,,
AUS,1992-10-11,,Sydney CSC,Marconi-Fairfield,1,0,H,,,
AUS,1992-10-16,,Newcastle Breakers,West Adelaide Hellas,1,1,D,,,
AUS,1992-10-17,,Marconi-Fairfield,South Melbourne Hellas,2,1,H,,,
AUS,1992-10-18,,Adelaide City FC,Brisbane United,1,0,H,,,
AUS,1992-10-18,,Heidelberg United,Melbourne Croatia SC,2,2,D,,,
AUS,1992-10-18,,Preston Makedonia,Sydney CSC,1,3,A,,,
AUS,1992-10-18,,Parramatta Melita Eagles,Sydney Olympic SC,2,1,H,,,
AUS,1992-10-18,,Morwell Falcons,Wollongong City Wolves,2,2,D,,,
AUS,1992-10-23,,Wollongong City Wolves,Parramatta Melita Eagles,1,1,D,,,
AUS,1992-10-23,,Sydney CSC,Newcastle Breakers,1,2,A,,,
AUS,1992-10-24,,Brisbane United,Heidelberg United,1,1,D,,,
AUS,1992-10-25,,South Melbourne Hellas,Preston Makedonia,1,1,D,,,
AUS,1992-10-25,,Sydney Olympic SC,Adelaide City FC,1,1,D,,,
AUS,1992-10-25,,West Adelaide Hellas,Morwell Falcons,2,1,H,,,
AUS,1992-10-25,,Melbourne Croatia SC,Marconi-Fairfield,4,0,H,,,
AUS,1992-10-30,,Newcastle Breakers,South Melbourne Hellas,0,2,A,,,
AUS,1992-10-31,,Marconi-Fairfield,Preston Makedonia,2,1,H,,,
AUS,1992-10-31,,Morwell Falcons,Sydney CSC,2,0,H,,,
