Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BUL,2003-08-08,16:00,Slavia Sofia,PFC Litex Lovech,2,1,H,,,
BUL,2003-08-08,16:00,PSFC Chernomorets,Levski Sofia,1,2,A,,,
BUL,2003-08-09,16:00,Makedonska Slava,Lokomotiv Plovdiv,0,3,A,,,
BUL,2003-08-09,16:00,Marek Dupnitza,Cherno More Varna,4,2,H,,,
BUL,2003-08-09,16:00,Spartak Varna,Belasitsa Petrich,4,0,H,,,
BUL,2003-08-09,16:00,Botev Plovdiv,Rodopa Smolian,1,0,H,,,
BUL,2003-08-09,16:00,Vidima Rakovski,Lokomotiv Sofia,3,3,D,,,
BUL,2003-08-09,18:00,CSKA Sofia,PFC Nafteks,2,1,H,,,
BUL,2003-08-15,15:15,Cherno More Varna,Spartak Varna,1,1,D,,,
BUL,2003-08-16,16:00,Rodopa Smolian,PSFC Chernomorets,3,0,H,,,
BUL,2003-08-16,16:00,Belasitsa Petrich,Botev Plovdiv,3,0,H,,,
BUL,2003-08-16,16:00,Lokomotiv Plovdiv,Marek Dupnitza,4,1,H,,,
BUL,2003-08-16,18:00,PFC Nafteks,Makedonska Slava,3,0,H,,,
BUL,2003-08-17,16:00,Slavia Sofia,CSKA Sofia,2,4,A,,,
BUL,2003-08-17,18:00,PFC Litex Lovech,Lokomotiv Sofia,3,1,H,,,
BUL,2003-08-17,18:00,Levski Sofia,Vidima Rakovski,2,0,H,,,
BUL,2003-08-23,16:00,Makedonska Slava,Slavia Sofia,3,0,H,,,
BUL,2003-08-23,16:00,Marek Dupnitza,PFC Nafteks,3,0,H,,,
BUL,2003-08-23,16:00,Spartak Varna,Lokomotiv Plovdiv,1,3,A,,,
BUL,2003-08-23,16:00,Botev Plovdiv,Cherno More Varna,3,4,A,,,
BUL,2003-08-23,16:00,PSFC Chernomorets,Belasitsa Petrich,2,0,H,,,
BUL,2003-08-23,16:00,Vidima Rakovski,Rodopa Smolian,3,2,H,,,
BUL,2003-08-23,16:00,Lokomotiv Sofia,Levski Sofia,1,1,D,,,
BUL,2003-08-23,18:30,CSKA Sofia,PFC Litex Lovech,1,1,D,,,
BUL,2003-08-29,16:00,Lokomotiv Plovdiv,Botev Plovdiv,3,2,H,,,
BUL,2003-08-30,16:00,Rodopa Smolian,Lokomotiv Sofia,2,1,H,,,
BUL,2003-08-30,16:00,Belasitsa Petrich,Vidima Rakovski,2,2,D,,,
BUL,2003-08-30,16:00,Cherno More Varna,PSFC Chernomorets,2,2,D,,,
BUL,2003-08-30,16:00,PFC Nafteks,Spartak Varna,4,1,H,,,
BUL,2003-08-30,16:00,Slavia Sofia,Marek Dupnitza,2,0,H,,,
BUL,2003-08-31,17:00,CSKA Sofia,Makedonska Slava,4,1,H,,,
BUL,2003-08-31,18:15,PFC Litex Lovech,Levski Sofia,0,0,D,,,
BUL,2003-09-12,15:00,Spartak Varna,Slavia Sofia,0,1,A,,,
BUL,2003-09-13,14:00,PSFC Chernomorets,Lokomotiv Plovdiv,0,1,A,,,
BUL,2003-09-13,15:00,Makedonska Slava,PFC Litex Lovech,1,2,A,,,
BUL,2003-09-13,15:00,Marek Dupnitza,CSKA Sofia,0,3,A,,,
BUL,2003-09-13,15:00,Botev Plovdiv,PFC Nafteks,0,3,A,,,
BUL,2003-09-13,15:00,Vidima Rakovski,Cherno More Varna,3,0,H,,,
BUL,2003-09-13,15:00,Lokomotiv Sofia,Belasitsa Petrich,5,2,H,,,
BUL,2003-09-13,17:00,Levski Sofia,Rodopa Smolian,3,0,H,,,
BUL,2003-09-19,15:00,Belasitsa Petrich,Levski Sofia,0,1,A,,,
BUL,2003-09-19,17:00,PFC Litex Lovech,Rodopa Smolian,0,0,D,,,
BUL,2003-09-20,14:00,Makedonska Slava,Marek Dupnitza,4,0,H,,,
BUL,2003-09-20,15:00,Cherno More Varna,Lokomotiv Sofia,2,2,D,,,
BUL,2003-09-20,15:00,Lokomotiv Plovdiv,Vidima Rakovski,2,0,H,,,
BUL,2003-09-20,15:00,Slavia Sofia,Botev Plovdiv,5,0,H,,,
BUL,2003-09-20,17:00,CSKA Sofia,Spartak Varna,2,0,H,,,
BUL,2003-09-21,17:00,PFC Nafteks,PSFC Chernomorets,1,1,D,,,
BUL,2003-09-26,15:00,Lokomotiv Sofia,Lokomotiv Plovdiv,0,0,D,,,
BUL,2003-09-27,15:00,Spartak Varna,Makedonska Slava,2,0,H,,,
BUL,2003-09-27,15:00,PSFC Chernomorets,Slavia Sofia,2,5,A,,,
BUL,2003-09-27,15:00,Vidima Rakovski,PFC Nafteks,1,1,D,,,
BUL,2003-09-27,15:00,Rodopa Smolian,Belasitsa Petrich,2,0,H,,,
BUL,2003-09-28,13:00,Marek Dupnitza,PFC Litex Lovech,1,2,A,,,
BUL,2003-09-28,13:00,Botev Plovdiv,CSKA Sofia,3,1,H,,,
BUL,2003-09-28,17:00,Levski Sofia,Cherno More Varna,0,0,D,,,
BUL,2003-10-03,13:00,Lokomotiv Plovdiv,Levski Sofia,3,1,H,,,
BUL,2003-10-03,14:00,Cherno More Varna,Rodopa Smolian,1,0,H,,,
BUL,2003-10-03,14:00,Slavia Sofia,Vidima Rakovski,2,0,H,,,
BUL,2003-10-03,14:00,Makedonska Slava,Botev Plovdiv,4,3,H,,,
BUL,2003-10-03,14:00,Marek Dupnitza,Spartak Varna,1,2,A,,,
BUL,2003-10-03,14:45,CSKA Sofia,PSFC Chernomorets,3,0,H,,,
BUL,2003-10-03,16:00,PFC Nafteks,Lokomotiv Sofia,1,2,A,,,
BUL,2003-10-03,16:00,PFC Litex Lovech,Belasitsa Petrich,1,0,H,,,
BUL,2003-10-17,14:00,Lokomotiv Sofia,Slavia Sofia,2,2,D,,,
BUL,2003-10-18,14:00,Botev Plovdiv,Marek Dupnitza,0,2,A,,,
BUL,2003-10-18,14:00,PSFC Chernomorets,Makedonska Slava,3,1,H,,,
BUL,2003-10-18,14:00,Rodopa Smolian,Lokomotiv Plovdiv,1,5,A,,,
BUL,2003-10-18,14:00,Belasitsa Petrich,Cherno More Varna,3,1,H,,,
BUL,2003-10-19,12:30,Vidima Rakovski,CSKA Sofia,0,1,A,,,
BUL,2003-10-19,13:00,Levski Sofia,PFC Nafteks,3,0,H,,,
BUL,2003-10-19,16:00,Spartak Varna,PFC Litex Lovech,0,1,A,,,
BUL,2003-10-24,11:00,Lokomotiv Plovdiv,Belasitsa Petrich,2,0,H,,,
BUL,2003-10-24,11:00,Marek Dupnitza,PSFC Chernomorets,1,0,H,,,
BUL,2003-10-24,11:00,Spartak Varna,Botev Plovdiv,4,2,H,,,
BUL,2003-10-24,13:00,Slavia Sofia,Levski Sofia,1,2,A,,,
BUL,2003-10-24,13:30,CSKA Sofia,Lokomotiv Sofia,3,0,H,,,
BUL,2003-10-24,14:30,PFC Litex Lovech,Cherno More Varna,2,0,H,,,
BUL,2003-10-24,16:00,PFC Nafteks,Rodopa Smolian,5,0,H,,,
BUL,2003-10-25,11:00,Makedonska Slava,Vidima Rakovski,0,0,D,,,
BUL,2003-10-31,11:00,Rodopa Smolian,Slavia Sofia,1,3,A,,,
BUL,2003-10-31,11:00,Botev Plovdiv,PFC Litex Lovech,1,1,D,,,
BUL,2003-10-31,11:00,PSFC Chernomorets,Spartak Varna,0,0,D,,,
BUL,2003-10-31,11:00,Vidima Rakovski,Marek Dupnitza,1,3,A,,,
BUL,2003-10-31,11:00,Lokomotiv Sofia,Makedonska Slava,1,0,H,,,
BUL,2003-10-31,11:00,Belasitsa Petrich,PFC Nafteks,0,3,A,,,
BUL,2003-10-31,11:00,Cherno More Varna,Lokomotiv Plovdiv,1,2,A,,,
BUL,2003-10-31,13:30,Levski Sofia,CSKA Sofia,1,1,D,,,
BUL,2003-11-07,12:30,Slavia Sofia,Belasitsa Petrich,3,0,H,,,
BUL,2003-11-08,12:30,Marek Dupnitza,Lokomotiv Sofia,2,1,H,,,
BUL,2003-11-08,12:30,Spartak Varna,Vidima Rakovski,1,2,A,,,
BUL,2003-11-08,12:30,Botev Plovdiv,PSFC Chernomorets,1,1,D,,,
BUL,2003-11-08,14:30,PFC Nafteks,Cherno More Varna,1,1,D,,,
BUL,2003-11-08,14:30,CSKA Sofia,Rodopa Smolian,1,0,H,,,
BUL,2003-11-09,12:30,Makedonska Slava,Levski Sofia,1,2,A,,,
BUL,2003-11-09,13:00,PFC Litex Lovech,Lokomotiv Plovdiv,2,1,H,,,
BUL,2003-11-21,12:30,Lokomotiv Plovdiv,PFC Nafteks,2,0,H,,,
BUL,2003-11-21,14:30,Levski Sofia,Marek Dupnitza,3,0,H,,,
BUL,2003-11-22,12:00,Belasitsa Petrich,CSKA Sofia,0,4,A,,,
BUL,2003-11-22,12:30,PSFC Chernomorets,PFC Litex Lovech,0,3,A,,,
BUL,2003-11-22,12:30,Vidima Rakovski,Botev Plovdiv,2,0,H,,,
BUL,2003-11-22,12:30,Lokomotiv Sofia,Spartak Varna,3,0,H,,,
BUL,2003-11-22,12:30,Rodopa Smolian,Makedonska Slava,1,0,H,,,
BUL,2003-11-22,12:30,Cherno More Varna,Slavia Sofia,0,3,A,,,
BUL,2003-11-29,12:00,Slavia Sofia,Lokomotiv Plovdiv,2,0,H,,,
BUL,2003-11-29,12:30,Makedonska Slava,Belasitsa Petrich,1,3,A,,,
BUL,2003-11-29,12:30,Marek Dupnitza,Rodopa Smolian,2,0,H,,,
BUL,2003-11-29,12:30,Botev Plovdiv,Lokomotiv Sofia,0,1,A,,,
BUL,2003-11-29,12:30,PSFC Chernomorets,Vidima Rakovski,3,0,H,,,
BUL,2003-11-30,12:30,Spartak Varna,Levski Sofia,0,2,A,,,
BUL,2003-11-30,13:00,PFC Litex Lovech,PFC Nafteks,1,1,D,,,
BUL,2003-11-30,14:30,CSKA Sofia,Cherno More Varna,2,0,H,,,
BUL,2003-12-06,12:00,Lokomotiv Sofia,PSFC Chernomorets,1,1,D,,,
BUL,2003-12-06,12:00,Rodopa Smolian,Spartak Varna,1,1,D,,,
BUL,2003-12-06,12:00,Belasitsa Petrich,Marek Dupnitza,2,1,H,,,
BUL,2003-12-06,12:00,Cherno More Varna,Makedonska Slava,2,0,H,,,
BUL,2003-12-06,14:30,PFC Nafteks,Slavia Sofia,0,1,A,,,
BUL,2003-12-07,12:00,Vidima Rakovski,PFC Litex Lovech,0,2,A,,,
BUL,2003-12-07,12:00,Levski Sofia,Botev Plovdiv,3,1,H,,,
BUL,2003-12-08,12:00,Lokomotiv Plovdiv,CSKA Sofia,3,1,H,,,
BUL,2004-02-13,12:30,PFC Nafteks,CSKA Sofia,3,3,D,,,
BUL,2004-02-14,12:00,Lokomotiv Plovdiv,Makedonska Slava,1,0,H,,,
BUL,2004-02-14,12:00,Cherno More Varna,Marek Dupnitza,3,0,H,,,
BUL,2004-02-14,12:00,Belasitsa Petrich,Spartak Varna,3,0,H,,,
BUL,2004-02-14,12:00,Rodopa Smolian,Botev Plovdiv,2,1,H,,,
BUL,2004-02-14,12:00,Lokomotiv Sofia,Vidima Rakovski,1,1,D,,,
BUL,2004-02-14,13:00,Levski Sofia,PSFC Chernomorets,3,0,H,,,
BUL,2004-02-14,14:30,PFC Litex Lovech,Slavia Sofia,1,0,H,,,
BUL,2004-02-20,12:30,Vidima Rakovski,Levski Sofia,0,3,A,,,
BUL,2004-02-21,12:00,Spartak Varna,Cherno More Varna,1,2,A,,,
BUL,2004-02-21,12:00,PSFC Chernomorets,Rodopa Smolian,2,1,H,,,
BUL,2004-02-21,12:00,Botev Plovdiv,Belasitsa Petrich,1,0,H,,,
BUL,2004-02-21,12:00,Marek Dupnitza,Lokomotiv Plovdiv,0,3,A,,,
BUL,2004-02-21,12:00,Makedonska Slava,PFC Nafteks,2,1,H,,,
BUL,2004-02-21,12:00,Lokomotiv Sofia,PFC Litex Lovech,0,1,A,,,
BUL,2004-02-21,14:00,CSKA Sofia,Slavia Sofia,2,1,H,,,
BUL,2004-02-28,12:00,Slavia Sofia,Makedonska Slava,1,0,H,,,
BUL,2004-02-28,12:00,Cherno More Varna,Botev Plovdiv,3,1,H,,,
BUL,2004-02-28,12:00,Belasitsa Petrich,PSFC Chernomorets,1,0,H,,,
BUL,2004-02-28,12:00,Rodopa Smolian,Vidima Rakovski,1,1,D,,,
BUL,2004-02-28,14:00,PFC Litex Lovech,CSKA Sofia,1,0,H,,,
BUL,2004-02-28,16:00,PFC Nafteks,Marek Dupnitza,5,0,H,,,
BUL,2004-02-29,12:00,Lokomotiv Plovdiv,Spartak Varna,1,0,H,,,
BUL,2004-03-05,13:00,Botev Plovdiv,Lokomotiv Plovdiv,0,0,D,,,
BUL,2004-03-06,12:30,Makedonska Slava,CSKA Sofia,0,2,A,,,
BUL,2004-03-06,13:30,Lokomotiv Sofia,Rodopa Smolian,1,0,H,,,
BUL,2004-03-06,13:30,Vidima Rakovski,Belasitsa Petrich,0,0,D,,,
BUL,2004-03-06,13:30,PSFC Chernomorets,Cherno More Varna,0,3,A,,,
BUL,2004-03-06,13:30,Marek Dupnitza,Slavia Sofia,1,2,A,,,
BUL,2004-03-07,13:00,Spartak Varna,PFC Nafteks,2,0,H,,,
BUL,2004-03-07,13:00,Levski Sofia,PFC Litex Lovech,1,1,D,,,
BUL,2004-03-11,15:00,Levski Sofia,Lokomotiv Sofia,3,0,H,,,
BUL,2004-03-13,13:30,PFC Litex Lovech,Makedonska Slava,1,0,H,,,
BUL,2004-03-13,13:30,Lokomotiv Plovdiv,PSFC Chernomorets,6,0,H,,,
BUL,2004-03-13,13:30,Slavia Sofia,Spartak Varna,4,0,H,,,
