Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CHI,2005-11-23,,CD Cobreloa,Deportes Concepción,5,0,H,,,
CHI,2005-11-25,,La Serena,Colo-Colo,1,1,D,,,
CHI,2005-11-26,,CD Cobresal,CD Huachipato,2,1,H,,,
CHI,2005-11-27,,CD Cobreloa,Universidad Católica,1,1,D,,,
CHI,2005-11-27,,Universidad de Concepción,Universidad de Chile,1,2,A,,,
CHI,2005-12-03,,Colo-Colo,La Serena,1,4,A,,,
CHI,2005-12-03,,CD Huachipato,CD Cobresal,1,1,D,,,
CHI,2005-12-04,,Universidad Católica,CD Cobreloa,2,1,H,,,
CHI,2005-12-04,,Universidad de Chile,Universidad de Concepción,0,0,D,,,
CHI,2005-12-08,,La Serena,Universidad Católica,3,3,D,,,
CHI,2005-12-08,,CD Cobresal,Universidad de Chile,2,1,H,,,
CHI,2005-12-14,,Universidad Católica,La Serena,1,0,H,,,
CHI,2005-12-14,,Universidad de Chile,CD Cobresal,4,2,H,,,
CHI,2005-12-18,,Universidad de Chile,Universidad Católica,0,1,A,,,
CHI,2005-12-22,,Universidad Católica,Universidad de Chile,1,2,A,,,
