Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CHI,2006-01-27,23:30,O'Higgins,Colo-Colo,1,3,A,,,
CHI,2006-01-28,19:00,CD Huachipato,Antofagasta,2,0,H,,,
CHI,2006-01-28,19:00,CD Palestino,Santiago Wanderers,3,0,H,,,
CHI,2006-01-28,21:00,Puerto Montt,Audax Italiano,0,3,A,,,
CHI,2006-01-28,22:05,Universidad de Chile,Unión Española,1,0,H,,,
CHI,2006-01-29,00:00,Coquimbo Unido,Universidad de Concepción,1,1,D,,,
CHI,2006-01-29,19:30,Santiago Morning,CSD Rangers,4,3,H,,,
CHI,2006-01-29,20:30,CD Cobresal,CD Cobreloa,2,4,A,,,
CHI,2006-01-30,00:00,Everton,Universidad Católica,1,0,H,,,
CHI,2006-02-03,22:05,Audax Italiano,Everton,3,0,H,,,
CHI,2006-02-04,20:30,CSD Rangers,Universidad de Chile,1,2,A,,,
CHI,2006-02-04,23:00,Universidad Católica,Puerto Montt,1,1,D,,,
CHI,2006-02-04,23:00,Santiago Wanderers,O'Higgins,0,0,D,,,
CHI,2006-02-05,18:00,CD Cobreloa,Coquimbo Unido,3,1,H,,,
CHI,2006-02-05,19:00,Antofagasta,CD Palestino,3,1,H,,,
CHI,2006-02-05,20:00,Colo-Colo,CD Huachipato,0,2,A,,,
CHI,2006-02-05,20:00,Universidad de Concepción,Santiago Morning,1,0,H,,,
CHI,2006-02-05,23:00,La Serena,CD Cobresal,1,1,D,,,
CHI,2006-02-10,22:05,Santiago Morning,CD Cobreloa,1,1,D,,,
CHI,2006-02-11,19:00,CD Huachipato,Audax Italiano,1,3,A,,,
CHI,2006-02-11,20:00,CD Palestino,Coquimbo Unido,3,1,H,,,
CHI,2006-02-11,20:00,Universidad Católica,Unión Española,2,1,H,,,
CHI,2006-02-11,21:00,Puerto Montt,CSD Rangers,4,1,H,,,
CHI,2006-02-11,22:05,O'Higgins,CD Cobresal,0,1,A,,,
CHI,2006-02-11,23:00,Everton,Antofagasta,2,0,H,,,
CHI,2006-02-11,23:00,La Serena,Colo-Colo,3,3,D,,,
CHI,2006-02-12,20:00,Universidad de Chile,Universidad de Concepción,2,1,H,,,
CHI,2006-02-17,22:05,Unión Española,CD Huachipato,1,0,H,,,
CHI,2006-02-18,20:00,Colo-Colo,Everton,5,3,H,,,
CHI,2006-02-18,22:05,Audax Italiano,O'Higgins,3,0,H,,,
CHI,2006-02-18,22:05,CSD Rangers,La Serena,1,0,H,,,
CHI,2006-02-18,23:00,Coquimbo Unido,Universidad Católica,1,1,D,,,
CHI,2006-02-19,18:15,CD Cobresal,Puerto Montt,3,2,H,,,
CHI,2006-02-19,19:00,Antofagasta,Santiago Morning,1,1,D,,,
CHI,2006-02-19,20:00,Santiago Wanderers,Universidad de Chile,0,1,A,,,
CHI,2006-02-19,20:00,Universidad de Concepción,CD Palestino,3,2,H,,,
CHI,2006-02-24,22:05,Universidad de Chile,Audax Italiano,2,2,D,,,
CHI,2006-02-25,19:00,CD Huachipato,Everton,2,0,H,,,
CHI,2006-02-25,19:00,Puerto Montt,Coquimbo Unido,0,1,A,,,
CHI,2006-02-25,20:00,Santiago Morning,CD Cobresal,1,1,D,,,
CHI,2006-02-25,22:05,O'Higgins,CD Cobreloa,0,3,A,,,
CHI,2006-02-25,23:00,La Serena,Unión Española,3,0,H,,,
CHI,2006-02-25,23:00,CD Palestino,Colo-Colo,1,4,A,,,
CHI,2006-02-26,17:30,Santiago Wanderers,CSD Rangers,1,1,D,,,
CHI,2006-02-26,20:00,Universidad Católica,Antofagasta,5,2,H,,,
CHI,2006-03-03,22:05,Audax Italiano,La Serena,3,2,H,,,
CHI,2006-03-04,20:00,CD Cobreloa,Universidad Católica,2,3,A,,,
CHI,2006-03-04,23:00,Coquimbo Unido,CD Huachipato,2,2,D,,,
CHI,2006-03-04,23:00,Colo-Colo,Santiago Wanderers,5,0,H,,,
CHI,2006-03-05,14:00,Puerto Montt,Santiago Morning,3,1,H,,,
CHI,2006-03-05,20:00,Antofagasta,O'Higgins,1,2,A,,,
CHI,2006-03-05,20:00,CD Cobresal,Universidad de Chile,3,3,D,,,
CHI,2006-03-05,20:00,Universidad de Concepción,CSD Rangers,1,3,A,,,
CHI,2006-03-05,21:00,Unión Española,CD Palestino,2,3,A,,,
CHI,2006-03-10,22:05,Santiago Morning,Audax Italiano,1,2,A,,,
CHI,2006-03-11,18:00,CD Cobresal,Everton,0,0,D,,,
CHI,2006-03-11,19:00,CD Huachipato,CD Cobreloa,4,2,H,,,
CHI,2006-03-11,22:05,O'Higgins,Universidad de Concepción,0,2,A,,,
CHI,2006-03-11,23:00,CSD Rangers,Unión Española,1,3,A,,,
CHI,2006-03-11,23:00,La Serena,Antofagasta,3,1,H,,,
CHI,2006-03-12,19:00,Universidad de Chile,Puerto Montt,2,1,H,,,
CHI,2006-03-12,19:00,Santiago Wanderers,Coquimbo Unido,2,1,H,,,
CHI,2006-03-12,21:30,CD Palestino,Universidad Católica,0,1,A,,,
CHI,2006-03-17,23:00,Universidad Católica,La Serena,2,0,H,,,
CHI,2006-03-18,18:30,CD Huachipato,Santiago Morning,3,1,H,,,
CHI,2006-03-18,21:00,Unión Española,Santiago Wanderers,1,0,H,,,
CHI,2006-03-18,21:30,Colo-Colo,CD Cobresal,3,0,H,,,
CHI,2006-03-18,23:00,Coquimbo Unido,O'Higgins,2,1,H,,,
CHI,2006-03-19,19:00,CD Cobreloa,CSD Rangers,5,1,H,,,
