Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CHI,2013-07-27,01:00,Everton,CD Palestino,0,2,A,0.0,1.0,A
CHI,2013-07-27,17:30,CD Huachipato,Santiago Wanderers,0,1,A,0.0,1.0,A
CHI,2013-07-27,20:00,Unión La Calera,CD Cobresal,1,1,D,0.0,1.0,A
CHI,2013-07-27,22:30,Universidad de Chile,CSD Rangers,0,1,A,0.0,0.0,D
CHI,2013-07-28,01:00,Antofagasta,Unión Española,1,0,H,1.0,0.0,H
CHI,2013-07-28,20:30,Audax Italiano,Colo-Colo,4,0,H,0.0,0.0,D
CHI,2013-07-28,21:00,Deportes Iquique,O'Higgins,0,1,A,0.0,0.0,D
CHI,2013-07-28,21:00,CD Cobreloa,Universidad de Concepción,2,0,H,1.0,0.0,H
CHI,2013-07-28,23:00,Universidad Católica,Deportivo Ñublense,3,0,H,2.0,0.0,H
CHI,2013-08-03,01:00,O'Higgins,Antofagasta,2,1,H,1.0,1.0,D
CHI,2013-08-03,17:30,Unión Española,Universidad Católica,0,1,A,0.0,0.0,D
CHI,2013-08-03,20:00,Santiago Wanderers,Audax Italiano,0,0,D,0.0,0.0,D
CHI,2013-08-03,22:30,CD Palestino,Universidad de Chile,1,1,D,1.0,1.0,D
CHI,2013-08-04,01:00,CSD Rangers,CD Huachipato,1,0,H,0.0,0.0,D
CHI,2013-08-04,20:30,CD Cobresal,Deportes Iquique,0,0,D,0.0,0.0,D
CHI,2013-08-04,20:30,Deportivo Ñublense,CD Cobreloa,1,1,D,0.0,1.0,A
CHI,2013-08-04,23:00,Colo-Colo,Everton,0,1,A,0.0,0.0,D
CHI,2013-08-10,01:00,Universidad de Chile,CD Cobresal,3,0,H,2.0,0.0,H
CHI,2013-08-10,17:00,Universidad Católica,Universidad de Concepción,1,1,D,0.0,0.0,D
CHI,2013-08-10,20:00,CD Palestino,Santiago Wanderers,2,2,D,1.0,0.0,H
CHI,2013-08-10,22:30,Everton,CSD Rangers,3,1,H,1.0,0.0,H
CHI,2013-08-11,01:00,Audax Italiano,O'Higgins,1,1,D,1.0,0.0,H
CHI,2013-08-11,20:30,Antofagasta,Colo-Colo,1,1,D,0.0,0.0,D
CHI,2013-08-11,21:00,Deportes Iquique,Unión Española,2,1,H,1.0,1.0,D
CHI,2013-08-11,21:00,Unión La Calera,Deportivo Ñublense,2,1,H,1.0,0.0,H
CHI,2013-08-11,23:00,CD Huachipato,CD Cobreloa,0,0,D,0.0,0.0,D
CHI,2013-08-17,01:00,O'Higgins,Everton,1,1,D,0.0,0.0,D
CHI,2013-08-17,17:30,Unión Española,CD Huachipato,0,2,A,0.0,0.0,D
CHI,2013-08-17,20:30,Universidad de Concepción,CD Palestino,2,0,H,0.0,0.0,D
CHI,2013-08-17,23:00,Universidad Católica,Audax Italiano,1,1,D,0.0,1.0,A
CHI,2013-08-18,00:30,CD Cobreloa,Santiago Wanderers,2,1,H,1.0,0.0,H
CHI,2013-08-18,01:30,CSD Rangers,Unión La Calera,2,2,D,1.0,1.0,D
CHI,2013-08-18,20:30,Deportivo Ñublense,Universidad de Chile,2,2,D,0.0,0.0,D
CHI,2013-08-18,21:00,CD Cobresal,Antofagasta,2,0,H,1.0,0.0,H
CHI,2013-08-18,23:00,Colo-Colo,Deportes Iquique,4,1,H,3.0,1.0,H
CHI,2013-08-24,01:00,Deportivo Ñublense,Unión Española,0,2,A,0.0,0.0,D
CHI,2013-08-24,20:30,Santiago Wanderers,O'Higgins,0,3,A,,,
CHI,2013-08-24,23:00,CD Palestino,Universidad Católica,3,6,A,1.0,3.0,A
CHI,2013-08-25,01:30,Audax Italiano,CD Cobreloa,1,1,D,1.0,0.0,H
CHI,2013-08-25,17:00,Everton,Universidad de Concepción,2,3,A,1.0,1.0,D
CHI,2013-08-25,20:00,CD Huachipato,Colo-Colo,0,0,D,0.0,0.0,D
CHI,2013-08-25,21:00,CSD Rangers,CD Cobresal,1,2,A,0.0,1.0,A
CHI,2013-08-25,21:00,Deportes Iquique,Unión La Calera,2,1,H,1.0,0.0,H
CHI,2013-08-25,22:30,Universidad de Chile,Antofagasta,5,0,H,4.0,0.0,H
CHI,2013-08-31,01:00,Antofagasta,Everton,2,0,H,1.0,0.0,H
CHI,2013-08-31,17:30,Universidad de Concepción,Deportivo Ñublense,2,2,D,1.0,1.0,D
CHI,2013-08-31,20:30,Unión La Calera,Audax Italiano,1,1,D,0.0,0.0,D
CHI,2013-08-31,23:00,Universidad Católica,CD Cobresal,3,0,H,0.0,0.0,D
CHI,2013-09-01,01:30,O'Higgins,CD Palestino,0,1,A,0.0,1.0,A
CHI,2013-09-01,21:00,Colo-Colo,Unión Española,0,2,A,0.0,1.0,A
CHI,2013-09-01,21:00,CD Cobreloa,CSD Rangers,2,1,H,1.0,1.0,D
CHI,2013-09-01,21:00,Deportes Iquique,CD Huachipato,1,1,D,1.0,0.0,H
CHI,2013-09-01,23:15,Universidad de Chile,Santiago Wanderers,2,2,D,0.0,0.0,D
CHI,2013-09-04,20:30,Universidad de Concepción,Unión La Calera,1,1,D,1.0,0.0,H
CHI,2013-09-14,00:00,Audax Italiano,Antofagasta,3,4,A,2.0,3.0,A
CHI,2013-09-14,16:30,CD Palestino,Unión La Calera,1,1,D,0.0,0.0,D
CHI,2013-09-14,19:30,CSD Rangers,Colo-Colo,0,3,A,0.0,2.0,A
CHI,2013-09-14,20:00,Santiago Wanderers,Deportes Iquique,0,2,A,0.0,1.0,A
CHI,2013-09-14,22:00,Unión Española,CD Cobreloa,0,1,A,0.0,1.0,A
CHI,2013-09-15,00:30,O'Higgins,Deportivo Ñublense,1,0,H,1.0,0.0,H
CHI,2013-09-15,19:30,Everton,Universidad de Chile,2,1,H,1.0,1.0,D
CHI,2013-09-15,20:00,CD Cobresal,Universidad de Concepción,1,0,H,1.0,0.0,H
CHI,2013-09-15,22:00,CD Huachipato,Universidad Católica,0,4,A,0.0,0.0,D
CHI,2013-09-20,20:00,Everton,Unión Española,1,2,A,0.0,1.0,A
CHI,2013-09-21,16:30,Universidad de Concepción,CSD Rangers,2,1,H,0.0,0.0,D
CHI,2013-09-21,19:00,Unión La Calera,Santiago Wanderers,1,3,A,1.0,1.0,D
CHI,2013-09-21,20:00,CD Cobreloa,CD Cobresal,2,0,H,1.0,0.0,H
CHI,2013-09-21,21:30,Colo-Colo,CD Palestino,0,1,A,0.0,0.0,D
CHI,2013-09-22,00:00,Universidad Católica,O'Higgins,1,2,A,0.0,2.0,A
CHI,2013-09-22,20:00,Antofagasta,Deportes Iquique,1,2,A,1.0,2.0,A
CHI,2013-09-22,20:00,Deportivo Ñublense,CD Huachipato,3,1,H,1.0,0.0,H
CHI,2013-09-22,22:30,Universidad de Chile,Audax Italiano,2,0,H,1.0,0.0,H
CHI,2013-09-28,00:00,O'Higgins,CD Huachipato,1,0,H,0.0,0.0,D
CHI,2013-09-28,16:30,CD Palestino,CD Cobreloa,2,0,H,1.0,0.0,H
CHI,2013-09-28,19:30,CD Cobresal,Colo-Colo,3,1,H,0.0,1.0,A
CHI,2013-09-28,22:00,Unión La Calera,Antofagasta,1,1,D,1.0,0.0,H
CHI,2013-09-29,19:30,Universidad de Concepción,Audax Italiano,2,1,H,0.0,1.0,A
CHI,2013-09-29,20:00,Santiago Wanderers,Everton,3,0,H,2.0,0.0,H
CHI,2013-09-29,20:00,CSD Rangers,Deportivo Ñublense,0,3,A,0.0,1.0,A
CHI,2013-09-29,22:30,Unión Española,Universidad de Chile,0,2,A,0.0,1.0,A
CHI,2013-09-30,01:00,Deportes Iquique,Universidad Católica,2,2,D,0.0,2.0,A
CHI,2013-10-05,00:00,CD Huachipato,CD Palestino,0,2,A,0.0,0.0,D
CHI,2013-10-05,16:30,Deportivo Ñublense,Santiago Wanderers,2,3,A,1.0,3.0,A
CHI,2013-10-05,20:00,Everton,CD Cobresal,0,1,A,0.0,0.0,D
CHI,2013-10-05,22:30,Universidad de Chile,O'Higgins,1,1,D,0.0,0.0,D
CHI,2013-10-06,01:00,Audax Italiano,Unión Española,0,2,A,0.0,1.0,A
CHI,2013-10-06,20:00,Universidad Católica,CSD Rangers,5,1,H,2.0,0.0,H
CHI,2013-10-06,20:00,Antofagasta,Universidad de Concepción,1,1,D,0.0,0.0,D
CHI,2013-10-06,22:00,CD Cobreloa,Deportes Iquique,2,3,A,1.0,1.0,D
CHI,2013-10-06,22:30,Colo-Colo,Unión La Calera,2,0,H,2.0,0.0,H
CHI,2013-10-19,00:00,Audax Italiano,Deportivo Ñublense,0,2,A,0.0,1.0,A
CHI,2013-10-19,16:30,Unión Española,CD Palestino,2,1,H,0.0,0.0,D
CHI,2013-10-19,21:00,Universidad de Concepción,O'Higgins,0,1,A,0.0,1.0,A
CHI,2013-10-19,23:30,Universidad Católica,Santiago Wanderers,2,0,H,0.0,0.0,D
CHI,2013-10-20,02:00,Deportes Iquique,Universidad de Chile,0,3,A,0.0,1.0,A
CHI,2013-10-20,20:00,Unión La Calera,Everton,2,0,H,1.0,0.0,H
