Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CHI,2014-01-03,21:30,O'Higgins,Deportes Iquique,1,0,H,0,0,D
CHI,2014-01-04,00:00,Santiago Wanderers,CD Huachipato,4,2,H,3,2,H
CHI,2014-01-04,19:30,CD Palestino,Everton,4,0,H,2,0,H
CHI,2014-01-04,21:30,Universidad de Concepción,CD Cobreloa,1,0,H,0,0,D
CHI,2014-01-04,21:45,CSD Rangers,Universidad de Chile,0,1,A,0,0,D
CHI,2014-01-05,00:00,Unión Española,Antofagasta,1,1,D,1,1,D
CHI,2014-01-05,19:30,Deportivo Ñublense,Universidad Católica,1,2,A,0,2,A
CHI,2014-01-05,19:30,CD Cobresal,Unión La Calera,1,5,A,0,1,A
CHI,2014-01-05,22:00,Colo-Colo,Audax Italiano,2,1,H,0,1,A
CHI,2014-01-09,23:00,Audax Italiano,Santiago Wanderers,2,0,H,1,0,H
CHI,2014-01-10,23:00,Universidad de Chile,CD Palestino,0,1,A,0,0,D
CHI,2014-01-10,23:00,CD Huachipato,CSD Rangers,3,2,H,2,0,H
CHI,2014-01-11,01:00,Deportes Iquique,CD Cobresal,2,0,H,2,0,H
CHI,2014-01-11,20:00,Unión La Calera,Universidad de Concepción,0,2,A,0,1,A
CHI,2014-01-11,22:30,Universidad Católica,Unión Española,1,0,H,0,0,D
CHI,2014-01-12,01:00,Antofagasta,O'Higgins,0,0,D,0,0,D
CHI,2014-01-12,19:00,CD Cobreloa,Deportivo Ñublense,3,1,H,2,1,H
CHI,2014-01-12,21:30,Everton,Colo-Colo,0,2,A,0,2,A
CHI,2014-01-13,23:00,Santiago Wanderers,CD Palestino,2,2,D,0,1,A
CHI,2014-01-14,18:30,CD Cobresal,Universidad de Chile,2,1,H,0,0,D
CHI,2014-01-14,21:00,Universidad de Concepción,Universidad Católica,2,1,H,0,1,A
CHI,2014-01-14,23:30,O'Higgins,Audax Italiano,1,1,D,0,0,D
CHI,2014-01-15,19:00,CSD Rangers,Everton,3,0,H,2,0,H
CHI,2014-01-15,19:00,CD Cobreloa,CD Huachipato,1,1,D,1,1,D
CHI,2014-01-15,21:30,Unión Española,Deportes Iquique,1,1,D,1,1,D
CHI,2014-01-15,23:00,Deportivo Ñublense,Unión La Calera,2,0,H,0,0,D
CHI,2014-01-16,00:00,Colo-Colo,Antofagasta,1,1,D,1,0,H
CHI,2014-01-24,21:30,CD Palestino,Universidad de Concepción,1,0,H,0,0,D
CHI,2014-01-25,20:00,CD Huachipato,Unión Española,1,2,A,0,0,D
CHI,2014-01-25,22:30,Audax Italiano,Universidad Católica,1,1,D,0,1,A
CHI,2014-01-25,22:30,Antofagasta,CD Cobresal,1,0,H,0,0,D
CHI,2014-01-25,22:30,Unión La Calera,CSD Rangers,3,1,H,2,0,H
CHI,2014-01-26,01:00,Deportes Iquique,Colo-Colo,2,5,A,0,2,A
CHI,2014-01-26,20:00,Everton,O'Higgins,0,2,A,0,0,D
CHI,2014-01-26,22:30,Universidad de Chile,Deportivo Ñublense,5,0,H,1,0,H
CHI,2014-01-27,23:00,Santiago Wanderers,CD Cobreloa,2,2,D,2,1,H
CHI,2014-01-31,21:30,Universidad de Concepción,Everton,2,3,A,0,2,A
CHI,2014-02-01,00:00,Universidad Católica,CD Palestino,5,3,H,2,2,D
