Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
COL,2012-07-28,02:00,Deportes Tolima,Patriotas FC,2,1,H,1,1,D
COL,2012-07-28,21:30,Cúcuta Deportivo,Envigado FC,2,1,H,0,0,D
COL,2012-07-28,23:45,Real Cartagena,Once Caldas,1,2,A,0,1,A
COL,2012-07-29,00:10,Deportivo Cali,Atlético Nacional,3,1,H,1,0,H
COL,2012-07-29,02:00,Independiente Medellín,Deportivo Pasto,1,0,H,1,0,H
COL,2012-07-29,19:30,Boyacá Chicó,Atlético Huila,2,0,H,0,0,D
COL,2012-07-29,21:30,Itagüi Ditaires,La Equidad,3,0,H,2,0,H
COL,2012-07-29,23:30,Deportes Quindío,Atlético Junior,0,0,D,0,0,D
COL,2012-07-30,02:00,Millonarios,Santa Fe,2,0,H,2,0,H
COL,2012-08-04,01:45,Deportivo Pasto,Deportes Quindío,3,0,H,2,0,H
COL,2012-08-04,21:15,Patriotas FC,Cúcuta Deportivo,1,1,D,0,0,D
COL,2012-08-04,23:30,Atlético Junior,Real Cartagena,1,0,H,0,0,D
COL,2012-08-04,23:30,Once Caldas,Deportivo Cali,1,0,H,0,0,D
COL,2012-08-05,01:45,Envigado FC,Independiente Medellín,1,0,H,0,0,D
COL,2012-08-05,21:15,Atlético Huila,Millonarios,0,4,A,0,2,A
COL,2012-08-05,23:30,La Equidad,Boyacá Chicó,1,1,D,1,0,H
COL,2012-08-05,23:30,Santa Fe,Deportes Tolima,2,1,H,0,1,A
COL,2012-08-06,01:45,Atlético Nacional,Itagüi Ditaires,1,1,D,1,1,D
COL,2012-08-11,01:45,Deportes Quindío,Envigado FC,1,0,H,0,0,D
COL,2012-08-11,21:15,Itagüi Ditaires,Once Caldas,1,0,H,0,0,D
COL,2012-08-11,23:30,Deportes Tolima,Atlético Huila,1,1,D,1,1,D
COL,2012-08-11,23:30,Millonarios,La Equidad,2,0,H,0,0,D
COL,2012-08-12,01:45,Atlético Junior,Deportivo Pasto,2,0,H,0,0,D
COL,2012-08-12,19:30,Boyacá Chicó,Atlético Nacional,1,1,D,1,1,D
COL,2012-08-12,23:30,Deportivo Cali,Real Cartagena,2,0,H,1,0,H
