Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
COL,2015-11-28,22:30,Once Caldas,Deportes Tolima,1,0,H,1,0,H
COL,2015-11-29,00:45,Santa Fe,Atlético Junior,2,1,H,1,1,D
COL,2015-11-29,22:00,Deportivo Cali,Atlético Nacional,0,0,D,0,0,D
COL,2015-11-30,00:30,Alianza Petrolera,Independiente Medellín,0,2,A,0,2,A
COL,2015-12-05,22:30,Deportes Tolima,Once Caldas,3,1,H,1,1,D
COL,2015-12-06,01:00,Atlético Nacional,Deportivo Cali,3,1,H,2,1,H
COL,2015-12-06,22:00,Atlético Junior,Santa Fe,3,1,H,2,1,H
COL,2015-12-07,00:30,Independiente Medellín,Alianza Petrolera,4,0,H,1,0,H
COL,2015-12-10,23:30,Deportes Tolima,Atlético Junior,0,1,A,0,0,D
COL,2015-12-11,01:30,Independiente Medellín,Atlético Nacional,1,0,H,0,0,D
COL,2015-12-13,22:00,Atlético Nacional,Independiente Medellín,2,0,H,2,0,H
COL,2015-12-14,00:30,Atlético Junior,Deportes Tolima,1,0,H,0,0,D
COL,2015-12-17,00:00,Atlético Junior,Atlético Nacional,2,1,H,2,0,H
COL,2015-12-20,23:00,Atlético Nacional,Atlético Junior,1,0,H,1,0,H
