Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ECU,2007-02-10,,Deportivo Cuenca,LDU Quito,0,0,D,,,
ECU,2007-02-10,,SC Imbabura,Deportivo Azogues,1,1,D,,,
ECU,2007-02-10,,El Nacional,CS Emelec,4,2,H,,,
ECU,2007-02-11,,CD Olmedo,Deportivo Quito,2,0,H,,,
ECU,2007-02-11,,Barcelona SC,Macará,1,2,A,,,
ECU,2007-02-14,,Macará,SC Imbabura,0,2,A,,,
ECU,2007-02-14,,Deportivo Azogues,El Nacional,2,1,H,,,
ECU,2007-02-14,,Deportivo Quito,Deportivo Cuenca,2,1,H,,,
ECU,2007-02-14,,LDU Quito,Barcelona SC,2,1,H,,,
ECU,2007-02-17,,CD Olmedo,Macará,2,1,H,,,
ECU,2007-02-17,,Deportivo Cuenca,CS Emelec,1,0,H,,,
ECU,2007-02-17,,El Nacional,SC Imbabura,0,1,A,,,
ECU,2007-02-18,,LDU Quito,Deportivo Quito,1,1,D,,,
ECU,2007-02-18,,Barcelona SC,Deportivo Azogues,2,2,D,,,
ECU,2007-02-21,,CS Emelec,CD Olmedo,1,1,D,,,
ECU,2007-02-24,,Deportivo Quito,El Nacional,2,2,D,,,
ECU,2007-02-25,,SC Imbabura,Barcelona SC,1,2,A,,,
ECU,2007-02-25,,Macará,Deportivo Cuenca,2,1,H,,,
ECU,2007-02-25,,Deportivo Azogues,CD Olmedo,0,0,D,,,
ECU,2007-02-25,,CS Emelec,LDU Quito,4,3,H,,,
ECU,2007-03-02,,Deportivo Cuenca,Deportivo Azogues,3,1,H,,,
ECU,2007-03-02,,Barcelona SC,El Nacional,1,0,H,,,
ECU,2007-03-03,,CD Olmedo,SC Imbabura,1,0,H,,,
ECU,2007-03-03,,LDU Quito,Macará,2,1,H,,,
ECU,2007-03-04,,Deportivo Quito,CS Emelec,2,0,H,,,
ECU,2007-03-09,,Macará,Deportivo Quito,2,3,A,,,
ECU,2007-03-10,,Deportivo Azogues,LDU Quito,2,1,H,,,
ECU,2007-03-11,,SC Imbabura,Deportivo Cuenca,1,2,A,,,
ECU,2007-03-11,,El Nacional,CD Olmedo,1,2,A,,,
ECU,2007-03-11,,Barcelona SC,CS Emelec,0,0,D,,,
ECU,2007-03-16,,Deportivo Cuenca,El Nacional,0,2,A,,,
ECU,2007-03-17,,Deportivo Quito,Deportivo Azogues,0,1,A,,,
ECU,2007-03-18,,CD Olmedo,Barcelona SC,4,1,H,,,
ECU,2007-03-18,,LDU Quito,SC Imbabura,4,1,H,,,
ECU,2007-03-18,,CS Emelec,Macará,0,0,D,,,
ECU,2007-03-30,,Deportivo Azogues,CS Emelec,1,2,A,,,
ECU,2007-03-31,,El Nacional,Macará,3,0,H,,,
ECU,2007-04-01,,SC Imbabura,Deportivo Quito,1,2,A,,,
ECU,2007-04-01,,Barcelona SC,Deportivo Cuenca,1,1,D,,,
ECU,2007-04-06,,Macará,Deportivo Azogues,2,4,A,,,
ECU,2007-04-07,,CS Emelec,SC Imbabura,1,1,D,,,
ECU,2007-04-08,,Deportivo Cuenca,CD Olmedo,1,0,H,,,
ECU,2007-04-08,,Deportivo Quito,Barcelona SC,0,0,D,,,
ECU,2007-04-08,,LDU Quito,El Nacional,3,3,D,,,
ECU,2007-04-13,,CD Olmedo,Deportivo Cuenca,0,3,A,,,
ECU,2007-04-13,,El Nacional,LDU Quito,3,1,H,,,
ECU,2007-04-14,,Barcelona SC,Deportivo Quito,3,1,H,,,
ECU,2007-04-14,,Deportivo Azogues,Macará,3,1,H,,,
ECU,2007-04-14,,SC Imbabura,CS Emelec,2,1,H,,,
ECU,2007-04-18,,CD Olmedo,LDU Quito,1,0,H,,,
ECU,2007-04-20,,Deportivo Cuenca,Barcelona SC,1,0,H,,,
ECU,2007-04-22,,LDU Quito,CD Olmedo,1,3,A,,,
ECU,2007-04-22,,Deportivo Quito,SC Imbabura,2,3,A,,,
ECU,2007-04-22,,Macará,El Nacional,3,2,H,,,
ECU,2007-04-25,,CS Emelec,Deportivo Azogues,1,2,A,,,
ECU,2007-04-29,,SC Imbabura,LDU Quito,1,6,A,,,
ECU,2007-04-29,,Macará,CS Emelec,3,1,H,,,
ECU,2007-04-29,,Deportivo Azogues,Deportivo Quito,1,0,H,,,
ECU,2007-04-29,,El Nacional,Deportivo Cuenca,2,1,H,,,
ECU,2007-04-29,,Barcelona SC,CD Olmedo,1,0,H,,,
ECU,2007-05-04,,Deportivo Cuenca,SC Imbabura,4,0,H,,,
ECU,2007-05-06,,CD Olmedo,El Nacional,2,1,H,,,
ECU,2007-05-06,,CS Emelec,Barcelona SC,1,1,D,,,
ECU,2007-05-06,,Deportivo Quito,Macará,1,0,H,,,
ECU,2007-05-06,,LDU Quito,Deportivo Azogues,2,0,H,,,
ECU,2007-05-12,,SC Imbabura,CD Olmedo,0,2,A,,,
ECU,2007-05-12,,Macará,LDU Quito,1,2,A,,,
ECU,2007-05-12,,Deportivo Azogues,Deportivo Cuenca,0,2,A,,,
ECU,2007-05-13,,El Nacional,Barcelona SC,3,1,H,,,
ECU,2007-05-13,,CS Emelec,Deportivo Quito,1,1,D,,,
ECU,2007-05-18,,Deportivo Cuenca,Macará,2,1,H,,,
ECU,2007-05-19,,El Nacional,Deportivo Quito,3,1,H,,,
ECU,2007-05-20,,CD Olmedo,Deportivo Azogues,2,1,H,,,
ECU,2007-05-20,,LDU Quito,CS Emelec,1,0,H,,,
ECU,2007-05-20,,Barcelona SC,SC Imbabura,1,2,A,,,
ECU,2007-05-27,,CS Emelec,Deportivo Cuenca,3,1,H,,,
ECU,2007-05-27,,Macará,CD Olmedo,0,0,D,,,
ECU,2007-05-27,,Deportivo Quito,LDU Quito,2,2,D,,,
ECU,2007-05-27,,Deportivo Azogues,Barcelona SC,3,1,H,,,
ECU,2007-05-27,,SC Imbabura,El Nacional,0,0,D,,,
ECU,2007-06-10,,SC Imbabura,Macará,2,2,D,,,
ECU,2007-06-10,,CD Olmedo,CS Emelec,3,1,H,,,
ECU,2007-06-10,,Deportivo Cuenca,Deportivo Quito,2,0,H,,,
ECU,2007-06-10,,El Nacional,Deportivo Azogues,4,1,H,,,
ECU,2007-06-10,,Barcelona SC,LDU Quito,2,1,H,,,
ECU,2007-06-13,,CS Emelec,El Nacional,4,3,H,,,
ECU,2007-06-13,,LDU Quito,Deportivo Cuenca,4,0,H,,,
ECU,2007-06-13,,Macará,Barcelona SC,4,0,H,,,
ECU,2007-06-13,,Deportivo Azogues,SC Imbabura,1,1,D,,,
ECU,2007-06-13,,Deportivo Quito,CD Olmedo,1,1,D,,,
