Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GUA,2011-01-15,21:00,Universidad SC,CSD Comunicaciones,0,1,A,0,0,D
GUA,2011-01-16,02:00,Deportivo Suchitepéquez,Deportivo Marquense,1,1,D,0,0,D
GUA,2011-01-16,02:00,Deportivo Xinabajul,Xelaju MC,1,2,A,1,0,H
GUA,2011-01-16,17:00,Deportivo Mictlán,Peñarol La Mesilla,2,0,H,1,0,H
GUA,2011-01-16,17:00,CSD Municipal,Deportivo Malacateco,2,2,D,0,1,A
GUA,2011-01-16,18:00,Deportivo Heredia,Juventud Retalteca,0,0,D,0,0,D
GUA,2011-01-22,18:00,Deportivo Marquense,Deportivo Heredia,0,2,A,0,1,A
GUA,2011-01-22,22:00,CSD Comunicaciones,Deportivo Mictlán,1,2,A,0,1,A
GUA,2011-01-23,02:00,Xelaju MC,CSD Municipal,3,0,H,2,0,H
GUA,2011-01-23,18:00,Peñarol La Mesilla,Deportivo Suchitepéquez,2,1,H,1,0,H
GUA,2011-01-23,21:00,Deportivo Malacateco,Universidad SC,1,0,H,1,0,H
GUA,2011-01-26,19:35,Universidad SC,Deportivo Mictlán,1,1,D,1,0,H
GUA,2011-01-26,21:00,Deportivo Heredia,Peñarol La Mesilla,3,1,H,3,0,H
GUA,2011-01-27,02:00,CSD Municipal,Juventud Retalteca,2,1,H,1,0,H
GUA,2011-01-27,02:00,Deportivo Suchitepéquez,CSD Comunicaciones,2,1,H,1,0,H
GUA,2011-01-27,02:00,Xelaju MC,Deportivo Malacateco,1,0,H,0,0,D
GUA,2011-01-27,02:00,Deportivo Xinabajul,Deportivo Marquense,0,2,A,0,1,A
GUA,2011-01-29,18:00,Deportivo Marquense,CSD Municipal,1,1,D,0,1,A
GUA,2011-01-29,22:00,CSD Comunicaciones,Deportivo Heredia,2,4,A,1,4,A
GUA,2011-01-30,17:00,Juventud Retalteca,Xelaju MC,4,0,H,2,0,H
GUA,2011-01-30,17:00,Deportivo Mictlán,Deportivo Malacateco,2,1,H,2,0,H
GUA,2011-01-30,18:00,Peñarol La Mesilla,Deportivo Xinabajul,2,0,H,1,0,H
GUA,2011-01-30,21:35,Universidad SC,Deportivo Suchitepéquez,0,0,D,0,0,D
GUA,2011-02-02,21:00,Deportivo Heredia,Universidad SC,1,1,D,0,0,D
GUA,2011-02-02,21:00,Deportivo Malacateco,Juventud Retalteca,1,0,H,0,0,D
GUA,2011-02-03,02:00,CSD Municipal,Peñarol La Mesilla,1,0,H,0,0,D
GUA,2011-02-03,02:00,Deportivo Suchitepéquez,Deportivo Mictlán,2,1,H,1,1,D
GUA,2011-02-03,02:00,Xelaju MC,Deportivo Marquense,2,2,D,2,0,H
GUA,2011-02-03,02:00,Deportivo Xinabajul,CSD Comunicaciones,1,0,H,0,0,D
GUA,2011-02-05,18:00,Deportivo Marquense,Juventud Retalteca,1,0,H,0,0,D
GUA,2011-02-05,22:00,CSD Comunicaciones,CSD Municipal,0,1,A,0,1,A
GUA,2011-02-06,02:00,Deportivo Suchitepéquez,Deportivo Malacateco,2,1,H,0,1,A
GUA,2011-02-06,17:00,Deportivo Mictlán,Deportivo Heredia,1,0,H,0,0,D
GUA,2011-02-06,18:00,Peñarol La Mesilla,Xelaju MC,1,0,H,0,0,D
GUA,2011-02-06,21:35,Universidad SC,Deportivo Xinabajul,4,0,H,1,0,H
GUA,2011-02-09,18:30,Juventud Retalteca,Deportivo Xinabajul,3,1,H,0,1,A
GUA,2011-02-12,21:00,Deportivo Malacateco,Deportivo Marquense,2,1,H,1,1,D
GUA,2011-02-13,02:00,Xelaju MC,CSD Comunicaciones,2,2,D,1,1,D
GUA,2011-02-13,02:00,Deportivo Xinabajul,Deportivo Mictlán,1,0,H,1,0,H
GUA,2011-02-13,17:00,Juventud Retalteca,Peñarol La Mesilla,2,1,H,0,0,D
GUA,2011-02-13,17:00,CSD Municipal,Universidad SC,0,1,A,0,1,A
GUA,2011-02-13,18:00,Deportivo Heredia,Deportivo Suchitepéquez,1,0,H,0,0,D
GUA,2011-02-16,19:35,Universidad SC,Xelaju MC,1,0,H,1,0,H
GUA,2011-02-16,21:00,Deportivo Heredia,Deportivo Malacateco,2,0,H,2,0,H
GUA,2011-02-16,21:00,Peñarol La Mesilla,Deportivo Marquense,3,1,H,1,1,D
GUA,2011-02-17,01:00,CSD Comunicaciones,Juventud Retalteca,2,0,H,0,0,D
GUA,2011-02-17,02:00,Deportivo Mictlán,CSD Municipal,2,1,H,0,0,D
GUA,2011-02-17,02:00,Deportivo Suchitepéquez,Deportivo Xinabajul,2,0,H,2,0,H
GUA,2011-02-19,18:00,Deportivo Marquense,CSD Comunicaciones,1,1,D,1,0,H
GUA,2011-02-20,02:00,Xelaju MC,Deportivo Mictlán,3,0,H,0,0,D
GUA,2011-02-20,02:00,Deportivo Xinabajul,Deportivo Heredia,1,0,H,1,0,H
GUA,2011-02-20,17:00,Juventud Retalteca,Universidad SC,2,0,H,1,0,H
GUA,2011-02-20,17:00,CSD Municipal,Deportivo Suchitepéquez,0,0,D,0,0,D
GUA,2011-02-20,21:00,Deportivo Malacateco,Peñarol La Mesilla,4,1,H,3,0,H
GUA,2011-02-23,19:35,Universidad SC,Deportivo Marquense,0,1,A,0,0,D
GUA,2011-02-23,21:00,Deportivo Heredia,CSD Municipal,1,0,H,1,0,H
GUA,2011-02-24,01:00,CSD Comunicaciones,Peñarol La Mesilla,3,0,H,1,0,H
GUA,2011-02-24,02:00,Deportivo Mictlán,Juventud Retalteca,1,0,H,1,0,H
GUA,2011-02-24,02:00,Deportivo Suchitepéquez,Xelaju MC,0,2,A,0,2,A
GUA,2011-02-24,02:00,Deportivo Xinabajul,Deportivo Malacateco,2,2,D,0,1,A
GUA,2011-02-26,18:00,Deportivo Marquense,Deportivo Mictlán,0,2,A,0,0,D
GUA,2011-02-27,00:00,Xelaju MC,Deportivo Heredia,1,0,H,0,0,D
GUA,2011-02-27,17:00,Juventud Retalteca,Deportivo Suchitepéquez,1,0,H,0,0,D
GUA,2011-02-27,17:00,CSD Municipal,Deportivo Xinabajul,4,0,H,2,0,H
GUA,2011-02-27,18:00,Peñarol La Mesilla,Universidad SC,4,1,H,2,1,H
GUA,2011-02-27,21:00,Deportivo Malacateco,CSD Comunicaciones,1,3,A,0,1,A
GUA,2011-03-05,18:00,Deportivo Marquense,Deportivo Suchitepéquez,3,0,H,2,0,H
GUA,2011-03-06,00:00,CSD Comunicaciones,Universidad SC,4,1,H,1,1,D
GUA,2011-03-06,02:00,Xelaju MC,Deportivo Xinabajul,1,1,D,1,0,H
GUA,2011-03-06,17:00,Juventud Retalteca,Deportivo Heredia,1,4,A,0,1,A
GUA,2011-03-06,18:00,Peñarol La Mesilla,Deportivo Mictlán,2,0,H,1,0,H
GUA,2011-03-06,21:00,Deportivo Malacateco,CSD Municipal,1,0,H,1,0,H
GUA,2011-03-09,18:30,CSD Municipal,Xelaju MC,4,0,H,2,0,H
GUA,2011-03-09,19:35,Universidad SC,Deportivo Malacateco,2,0,H,1,0,H
GUA,2011-03-09,21:00,Deportivo Heredia,Deportivo Marquense,2,1,H,2,0,H
GUA,2011-03-10,02:00,Deportivo Mictlán,CSD Comunicaciones,1,1,D,1,1,D
GUA,2011-03-10,02:00,Deportivo Suchitepéquez,Peñarol La Mesilla,4,3,H,3,0,H
GUA,2011-03-10,02:00,Deportivo Xinabajul,Juventud Retalteca,0,0,D,0,0,D
GUA,2011-03-12,18:00,Deportivo Marquense,Deportivo Xinabajul,1,0,H,1,0,H
