Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GUA,2015-08-01,23:00,Comunicaciones,Deportivo Petapa,0,2,A,0.0,1.0,A
GUA,2015-08-02,03:00,Deportivo Mictlán,CSD Municipal,1,0,H,1.0,0.0,H
GUA,2015-08-02,18:30,Antigua GFC,Deportivo Suchitepéquez,1,0,H,1.0,0.0,H
GUA,2015-08-02,21:30,Deportivo Guastatoya,Deportivo Malacateco,4,1,H,1.0,0.0,H
GUA,2015-08-02,22:00,Cobán Imperial,Xelaju MC,0,0,D,0.0,0.0,D
GUA,2015-08-02,23:00,Deportivo Marquense,Universidad SC,2,1,H,1.0,1.0,D
GUA,2015-08-09,03:00,Deportivo Petapa,Antigua GFC,0,2,A,0.0,1.0,A
GUA,2015-08-09,03:00,Xelaju MC,Deportivo Mictlán,1,0,H,0.0,0.0,D
GUA,2015-08-09,18:00,Deportivo Suchitepéquez,Deportivo Guastatoya,1,0,H,0.0,0.0,D
GUA,2015-08-09,18:00,Deportivo Malacateco,Comunicaciones,2,1,H,1.0,0.0,H
GUA,2015-08-09,18:00,CSD Municipal,Deportivo Marquense,3,1,H,0.0,1.0,A
GUA,2015-08-09,18:05,Universidad SC,Cobán Imperial,1,2,A,0.0,2.0,A
GUA,2015-08-12,20:00,Deportivo Malacateco,Deportivo Petapa,1,1,D,1.0,0.0,H
GUA,2015-08-12,22:00,Deportivo Guastatoya,Antigua GFC,1,2,A,0.0,1.0,A
GUA,2015-08-12,22:05,Universidad SC,Xelaju MC,1,2,A,0.0,0.0,D
GUA,2015-08-12,23:00,Comunicaciones,Deportivo Suchitepéquez,0,1,A,0.0,0.0,D
GUA,2015-08-13,02:00,Cobán Imperial,CSD Municipal,1,0,H,0.0,0.0,D
GUA,2015-08-13,03:00,Deportivo Marquense,Deportivo Mictlán,3,1,H,1.0,0.0,H
GUA,2015-08-15,22:30,Antigua GFC,Comunicaciones,0,1,A,0.0,0.0,D
GUA,2015-08-16,18:00,Deportivo Suchitepéquez,Deportivo Malacateco,4,1,H,3.0,0.0,H
GUA,2015-08-16,18:00,Deportivo Mictlán,Cobán Imperial,3,0,H,1.0,0.0,H
GUA,2015-08-16,18:00,CSD Municipal,Universidad SC,3,2,H,2.0,1.0,H
GUA,2015-08-16,20:00,Deportivo Marquense,Xelaju MC,1,0,H,0.0,0.0,D
GUA,2015-08-16,21:30,Deportivo Guastatoya,Deportivo Petapa,1,1,D,1.0,0.0,H
GUA,2015-08-22,23:00,Comunicaciones,Deportivo Guastatoya,0,0,D,0.0,0.0,D
