Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GUA,2017-05-11,03:00,Xelaju MC,Deportivo Guastatoya,2,2,D,1,2,A
GUA,2017-05-11,19:00,Deportivo Suchitepéquez,Comunicaciones,1,0,H,0,0,D
GUA,2017-05-13,21:30,Deportivo Guastatoya,Xelaju MC,2,0,H,1,0,H
GUA,2017-05-15,01:00,Comunicaciones,Deportivo Suchitepéquez,0,0,D,0,0,D
GUA,2017-05-17,19:00,Deportivo Suchitepéquez,CSD Municipal,1,2,A,1,2,A
GUA,2017-05-18,22:00,Deportivo Guastatoya,Deportivo Petapa,3,1,H,3,1,H
GUA,2017-05-20,22:30,CSD Municipal,Deportivo Suchitepéquez,1,0,H,0,0,D
GUA,2017-05-22,01:00,Deportivo Petapa,Deportivo Guastatoya,3,2,H,2,0,H
GUA,2017-05-24,22:00,Deportivo Guastatoya,CSD Municipal,0,0,D,0,0,D
GUA,2017-05-28,02:00,CSD Municipal,Deportivo Guastatoya,2,0,H,1,0,H
