Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
KOR,2007-03-03,,Seongnam Ilhwa Chunma,Chunnam Dragons,1,1,D,,,
KOR,2007-03-04,,Incheon United,Pohang Steelers,0,1,A,,,
KOR,2007-03-04,,FC Seoul,Daegu FC,2,0,H,,,
KOR,2007-03-04,,Ulsan Hyundai,Gyeongnam FC,1,1,D,,,
KOR,2007-03-04,,Suwon Bluewings,Daejeon Citizen,2,1,H,,,
KOR,2007-03-04,,Busan IPark,Jeju United,0,1,A,,,
KOR,2007-03-04,,Gwangju Sangmu,Jeonbuk FC,0,2,A,,,
KOR,2007-03-10,,Gyeongnam FC,Pohang Steelers,1,3,A,,,
KOR,2007-03-10,,Jeju United,Seongnam Ilhwa Chunma,1,2,A,,,
KOR,2007-03-11,,Daegu FC,Incheon United,1,2,A,,,
KOR,2007-03-11,,Chunnam Dragons,FC Seoul,0,1,A,,,
KOR,2007-03-11,,Daejeon Citizen,Ulsan Hyundai,1,3,A,,,
KOR,2007-03-11,,Jeonbuk FC,Suwon Bluewings,1,1,D,,,
KOR,2007-03-11,,Busan IPark,Gwangju Sangmu,2,1,H,,,
KOR,2007-03-17,,Incheon United,Gyeongnam FC,1,2,A,,,
KOR,2007-03-17,,Pohang Steelers,Daejeon Citizen,1,1,D,,,
KOR,2007-03-17,,Ulsan Hyundai,Jeonbuk FC,2,1,H,,,
KOR,2007-03-17,,Seongnam Ilhwa Chunma,Gwangju Sangmu,3,1,H,,,
KOR,2007-03-17,,Suwon Bluewings,Busan IPark,1,0,H,,,
KOR,2007-03-18,,Daegu FC,Chunnam Dragons,2,2,D,,,
KOR,2007-03-18,,FC Seoul,Jeju United,1,0,H,,,
KOR,2007-03-31,,Chunnam Dragons,Incheon United,0,0,D,,,
KOR,2007-03-31,,Jeju United,Daegu FC,2,0,H,,,
KOR,2007-03-31,,Gwangju Sangmu,FC Seoul,0,0,D,,,
KOR,2007-04-01,,Daejeon Citizen,Gyeongnam FC,0,0,D,,,
KOR,2007-04-01,,Jeonbuk FC,Pohang Steelers,1,2,A,,,
KOR,2007-04-01,,Busan IPark,Ulsan Hyundai,0,1,A,,,
KOR,2007-04-01,,Seongnam Ilhwa Chunma,Suwon Bluewings,3,1,H,,,
KOR,2007-04-07,,Incheon United,Daejeon Citizen,3,2,H,,,
KOR,2007-04-07,,Chunnam Dragons,Jeju United,1,0,H,,,
KOR,2007-04-07,,Gyeongnam FC,Jeonbuk FC,1,2,A,,,
KOR,2007-04-07,,Daegu FC,Gwangju Sangmu,2,1,H,,,
KOR,2007-04-07,,Pohang Steelers,Busan IPark,0,1,A,,,
KOR,2007-04-07,,Ulsan Hyundai,Seongnam Ilhwa Chunma,0,3,A,,,
KOR,2007-04-08,,FC Seoul,Suwon Bluewings,0,1,A,,,
KOR,2007-04-14,,Suwon Bluewings,Daegu FC,1,1,D,,,
KOR,2007-04-15,,Jeju United,Incheon United,0,2,A,,,
KOR,2007-04-15,,Jeonbuk FC,Daejeon Citizen,0,2,A,,,
KOR,2007-04-15,,Gwangju Sangmu,Chunnam Dragons,0,0,D,,,
KOR,2007-04-15,,Busan IPark,Gyeongnam FC,1,4,A,,,
KOR,2007-04-15,,Seongnam Ilhwa Chunma,Pohang Steelers,1,1,D,,,
KOR,2007-04-15,,FC Seoul,Ulsan Hyundai,0,0,D,,,
KOR,2007-04-21,,Incheon United,Jeonbuk FC,1,3,A,,,
KOR,2007-04-21,,Jeju United,Gwangju Sangmu,1,1,D,,,
KOR,2007-04-21,,Chunnam Dragons,Suwon Bluewings,0,0,D,,,
KOR,2007-04-21,,Gyeongnam FC,Seongnam Ilhwa Chunma,0,2,A,,,
KOR,2007-04-22,,Daejeon Citizen,Busan IPark,2,2,D,,,
KOR,2007-04-22,,Daegu FC,Ulsan Hyundai,3,1,H,,,
KOR,2007-04-22,,Pohang Steelers,FC Seoul,0,0,D,,,
KOR,2007-04-28,,Gwangju Sangmu,Incheon United,1,1,D,,,
KOR,2007-04-28,,Busan IPark,Jeonbuk FC,0,2,A,,,
KOR,2007-04-28,,Suwon Bluewings,Jeju United,3,0,H,,,
KOR,2007-04-29,,Seongnam Ilhwa Chunma,Daejeon Citizen,0,0,D,,,
KOR,2007-04-29,,Ulsan Hyundai,Chunnam Dragons,2,2,D,,,
KOR,2007-04-29,,FC Seoul,Gyeongnam FC,0,3,A,,,
KOR,2007-04-29,,Pohang Steelers,Daegu FC,1,3,A,,,
KOR,2007-05-05,,Incheon United,Busan IPark,2,2,D,,,
KOR,2007-05-05,,Gwangju Sangmu,Suwon Bluewings,1,3,A,,,
KOR,2007-05-05,,Jeonbuk FC,Seongnam Ilhwa Chunma,0,2,A,,,
KOR,2007-05-05,,Jeju United,Ulsan Hyundai,2,1,H,,,
KOR,2007-05-05,,Daejeon Citizen,FC Seoul,0,0,D,,,
KOR,2007-05-05,,Chunnam Dragons,Pohang Steelers,2,1,H,,,
KOR,2007-05-05,,Gyeongnam FC,Daegu FC,1,0,H,,,
KOR,2007-05-12,,Suwon Bluewings,Incheon United,1,0,H,,,
KOR,2007-05-12,,FC Seoul,Jeonbuk FC,1,1,D,,,
KOR,2007-05-12,,Gyeongnam FC,Chunnam Dragons,2,0,H,,,
KOR,2007-05-13,,Seongnam Ilhwa Chunma,Busan IPark,2,1,H,,,
KOR,2007-05-13,,Ulsan Hyundai,Gwangju Sangmu,4,0,H,,,
KOR,2007-05-13,,Pohang Steelers,Jeju United,0,1,A,,,
KOR,2007-05-13,,Daegu FC,Daejeon Citizen,1,1,D,,,
KOR,2007-05-19,,Incheon United,Seongnam Ilhwa Chunma,0,2,A,,,
KOR,2007-05-19,,Suwon Bluewings,Ulsan Hyundai,1,2,A,,,
KOR,2007-05-19,,Gwangju Sangmu,Pohang Steelers,0,1,A,,,
KOR,2007-05-19,,Jeju United,Gyeongnam FC,1,1,D,,,
KOR,2007-05-19,,Daejeon Citizen,Chunnam Dragons,1,1,D,,,
KOR,2007-05-20,,Busan IPark,FC Seoul,0,0,D,,,
KOR,2007-05-20,,Jeonbuk FC,Daegu FC,4,1,H,,,
KOR,2007-05-26,,Ulsan Hyundai,Incheon United,1,0,H,,,
KOR,2007-05-26,,FC Seoul,Seongnam Ilhwa Chunma,0,0,D,,,
KOR,2007-05-26,,Pohang Steelers,Suwon Bluewings,0,0,D,,,
KOR,2007-05-26,,Gyeongnam FC,Gwangju Sangmu,4,0,H,,,
KOR,2007-05-27,,Daegu FC,Busan IPark,1,1,D,,,
KOR,2007-05-27,,Chunnam Dragons,Jeonbuk FC,1,0,H,,,
KOR,2007-05-27,,Daejeon Citizen,Jeju United,1,0,H,,,
KOR,2007-06-16,,Incheon United,FC Seoul,2,2,D,,,
KOR,2007-06-16,,Ulsan Hyundai,Pohang Steelers,0,0,D,,,
KOR,2007-06-16,,Suwon Bluewings,Gyeongnam FC,5,3,H,,,
KOR,2007-06-16,,Busan IPark,Chunnam Dragons,1,3,A,,,
KOR,2007-06-16,,Gwangju Sangmu,Daejeon Citizen,1,0,H,,,
KOR,2007-06-16,,Jeonbuk FC,Jeju United,2,1,H,,,
KOR,2007-06-17,,Seongnam Ilhwa Chunma,Daegu FC,3,0,H,,,
KOR,2007-08-08,,Incheon United,Daegu FC,2,1,H,,,
KOR,2007-08-08,,Pohang Steelers,Gyeongnam FC,2,1,H,,,
