Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MEX,2001-04-25,,Atlas Guadalajara,Puebla FC,1,2,A,,,
MEX,2001-04-26,,Monarcas Morelia,UAG Tecos,3,3,D,,,
MEX,2001-04-28,,Puebla FC,Atlas Guadalajara,3,3,D,,,
MEX,2001-04-29,,UAG Tecos,Monarcas Morelia,1,1,D,,,
MEX,2001-05-02,,Club León,CF América,1,1,D,,,
MEX,2001-05-02,,CF Pachuca,CF Monterrey,4,0,H,,,
MEX,2001-05-02,,Puebla FC,UANL Tigres,3,1,H,,,
MEX,2001-05-03,,UAG Tecos,Santos Laguna,2,3,A,,,
MEX,2001-05-05,,CF América,Club León,4,1,H,,,
MEX,2001-05-05,,CF Monterrey,CF Pachuca,2,2,D,,,
MEX,2001-05-05,,UANL Tigres,Puebla FC,2,2,D,,,
MEX,2001-05-06,,Santos Laguna,UAG Tecos,4,0,H,,,
MEX,2001-05-09,,CF Pachuca,CF América,2,0,H,,,
MEX,2001-05-10,,Puebla FC,Santos Laguna,5,4,H,,,
MEX,2001-05-12,,CF América,CF Pachuca,1,1,D,,,
MEX,2001-05-13,,Santos Laguna,Puebla FC,2,1,H,,,
MEX,2001-05-17,,CF Pachuca,Santos Laguna,2,1,H,,,
MEX,2001-05-20,,Santos Laguna,CF Pachuca,3,1,H,,,
