Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MEX,2005-05-12,01:00,UANL Tigres,Monarcas Morelia,3,2,H,1,1,D
MEX,2005-05-12,03:00,CF Monterrey,Cruz Azul,0,0,D,0,0,D
MEX,2005-05-13,01:00,Santos Laguna,CF América,2,2,D,0,1,A
MEX,2005-05-13,03:00,Club Necaxa,UAG Tecos,0,2,A,0,2,A
MEX,2005-05-15,00:00,Cruz Azul,CF Monterrey,3,3,D,1,2,A
MEX,2005-05-15,01:00,Monarcas Morelia,UANL Tigres,2,1,H,2,0,H
MEX,2005-05-15,22:00,UAG Tecos,Club Necaxa,2,1,H,1,1,D
MEX,2005-05-16,00:00,CF América,Santos Laguna,1,1,D,1,0,H
MEX,2005-05-19,02:30,UAG Tecos,Monarcas Morelia,1,0,H,1,0,H
MEX,2005-05-20,02:30,CF América,Cruz Azul,3,1,H,1,0,H
MEX,2005-05-22,01:00,Monarcas Morelia,UAG Tecos,1,1,D,0,1,A
MEX,2005-05-22,23:00,Cruz Azul,CF América,1,3,A,1,3,A
MEX,2005-05-27,02:30,UAG Tecos,CF América,1,1,D,0,0,D
MEX,2005-05-30,00:00,CF América,UAG Tecos,6,3,H,3,1,H
