Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MEX,2007-01-20,02:30,UAG Tecos,UANL Tigres,2,1,H,0,0,D
MEX,2007-01-20,21:00,Gallos Blancos (old),Veracruz (old),0,0,D,0,0,D
MEX,2007-01-20,23:00,CF Monterrey,Santos Laguna,1,0,H,0,0,D
MEX,2007-01-20,23:00,Cruz Azul,CF Pachuca,3,2,H,1,1,D
MEX,2007-01-21,01:00,Monarcas Morelia,CF Atlante,3,1,H,2,1,H
MEX,2007-01-21,01:00,Deportivo Guadalajara,Deportivo Toluca,1,1,D,0,0,D
MEX,2007-01-21,02:30,Club Necaxa,Jaguares Chiapas,3,1,H,1,1,D
MEX,2007-01-21,18:00,Pumas UNAM,Atlas Guadalajara,0,0,D,0,0,D
MEX,2007-01-21,22:00,CF América,Club San Luis,4,1,H,3,0,H
MEX,2007-01-27,21:00,Jaguares Chiapas,Gallos Blancos (old),2,0,H,1,0,H
MEX,2007-01-27,21:00,Club San Luis,Monarcas Morelia,1,2,A,1,1,D
MEX,2007-01-27,23:00,CF Atlante,Cruz Azul,1,0,H,0,0,D
MEX,2007-01-27,23:00,Veracruz (old),Pumas UNAM,2,1,H,0,1,A
MEX,2007-01-28,01:00,CF Pachuca,CF Monterrey,4,0,H,0,0,D
MEX,2007-01-28,01:00,UANL Tigres,CF América,1,0,H,0,0,D
MEX,2007-01-28,02:45,Atlas Guadalajara,UAG Tecos,4,1,H,1,0,H
MEX,2007-01-28,18:00,Deportivo Toluca,Club Necaxa,1,1,D,0,0,D
MEX,2007-01-29,02:00,Santos Laguna,Deportivo Guadalajara,2,3,A,0,1,A
MEX,2007-02-03,21:00,Club San Luis,CF Atlante,3,0,H,1,0,H
MEX,2007-02-03,23:00,Gallos Blancos (old),Deportivo Toluca,0,0,D,0,0,D
MEX,2007-02-03,23:00,CF Monterrey,Cruz Azul,1,2,A,0,1,A
MEX,2007-02-03,23:00,Deportivo Guadalajara,CF Pachuca,0,1,A,0,0,D
MEX,2007-02-04,01:00,Monarcas Morelia,UANL Tigres,0,0,D,0,0,D
MEX,2007-02-04,02:30,Club Necaxa,Santos Laguna,1,0,H,1,0,H
MEX,2007-02-04,18:00,Pumas UNAM,Jaguares Chiapas,2,0,H,1,0,H
MEX,2007-02-04,21:00,CF América,Atlas Guadalajara,0,1,A,0,0,D
MEX,2007-02-04,22:00,UAG Tecos,Veracruz (old),3,0,H,1,0,H
MEX,2007-02-10,21:00,Jaguares Chiapas,UAG Tecos,1,1,D,1,0,H
MEX,2007-02-10,23:00,CF Atlante,CF Monterrey,2,0,H,1,0,H
MEX,2007-02-10,23:00,Cruz Azul,Deportivo Guadalajara,1,2,A,0,1,A
MEX,2007-02-11,01:00,Veracruz (old),CF América,2,4,A,0,1,A
MEX,2007-02-11,01:00,UANL Tigres,Club San Luis,1,1,D,0,0,D
MEX,2007-02-11,01:00,CF Pachuca,Club Necaxa,1,1,D,0,1,A
MEX,2007-02-11,02:45,Atlas Guadalajara,Monarcas Morelia,2,0,H,1,0,H
MEX,2007-02-11,18:00,Deportivo Toluca,Pumas UNAM,2,2,D,0,1,A
MEX,2007-02-11,22:00,Santos Laguna,Gallos Blancos (old),0,0,D,0,0,D
MEX,2007-02-15,01:00,UAG Tecos,Deportivo Toluca,0,0,D,0,0,D
MEX,2007-02-15,02:00,CF América,Jaguares Chiapas,4,1,H,1,0,H
MEX,2007-02-15,02:30,Gallos Blancos (old),CF Pachuca,0,0,D,0,0,D
MEX,2007-02-15,02:30,Club San Luis,Atlas Guadalajara,1,0,H,0,0,D
MEX,2007-02-15,02:30,Club Necaxa,Cruz Azul,0,2,A,0,2,A
MEX,2007-02-15,02:45,UANL Tigres,CF Atlante,1,0,H,1,0,H
MEX,2007-02-15,03:00,Monarcas Morelia,Veracruz (old),5,0,H,4,0,H
MEX,2007-02-15,03:00,Pumas UNAM,Santos Laguna,2,1,H,1,1,D
MEX,2007-02-17,21:00,Jaguares Chiapas,Monarcas Morelia,2,1,H,1,1,D
MEX,2007-02-17,23:00,Veracruz (old),Club San Luis,2,1,H,1,1,D
MEX,2007-02-17,23:00,Cruz Azul,Gallos Blancos (old),0,0,D,0,0,D
MEX,2007-02-17,23:00,CF Atlante,Deportivo Guadalajara,0,3,A,0,3,A
MEX,2007-02-17,23:00,CF Monterrey,Club Necaxa,2,2,D,1,0,H
MEX,2007-02-18,01:00,CF Pachuca,Pumas UNAM,0,0,D,0,0,D
MEX,2007-02-18,02:45,Atlas Guadalajara,UANL Tigres,2,0,H,0,0,D
MEX,2007-02-18,03:00,Deportivo Toluca,CF América,2,2,D,1,1,D
MEX,2007-02-18,22:00,Santos Laguna,UAG Tecos,1,1,D,0,0,D
MEX,2007-02-22,02:30,Deportivo Guadalajara,CF Monterrey,1,1,D,0,1,A
MEX,2007-02-24,23:00,Club San Luis,Jaguares Chiapas,1,0,H,0,0,D
MEX,2007-02-25,01:00,UANL Tigres,Veracruz (old),1,0,H,1,0,H
MEX,2007-02-25,01:00,Monarcas Morelia,Deportivo Toluca,2,1,H,1,0,H
