Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
PER,2006-07-15,19:30,FBC Melgar,Coronel Bolognesi,1,0,H,,,
PER,2006-07-16,15:30,José Gálvez,Sport Boys,3,0,H,,,
PER,2006-07-16,17:30,Alianza Atlético,Alianza Lima,1,1,D,,,
PER,2006-07-16,19:30,Universidad San Martín,Sport Áncash,2,0,H,,,
PER,2006-07-16,19:30,Unión Huaral,Sporting Cristal,1,0,H,,,
PER,2006-07-16,21:30,Universitario de Deportes,Cienciano,2,1,H,,,
PER,2006-07-22,17:30,Sport Boys,Universidad San Martín,0,0,D,,,
PER,2006-07-22,19:30,Sport Áncash,Alianza Atlético,1,0,H,,,
PER,2006-07-23,15:30,Sporting Cristal,FBC Melgar,2,0,H,,,
PER,2006-07-23,17:30,Cienciano,Unión Huaral,5,1,H,,,
PER,2006-07-23,19:30,Alianza Lima,José Gálvez,1,0,H,,,
PER,2006-07-23,21:30,Coronel Bolognesi,Universitario de Deportes,4,1,H,,,
PER,2006-07-29,17:30,Alianza Atlético,Sport Boys,2,2,D,,,
PER,2006-07-29,19:30,Universidad San Martín,José Gálvez,0,1,A,,,
PER,2006-07-29,19:30,Unión Huaral,Coronel Bolognesi,0,0,D,,,
PER,2006-07-29,21:30,Universitario de Deportes,Sport Áncash,4,1,H,,,
PER,2006-07-30,17:30,Cienciano,Sporting Cristal,2,1,H,,,
PER,2006-07-30,19:30,FBC Melgar,Alianza Lima,3,2,H,,,
PER,2006-08-05,17:00,Sport Áncash,Unión Huaral,2,0,H,,,
PER,2006-08-05,19:00,José Gálvez,Alianza Atlético,4,0,H,,,
PER,2006-08-05,21:05,Alianza Lima,Universidad San Martín,3,1,H,,,
PER,2006-08-05,23:00,Coronel Bolognesi,Cienciano,1,2,A,,,
PER,2006-08-06,17:30,Sport Boys,FBC Melgar,2,0,H,,,
PER,2006-08-06,19:30,Sporting Cristal,Universitario de Deportes,0,1,A,,,
PER,2006-08-12,17:30,Alianza Atlético,Universidad San Martín,2,3,A,,,
PER,2006-08-12,19:30,Unión Huaral,Alianza Lima,0,1,A,,,
PER,2006-08-13,15:30,Sporting Cristal,Coronel Bolognesi,1,2,A,,,
PER,2006-08-13,17:30,Cienciano,Sport Áncash,1,3,A,,,
PER,2006-08-13,19:30,FBC Melgar,José Gálvez,2,0,H,,,
PER,2006-08-13,21:30,Universitario de Deportes,Sport Boys,1,3,A,,,
PER,2006-08-19,19:30,Universidad San Martín,FBC Melgar,0,0,D,,,
PER,2006-08-19,19:30,Sport Áncash,Sporting Cristal,1,1,D,,,
PER,2006-08-19,23:00,Coronel Bolognesi,Alianza Atlético,1,0,H,,,
PER,2006-08-20,15:30,José Gálvez,Unión Huaral,2,1,H,,,
PER,2006-08-20,17:30,Sport Boys,Cienciano,2,1,H,,,
PER,2006-08-20,19:30,Alianza Lima,Universitario de Deportes,1,0,H,,,
PER,2006-08-26,17:30,Unión Huaral,Universidad San Martín,0,2,A,,,
PER,2006-08-26,19:30,FBC Melgar,Alianza Atlético,2,1,H,,,
PER,2006-08-26,23:30,Sporting Cristal,Sport Boys,0,1,A,,,
PER,2006-08-27,17:30,Coronel Bolognesi,Sport Áncash,3,0,H,,,
PER,2006-08-27,19:30,Cienciano,Alianza Lima,2,1,H,,,
PER,2006-08-27,21:30,Universitario de Deportes,José Gálvez,1,0,H,,,
PER,2006-08-30,19:30,José Gálvez,Cienciano,1,2,A,,,
PER,2006-08-30,21:30,Alianza Lima,Sporting Cristal,0,0,D,,,
PER,2006-09-03,15:30,Alianza Atlético,Unión Huaral,2,0,H,,,
PER,2006-09-03,19:30,Sport Áncash,FBC Melgar,1,1,D,,,
PER,2006-09-09,17:30,Unión Huaral,FBC Melgar,0,0,D,,,
PER,2006-09-09,19:30,Coronel Bolognesi,Alianza Lima,1,1,D,,,
PER,2006-09-09,23:00,Universitario de Deportes,Alianza Atlético,3,1,H,,,
PER,2006-09-10,15:30,Sporting Cristal,José Gálvez,3,0,H,,,
PER,2006-09-10,17:30,Sport Áncash,Sport Boys,1,0,H,,,
PER,2006-09-10,19:30,Cienciano,Universidad San Martín,0,1,A,,,
PER,2006-09-16,17:30,Unión Huaral,Sport Boys,1,2,A,,,
PER,2006-09-16,19:30,Universidad San Martín,Sporting Cristal,0,2,A,,,
PER,2006-09-17,17:30,Alianza Atlético,Cienciano,4,1,H,,,
PER,2006-09-17,19:30,FBC Melgar,Universitario de Deportes,1,1,D,,,
PER,2006-09-17,21:30,Alianza Lima,Sport Áncash,3,0,H,,,
PER,2006-09-20,19:30,Universidad San Martín,Universitario de Deportes,0,1,A,,,
PER,2006-09-23,15:30,Sporting Cristal,Alianza Atlético,3,1,H,,,
PER,2006-09-23,19:30,Sport Boys,Alianza Lima,0,1,A,,,
PER,2006-09-24,00:00,Coronel Bolognesi,Universidad San Martín,1,2,A,,,
PER,2006-09-24,17:30,Sport Áncash,José Gálvez,1,1,D,,,
PER,2006-09-24,19:30,Cienciano,FBC Melgar,2,0,H,,,
PER,2006-09-24,21:30,Universitario de Deportes,Unión Huaral,3,0,H,,,
PER,2006-09-27,23:00,Sport Boys,Coronel Bolognesi,0,2,A,,,
PER,2006-09-30,15:30,Sporting Cristal,Unión Huaral,4,0,H,,,
PER,2006-09-30,19:30,Alianza Lima,Alianza Atlético,3,0,H,,,
PER,2006-10-01,15:30,Sport Boys,José Gálvez,1,1,D,,,
PER,2006-10-01,17:30,Sport Áncash,Universidad San Martín,1,1,D,,,
PER,2006-10-01,19:30,Cienciano,Universitario de Deportes,3,3,D,,,
PER,2006-10-01,21:30,Coronel Bolognesi,FBC Melgar,2,0,H,,,
PER,2006-10-04,15:30,José Gálvez,Coronel Bolognesi,0,3,A,,,
PER,2006-10-14,19:30,Universitario de Deportes,Coronel Bolognesi,1,2,A,,,
PER,2006-10-15,15:30,FBC Melgar,Sporting Cristal,2,1,H,,,
PER,2006-10-15,17:30,Unión Huaral,Cienciano,1,1,D,,,
PER,2006-10-15,19:00,Universidad San Martín,Sport Boys,2,1,H,,,
PER,2006-10-15,19:30,José Gálvez,Alianza Lima,0,0,D,,,
PER,2006-10-16,17:30,Alianza Atlético,Sport Áncash,4,2,H,,,
PER,2006-10-21,17:30,Sport Boys,Alianza Atlético,2,0,H,,,
PER,2006-10-21,19:30,Alianza Lima,FBC Melgar,1,0,H,,,
PER,2006-10-21,21:30,Coronel Bolognesi,Unión Huaral,1,0,H,,,
PER,2006-10-22,15:30,José Gálvez,Universidad San Martín,0,0,D,,,
PER,2006-10-22,17:30,Sport Áncash,Universitario de Deportes,3,0,H,,,
PER,2006-10-22,19:30,Sporting Cristal,Cienciano,1,0,H,,,
PER,2006-10-28,17:30,FBC Melgar,Sport Boys,4,1,H,,,
PER,2006-10-28,19:30,Cienciano,Coronel Bolognesi,3,1,H,,,
PER,2006-10-29,17:30,Unión Huaral,Sport Áncash,3,1,H,,,
PER,2006-10-29,17:30,Alianza Atlético,José Gálvez,3,3,D,,,
PER,2006-10-29,19:30,Universitario de Deportes,Sporting Cristal,0,0,D,,,
PER,2006-10-29,19:30,Universidad San Martín,Alianza Lima,0,1,A,,,
PER,2006-11-01,15:30,José Gálvez,FBC Melgar,0,0,D,,,
PER,2006-11-01,17:30,Sport Áncash,Cienciano,1,3,A,,,
PER,2006-11-01,19:30,Universidad San Martín,Alianza Atlético,2,1,H,,,
PER,2006-11-01,19:30,Sport Boys,Universitario de Deportes,0,0,D,,,
PER,2006-11-01,21:30,Coronel Bolognesi,Sporting Cristal,0,1,A,,,
PER,2006-11-01,21:30,Alianza Lima,Unión Huaral,2,1,H,,,
PER,2006-11-04,17:30,Alianza Atlético,Coronel Bolognesi,4,2,H,,,
PER,2006-11-04,19:30,Sporting Cristal,Sport Áncash,3,0,H,,,
PER,2006-11-05,15:30,FBC Melgar,Universidad San Martín,2,0,H,,,
PER,2006-11-05,17:30,Unión Huaral,José Gálvez,2,1,H,,,
PER,2006-11-05,17:30,Cienciano,Sport Boys,1,0,H,,,
PER,2006-11-05,19:30,Universitario de Deportes,Alianza Lima,3,2,H,,,
PER,2006-11-11,17:30,Universidad San Martín,Unión Huaral,0,1,A,,,
PER,2006-11-11,17:30,Alianza Atlético,FBC Melgar,0,0,D,,,
