Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
PER,2013-08-30,19:00,FBC Melgar,Pacífico FC,0,0,D,0,0,D
PER,2013-08-31,17:15,CD Unión Comercio,Universidad Cesar Vallejo,2,1,H,0,0,D
PER,2013-08-31,19:15,Universidad San Martín,León de Huánuco,1,0,H,0,0,D
PER,2013-08-31,21:30,Universitario de Deportes,Cienciano,1,1,D,1,1,D
PER,2013-08-31,23:45,José Gálvez,Universidad Técnica,2,1,H,2,0,H
PER,2013-09-01,17:15,Sporting Cristal,Sport Huancayo,1,0,H,0,0,D
PER,2013-09-01,19:15,Inti Gas,Juan Aurich,2,1,H,1,1,D
PER,2013-09-01,21:30,Real Garcilaso,Alianza Lima,2,2,D,0,0,D
PER,2013-09-13,19:00,Juan Aurich,Universidad San Martín,1,0,H,1,0,H
PER,2013-09-14,17:00,Sport Huancayo,FBC Melgar,1,0,H,1,0,H
PER,2013-09-14,19:00,León de Huánuco,Inti Gas,0,2,A,0,1,A
PER,2013-09-14,21:00,Universidad Cesar Vallejo,Real Garcilaso,2,0,H,0,0,D
PER,2013-09-15,00:00,Alianza Lima,CD Unión Comercio,3,0,H,0,0,D
PER,2013-09-15,17:00,Cienciano,José Gálvez,2,1,H,2,0,H
PER,2013-09-15,19:15,Pacífico FC,Sporting Cristal,0,1,A,0,1,A
PER,2013-09-15,21:30,Universidad Técnica,Universitario de Deportes,1,2,A,1,1,D
PER,2013-09-17,19:00,Sport Huancayo,Pacífico FC,2,1,H,2,0,H
PER,2013-09-17,21:30,Universidad San Martín,Inti Gas,3,1,H,3,0,H
PER,2013-09-18,17:15,CD Unión Comercio,Real Garcilaso,1,1,D,1,1,D
PER,2013-09-18,19:15,Cienciano,Universidad Técnica,2,2,D,0,2,A
PER,2013-09-19,22:00,José Gálvez,León de Huánuco,1,0,H,0,0,D
PER,2013-09-20,02:00,Universitario de Deportes,Juan Aurich,0,1,A,0,0,D
PER,2013-09-20,21:30,Pacífico FC,CD Unión Comercio,1,0,H,1,0,H
PER,2013-09-21,21:30,Universidad Cesar Vallejo,Sport Huancayo,0,0,D,0,0,D
PER,2013-09-22,17:00,Inti Gas,José Gálvez,1,0,H,1,0,H
PER,2013-09-22,19:15,Real Garcilaso,Sporting Cristal,2,1,H,2,0,H
PER,2013-09-22,21:30,León de Huánuco,Universitario de Deportes,1,0,H,1,0,H
PER,2013-09-22,23:45,Alianza Lima,FBC Melgar,2,0,H,0,0,D
PER,2013-09-23,19:00,Juan Aurich,Cienciano,3,0,H,1,0,H
PER,2013-09-23,21:45,Universidad Técnica,Universidad San Martín,3,3,D,1,1,D
PER,2013-09-25,19:00,FBC Melgar,Universidad Cesar Vallejo,1,1,D,1,0,H
PER,2013-09-25,21:30,Sporting Cristal,Alianza Lima,1,0,H,0,0,D
PER,2013-09-27,19:30,Pacífico FC,Universidad Cesar Vallejo,1,2,A,0,2,A
PER,2013-09-27,21:45,Universidad Técnica,Juan Aurich,1,1,D,0,1,A
PER,2013-09-28,20:45,FBC Melgar,Real Garcilaso,0,0,D,0,0,D
PER,2013-09-28,23:00,Universitario de Deportes,Inti Gas,3,1,H,1,1,D
PER,2013-09-29,17:15,Sporting Cristal,CD Unión Comercio,0,1,A,0,1,A
PER,2013-09-29,19:15,Cienciano,León de Huánuco,1,0,H,1,0,H
PER,2013-09-29,21:30,Sport Huancayo,Alianza Lima,1,1,D,0,1,A
PER,2013-09-29,23:45,José Gálvez,Universidad San Martín,2,2,D,0,1,A
PER,2013-10-01,19:10,Inti Gas,Cienciano,2,2,D,1,1,D
PER,2013-10-02,17:00,CD Unión Comercio,FBC Melgar,0,2,A,0,0,D
