Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
VEN,2014-05-18,00:30,Aragua FC,Atlético Venezuela,1,0,H,,,
VEN,2014-05-18,21:30,Deportivo Lara,Carabobo FC,1,0,H,,,
VEN,2014-05-18,21:30,Deportivo La Guaira,Tucanes FC,3,1,H,,,
VEN,2014-05-18,21:30,Deportivo Petare,Trujillanos FC,0,2,A,,,
VEN,2014-05-21,20:30,Tucanes FC,Deportivo La Guaira,1,0,H,,,
VEN,2014-05-21,21:00,Carabobo FC,Deportivo Lara,3,0,H,,,
VEN,2014-05-21,21:30,Atlético Venezuela,Aragua FC,1,1,D,,,
VEN,2014-05-21,21:30,Trujillanos FC,Deportivo Petare,5,0,H,,,
VEN,2014-05-25,21:30,Deportivo La Guaira,Carabobo FC,0,0,D,,,
VEN,2014-05-26,00:30,Aragua FC,Trujillanos FC,0,0,D,,,
VEN,2014-05-28,20:30,Carabobo FC,Deportivo La Guaira,3,4,A,,,
VEN,2014-05-28,21:30,Trujillanos FC,Aragua FC,6,1,H,,,
