Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
VEN,2016-10-29,20:00,Zulia FC,Carabobo FC,3,0,H,,,
VEN,2016-10-30,20:00,Deportivo Táchira,Monagas,2,1,H,,,
VEN,2016-10-30,21:30,Deportivo La Guaira,Caracas FC,0,2,A,,,
VEN,2016-10-31,23:00,Deportivo Lara,Atlético Venezuela,0,3,A,,,
VEN,2016-11-04,19:00,Monagas,Deportivo Táchira,1,1,D,,,
VEN,2016-11-04,23:00,Carabobo FC,Zulia FC,0,0,D,,,
VEN,2016-11-05,18:30,Atlético Venezuela,Deportivo Lara,0,1,A,,,
VEN,2016-11-05,21:30,Caracas FC,Deportivo La Guaira,1,0,H,,,
VEN,2016-11-20,19:00,Zulia FC,Caracas FC,1,0,H,,,
VEN,2016-11-20,21:15,Deportivo Táchira,Atlético Venezuela,3,0,H,,,
VEN,2016-11-23,19:00,Atlético Venezuela,Deportivo Táchira,2,0,H,,,
VEN,2016-11-23,23:00,Caracas FC,Zulia FC,1,2,A,,,
VEN,2016-11-27,19:00,Zulia FC,Deportivo Táchira,2,0,H,,,
VEN,2016-11-30,23:00,Deportivo Táchira,Zulia FC,2,0,H,2.0,0.0,H
