Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AND,2006-09-24,,FC Lusitanos la Posa,CE Principat,2,1,H,,,
AND,2006-09-24,,UE Sant Julià,Atlétic Escaldes,4,1,H,,,
AND,2006-09-24,,FC Encamp,FC Rànger's,0,3,A,,,
AND,2006-09-24,,FC Santa Coloma,Inter Club d'Escaldes,4,2,H,,,
AND,2006-10-01,,CE Principat,FC Encamp,2,0,H,,,
AND,2006-10-01,,Atlétic Escaldes,Inter Club d'Escaldes,3,2,H,,,
AND,2006-10-01,,FC Rànger's,FC Santa Coloma,1,2,A,,,
AND,2006-10-01,,FC Lusitanos la Posa,UE Sant Julià,1,5,A,,,
AND,2006-10-15,,FC Lusitanos la Posa,FC Encamp,5,0,H,,,
AND,2006-10-15,,UE Sant Julià,FC Rànger's,2,4,A,,,
AND,2006-10-15,,FC Santa Coloma,Atlétic Escaldes,2,0,H,,,
AND,2006-10-15,,Inter Club d'Escaldes,CE Principat,2,3,A,,,
AND,2006-10-22,,CE Principat,FC Santa Coloma,0,3,A,,,
AND,2006-10-22,,Inter Club d'Escaldes,FC Lusitanos la Posa,1,0,H,,,
AND,2006-10-22,,FC Encamp,UE Sant Julià,0,0,D,,,
AND,2006-10-22,,FC Rànger's,Atlétic Escaldes,2,0,H,,,
AND,2006-10-29,,Atlétic Escaldes,FC Encamp,1,4,A,,,
AND,2006-10-29,,FC Rànger's,CE Principat,4,0,H,,,
AND,2006-10-29,,UE Sant Julià,Inter Club d'Escaldes,2,0,H,,,
AND,2006-10-29,,FC Lusitanos la Posa,FC Santa Coloma,1,3,A,,,
AND,2006-11-05,,FC Santa Coloma,UE Sant Julià,1,0,H,,,
AND,2006-11-05,,CE Principat,Atlétic Escaldes,3,1,H,,,
AND,2006-11-05,,FC Encamp,Inter Club d'Escaldes,1,1,D,,,
AND,2006-11-05,,FC Lusitanos la Posa,FC Rànger's,1,2,A,,,
AND,2006-11-12,,Atlétic Escaldes,FC Lusitanos la Posa,0,1,A,,,
AND,2006-11-12,,Inter Club d'Escaldes,FC Rànger's,0,1,A,,,
AND,2006-11-12,,FC Encamp,FC Santa Coloma,2,3,A,,,
AND,2006-11-12,,UE Sant Julià,CE Principat,7,0,H,,,
AND,2006-11-19,,CE Principat,FC Lusitanos la Posa,0,3,A,,,
AND,2006-11-19,,Atlétic Escaldes,UE Sant Julià,0,2,A,,,
AND,2006-11-19,,FC Rànger's,FC Encamp,4,0,H,,,
AND,2006-11-19,,Inter Club d'Escaldes,FC Santa Coloma,0,4,A,,,
AND,2006-11-26,,FC Encamp,CE Principat,1,1,D,,,
AND,2006-11-26,,Inter Club d'Escaldes,Atlétic Escaldes,2,1,H,,,
AND,2006-11-26,,FC Santa Coloma,FC Rànger's,0,0,D,,,
AND,2006-11-26,,UE Sant Julià,FC Lusitanos la Posa,0,0,D,,,
AND,2006-12-03,,FC Encamp,FC Lusitanos la Posa,1,2,A,,,
AND,2006-12-03,,FC Rànger's,UE Sant Julià,2,1,H,,,
AND,2006-12-03,,Atlétic Escaldes,FC Santa Coloma,0,5,A,,,
AND,2006-12-03,,CE Principat,Inter Club d'Escaldes,1,1,D,,,
AND,2006-12-17,,FC Santa Coloma,CE Principat,2,0,H,,,
AND,2006-12-17,,FC Lusitanos la Posa,Inter Club d'Escaldes,3,1,H,,,
AND,2006-12-17,,UE Sant Julià,FC Encamp,3,1,H,,,
AND,2006-12-17,,Atlétic Escaldes,FC Rànger's,2,8,A,,,
AND,2007-02-11,,FC Encamp,Atlétic Escaldes,1,1,D,,,
AND,2007-02-11,,CE Principat,FC Rànger's,0,4,A,,,
AND,2007-02-11,,Inter Club d'Escaldes,UE Sant Julià,0,0,D,,,
AND,2007-02-11,,FC Santa Coloma,FC Lusitanos la Posa,3,0,H,,,
AND,2007-02-25,,UE Sant Julià,FC Santa Coloma,3,1,H,,,
AND,2007-02-25,,Atlétic Escaldes,CE Principat,3,3,D,,,
AND,2007-02-25,,Inter Club d'Escaldes,FC Encamp,2,1,H,,,
AND,2007-02-25,,FC Rànger's,FC Lusitanos la Posa,3,0,H,,,
AND,2007-03-11,,FC Lusitanos la Posa,Atlétic Escaldes,0,0,D,,,
AND,2007-03-11,,FC Rànger's,Inter Club d'Escaldes,4,0,H,,,
AND,2007-03-11,,FC Santa Coloma,FC Encamp,2,1,H,,,
AND,2007-03-11,,CE Principat,UE Sant Julià,1,0,H,,,
