Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AND,2009-03-22,13:00,CE Principat,UE Sant Julià,0,2,A,,,
AND,2009-03-22,15:00,FC Lusitanos la Posa,FC Santa Coloma,0,2,A,,,
AND,2009-03-29,11:00,FC Lusitanos la Posa,CE Principat,1,2,A,,,
AND,2009-03-29,15:00,FC Santa Coloma,UE Sant Julià,3,1,H,,,
AND,2009-04-05,11:00,FC Santa Coloma,CE Principat,3,1,H,,,
AND,2009-04-05,15:00,UE Sant Julià,FC Lusitanos la Posa,3,0,H,,,
AND,2009-04-19,11:00,FC Santa Coloma,FC Lusitanos la Posa,3,1,H,,,
AND,2009-04-19,15:00,UE Sant Julià,CE Principat,5,0,H,,,
AND,2009-04-26,13:00,CE Principat,FC Lusitanos la Posa,2,1,H,,,
AND,2009-04-26,15:00,UE Sant Julià,FC Santa Coloma,3,2,H,,,
AND,2009-05-03,11:00,CE Principat,FC Santa Coloma,1,4,A,,,
AND,2009-05-03,11:00,FC Lusitanos la Posa,UE Sant Julià,0,1,A,,,
