Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
AND,2016-03-20,11:00,FC Encamp,UE Engordany,0,3,A,,,
AND,2016-03-20,17:00,FC Ordino,Penya Encarnada,3,2,H,,,
AND,2016-04-03,13:00,Penya Encarnada,UE Engordany,2,5,A,,,
AND,2016-04-03,17:00,FC Ordino,FC Encamp,1,0,H,,,
AND,2016-04-10,11:00,FC Encamp,Penya Encarnada,1,1,D,,,
AND,2016-04-10,13:00,UE Engordany,FC Ordino,1,2,A,,,
AND,2016-04-17,13:00,Penya Encarnada,FC Ordino,3,7,A,,,
AND,2016-04-17,17:00,UE Engordany,FC Encamp,4,3,H,,,
AND,2016-04-24,11:00,FC Encamp,FC Ordino,0,0,D,,,
AND,2016-04-24,11:00,UE Engordany,Penya Encarnada,3,1,H,,,
AND,2016-04-29,19:30,Penya Encarnada,FC Encamp,0,3,A,,,
AND,2016-05-08,17:00,FC Ordino,UE Engordany,4,3,H,,,
