Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ARG,2003-08-03,,Arsenal Sarandí,Talleres Córdoba,1,1,D,1.0,0.0,H
ARG,2003-08-03,,CA Banfield,Newell's Old Boys,0,0,D,,,
ARG,2003-08-03,,CA Colón,Racing Club,0,0,D,,,
ARG,2003-08-03,,GyE La Plata,Boca Juniors,0,1,A,,,
ARG,2003-08-03,,Independiente,Estudiantes,3,1,H,,,
ARG,2003-08-03,,Olimpo,CA Lanús,2,2,D,,,
ARG,2003-08-03,,Quilmes AC,Atlético Rafaela,3,1,H,,,
ARG,2003-08-03,,River Plate,Nueva Chicago,2,1,H,,,
ARG,2003-08-03,,Rosario Central,Vélez Sársfield,2,1,H,,,
ARG,2003-08-03,,San Lorenzo,Chacarita Juniors,1,2,A,,,
ARG,2003-08-10,,Atlético Rafaela,Arsenal Sarandí,1,0,H,,,
ARG,2003-08-10,,Boca Juniors,Rosario Central,4,0,H,,,
ARG,2003-08-10,,Chacarita Juniors,GyE La Plata,2,2,D,,,
ARG,2003-08-10,,Estudiantes,River Plate,3,0,H,,,
ARG,2003-08-10,,CA Lanús,CA Colón,0,0,D,,,
ARG,2003-08-10,,Newell's Old Boys,Independiente,0,0,D,,,
ARG,2003-08-10,,Nueva Chicago,Quilmes AC,0,2,A,,,
ARG,2003-08-10,,Racing Club,San Lorenzo,1,0,H,,,
ARG,2003-08-10,,Talleres Córdoba,Olimpo,1,0,H,,,
ARG,2003-08-10,,Vélez Sársfield,CA Banfield,0,3,A,,,
ARG,2003-08-17,,Arsenal Sarandí,Nueva Chicago,1,1,D,,,
ARG,2003-08-17,,CA Banfield,Independiente,0,1,A,,,
ARG,2003-08-17,,CA Colón,Talleres Córdoba,5,1,H,,,
ARG,2003-08-17,,GyE La Plata,Racing Club,0,0,D,,,
ARG,2003-08-17,,Olimpo,Atlético Rafaela,0,1,A,,,
ARG,2003-08-17,,Quilmes AC,Estudiantes,0,0,D,,,
ARG,2003-08-17,,River Plate,Newell's Old Boys,0,2,A,,,
ARG,2003-08-17,,Rosario Central,Chacarita Juniors,0,0,D,,,
ARG,2003-08-17,,San Lorenzo,CA Lanús,1,1,D,,,
ARG,2003-08-17,,Vélez Sársfield,Boca Juniors,1,3,A,,,
ARG,2003-08-23,,Atlético Rafaela,CA Colón,1,1,D,,,
ARG,2003-08-23,,Boca Juniors,CA Banfield,3,3,D,,,
ARG,2003-08-23,,Chacarita Juniors,Vélez Sársfield,1,0,H,,,
ARG,2003-08-23,,Estudiantes,Arsenal Sarandí,0,0,D,,,
ARG,2003-08-23,,Independiente,River Plate,2,2,D,,,
